record_date,station,chla,lat,lon
9/10/2012,1,11,44.61267,-69.779566
9/12/2012,2,4.1,44.560319,-69.878186
9/12/2012,1,4,44.488825,-69.782318
9/12/2012,1,4.2,44.488825,-69.782318
9/10/2012,2,16,44.614337,-69.788011
9/10/2012,3,16,44.604603,-69.778516
9/19/2011,3,7.6,44.604603,-69.778516
9/19/2011,1,16.4,44.61267,-69.779566
9/19/2011,2,14.9,44.614337,-69.788011
8/17/2011,3,7.1,44.604603,-69.778516
8/17/2011,1,6,44.61267,-69.779566
8/17/2011,2,7.3,44.614337,-69.788011
8/22/2011,1,3.2,44.566191,-69.761666
8/22/2011,1,11,44.61267,-69.779566
9/21/2010,3,17,44.604603,-69.778516
9/21/2010,1,24,44.61267,-69.779566
8/30/2010,1,15,44.61267,-69.779566
8/30/2010,2,19,44.614337,-69.788011
8/30/2010,3,23,44.604603,-69.778516
8/17/2010,2,3.8,44.614337,-69.788011
8/17/2010,1,6.1,44.61267,-69.779566
8/17/2010,3,7.4,44.604603,-69.778516
7/6/2010,1,8.1,44.61267,-69.779566
6/30/2010,1,4.7,44.545618,-69.854956
6/30/2010,2,3.9,44.560319,-69.878186
6/30/2010,2,4.4,44.560319,-69.878186
6/30/2010,2,4.6,44.560319,-69.878186
7/6/2010,3,17,44.604603,-69.778516
7/6/2010,2,17,44.614337,-69.788011
6/21/2010,3,3.3,44.604603,-69.778516
6/21/2010,1,4.5,44.61267,-69.779566
6/21/2010,2,6.5,44.614337,-69.788011
9/15/2009,2,17,44.614337,-69.788011
9/15/2009,3,27,44.604603,-69.778516
9/15/2009,1,27,44.61267,-69.779566
9/1/2009,3,5.5,44.604603,-69.778516
9/1/2009,2,6.9,44.614337,-69.788011
9/1/2009,1,7,44.61267,-69.779566
9/10/2009,1,3.3,44.545618,-69.854956
8/18/2009,1,4.3,44.61267,-69.779566
8/18/2009,2,4.6,44.614337,-69.788011
8/13/2009,1,8,44.61267,-69.779566
8/13/2009,2,5.2,44.560319,-69.878186
8/13/2009,1,5.2,44.545618,-69.854956
7/8/2009,3,4.3,44.604603,-69.778516
7/8/2009,2,4.6,44.614337,-69.788011
7/16/2009,2,3.1,44.560319,-69.878186
7/8/2009,1,4.5,44.61267,-69.779566
8/15/2007,1,3.9,44.488825,-69.782318
8/15/2007,1,2.4,44.566191,-69.761666
8/20/2007,1,11,44.61267,-69.779566
8/20/2007,3,13,44.604603,-69.778516
8/20/2007,2,13,44.614337,-69.788011
7/24/2007,1,2.6,44.61267,-69.779566
7/24/2007,2,2.5,44.614337,-69.788011
7/24/2007,3,2.2,44.604603,-69.778516
10/3/2006,3,14,44.604603,-69.778516
10/3/2006,2,20.7,44.614337,-69.788011
9/14/2006,3,18,44.604603,-69.778516
9/14/2006,2,22,44.614337,-69.788011
9/14/2006,1,25,44.61267,-69.779566
8/17/2006,1,5,44.488825,-69.782318
8/17/2006,1,5,44.488825,-69.782318
8/9/2006,1,8.2,44.61267,-69.779566
8/17/2006,1,6.3,44.520595,-69.786357
8/9/2006,3,6.8,44.604603,-69.778516
8/9/2006,2,8.6,44.614337,-69.788011
6/16/2006,1,4.7,44.61267,-69.779566
8/15/2005,1,4,44.488825,-69.782318
8/15/2005,1,7.6,44.545618,-69.854956
6/20/2005,3,3.9,44.604603,-69.778516
6/20/2005,1,4.9,44.61267,-69.779566
6/20/2005,2,5.1,44.614337,-69.788011
8/11/2004,1,13,44.520595,-69.786357
8/10/2004,1,9.5,44.545618,-69.854956
8/20/2003,1,4.9,44.545618,-69.854956
8/20/2003,2,5,44.560319,-69.878186
