record_date,station,chla,coordinates
5/13/2013,0,1.5,"[120.19067,31.51317]"
6/17/2013,0,1.5,"[120.19067,31.51317]"
5/14/2012,0,2.4,"[120.19067,31.51317]"
11/18/2012,0,2.4,"[120.19067,31.51317]"
2/22/2014,0,2.8,"[120.19067,31.51317]"
3/14/2012,0,3.4,"[120.19067,31.51317]"
12/13/2011,0,3.7,"[120.19067,31.51317]"
10/19/2012,0,4,"[120.19067,31.51317]"
8/18/2011,0,4.2,"[120.19067,31.51317]"
1/15/2013,0,4.6,"[120.19067,31.51317]"
2/28/2013,0,6.2,"[120.19067,31.51317]"
8/11/2011,0,6.9,"[120.19067,31.51317]"
1/13/2012,0,7.3,"[120.19067,31.51317]"
2/13/2012,0,7.3,"[120.19067,31.51317]"
2/14/2012,0,7.3,"[120.19067,31.51317]"
6/14/2012,0,7.5,"[120.19067,31.51317]"
12/19/2012,0,8.3,"[120.19067,31.51317]"
11/21/2013,0,8.3,"[120.19067,31.51317]"
8/22/2013,0,9.2,"[120.19067,31.51317]"
9/13/2012,0,9.4,"[120.19067,31.51317]"
3/16/2013,0,11.2,"[120.19067,31.51317]"
8/22/2013,1,2.7,"[120.19433,31.47633]"
2/28/2013,1,2.9,"[120.19433,31.47633]"
12/13/2011,1,3.6,"[120.19433,31.47633]"
11/18/2012,1,3.7,"[120.19433,31.47633]"
1/15/2013,1,4.1,"[120.19433,31.47633]"
5/14/2012,1,4.2,"[120.19433,31.47633]"
10/19/2012,1,4.3,"[120.19433,31.47633]"
9/13/2012,1,5,"[120.19433,31.47633]"
4/15/2013,1,5,"[120.19433,31.47633]"
5/13/2013,1,5.7,"[120.19433,31.47633]"
11/21/2013,1,6.3,"[120.19433,31.47633]"
6/17/2013,1,6.4,"[120.19433,31.47633]"
2/22/2014,1,6.9,"[120.19433,31.47633]"
3/14/2012,1,7.7,"[120.19433,31.47633]"
2/13/2012,1,7.9,"[120.19433,31.47633]"
2/14/2012,1,7.9,"[120.19433,31.47633]"
1/13/2012,1,8.9,"[120.19433,31.47633]"
12/19/2012,1,9,"[120.19433,31.47633]"
6/14/2012,1,11.6,"[120.19433,31.47633]"
3/16/2013,1,17.4,"[120.19433,31.47633]"
5/13/2013,2,1.1,"[120.18796,31.43609]"
6/17/2013,2,1.5,"[120.18796,31.43609]"
12/13/2011,2,3.1,"[120.18796,31.43609]"
5/14/2012,2,3.1,"[120.18796,31.43609]"
7/23/2012,2,3.7,"[120.18796,31.43609]"
10/19/2012,2,3.9,"[120.18796,31.43609]"
9/13/2012,2,4.1,"[120.18796,31.43609]"
8/11/2011,2,4.3,"[120.18796,31.43609]"
8/22/2013,2,4.3,"[120.18796,31.43609]"
11/18/2012,2,4.5,"[120.18796,31.43609]"
11/21/2013,2,4.8,"[120.18796,31.43609]"
8/18/2011,2,5.8,"[120.18796,31.43609]"
1/15/2013,2,5.8,"[120.18796,31.43609]"
6/14/2012,2,5.9,"[120.18796,31.43609]"
2/28/2013,2,6.2,"[120.18796,31.43609]"
3/16/2013,2,7.1,"[120.18796,31.43609]"
2/22/2014,2,7.8,"[120.18796,31.43609]"
12/19/2012,2,9.3,"[120.18796,31.43609]"
4/15/2013,2,9.8,"[120.18796,31.43609]"
1/13/2012,2,12.4,"[120.18796,31.43609]"
2/13/2012,2,16.8,"[120.18796,31.43609]"
2/14/2012,2,16.8,"[120.18796,31.43609]"
3/14/2012,2,21.8,"[120.18796,31.43609]"
4/15/2013,3,0.1,"[120.18733,31.41117]"
7/23/2012,3,0.6,"[120.18733,31.41117]"
6/17/2013,3,0.8,"[120.18733,31.41117]"
11/18/2012,3,1.3,"[120.18733,31.41117]"
5/13/2013,3,1.5,"[120.18733,31.41117]"
5/14/2012,3,2.9,"[120.18733,31.41117]"
12/13/2011,3,3.1,"[120.18733,31.41117]"
1/15/2013,3,3.1,"[120.18733,31.41117]"
11/21/2013,3,3.2,"[120.18733,31.41117]"
9/13/2012,3,4.2,"[120.18733,31.41117]"
3/14/2012,3,4.9,"[120.18733,31.41117]"
10/19/2012,3,5,"[120.18733,31.41117]"
8/18/2011,3,5.1,"[120.18733,31.41117]"
3/16/2013,3,5.1,"[120.18733,31.41117]"
8/11/2011,3,6.4,"[120.18733,31.41117]"
12/19/2012,3,7.7,"[120.18733,31.41117]"
6/14/2012,3,12.9,"[120.18733,31.41117]"
8/22/2013,3,13.6,"[120.18733,31.41117]"
1/13/2012,3,15.7,"[120.18733,31.41117]"
2/13/2012,3,15.7,"[120.18733,31.41117]"
2/14/2012,3,15.7,"[120.18733,31.41117]"
2/22/2014,3,18.3,"[120.18733,31.41117]"
2/27/2013,3,37.6,"[120.18733,31.41117]"
10/19/2012,4,2.6,"[120.18017,31.33833]"
11/22/2013,4,3,"[120.18017,31.33833]"
12/13/2011,4,3.4,"[120.18017,31.33833]"
6/17/2013,4,3.5,"[120.18017,31.33833]"
1/15/2013,4,3.8,"[120.18017,31.33833]"
8/15/2012,4,4.4,"[120.18017,31.33833]"
11/18/2012,4,5,"[120.18017,31.33833]"
5/13/2013,4,5.2,"[120.18017,31.33833]"
1/13/2012,4,6.3,"[120.18017,31.33833]"
2/22/2014,4,6.5,"[120.18017,31.33833]"
5/14/2012,4,6.6,"[120.18017,31.33833]"
8/22/2013,4,10.6,"[120.18017,31.33833]"
12/19/2012,4,10.9,"[120.18017,31.33833]"
2/27/2013,4,11.8,"[120.18017,31.33833]"
6/14/2012,4,12.3,"[120.18017,31.33833]"
4/15/2013,4,13.4,"[120.18017,31.33833]"
2/13/2012,4,14.7,"[120.18017,31.33833]"
3/16/2013,4,16.8,"[120.18017,31.33833]"
3/14/2012,4,18.6,"[120.18017,31.33833]"
7/23/2012,5,2,"[120.17062,31.24816]"
8/11/2011,5,2.5,"[120.17062,31.24816]"
11/22/2013,5,2.5,"[120.17062,31.24816]"
12/13/2011,5,3.7,"[120.17062,31.24816]"
5/13/2013,5,3.7,"[120.17062,31.24816]"
1/15/2013,5,3.8,"[120.17062,31.24816]"
10/19/2012,5,4.4,"[120.17062,31.24816]"
8/18/2011,5,4.5,"[120.17062,31.24816]"
6/17/2013,5,4.5,"[120.17062,31.24816]"
9/13/2012,5,4.8,"[120.17062,31.24816]"
5/14/2012,5,4.9,"[120.17062,31.24816]"
2/28/2013,5,5.9,"[120.17062,31.24816]"
8/22/2013,5,6.4,"[120.17062,31.24816]"
