Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/11/1994,3.3,,1,10.8,40,60,57,53,,,,,
1,08/01/1994,6.2,,1.9,5.15,19,51,51,47,,,,,
1,10/17/1994,5.2,,1.6,3.74,,53,,45,,,,,
18137361,04/07/2004,5,NO,1.5,,,54,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
18137361,08/23/2004,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,09/13/2004,5.5,NO,1.7,,,53,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18137361,11/08/2004,6,YES,1.8,,,51,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,02/10/2005,,,,,,,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,04/15/2005,4.8,NO,1.5,,,55,,,,,MURKY,BROWN,2-Very minor aesthetic problems
18137361,06/27/2005,5,NO,1.5,,,54,,,,,MURKY,BROWN,2-Very minor aesthetic problems
18137361,07/18/2005,5.5,NO,1.7,,,53,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18137361,07/24/2005,5,NO,1.5,,,54,,,,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
18137361,08/08/2005,5,NO,1.5,,,54,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18137361,08/31/2005,4,NO,1.2,,,57,,,,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18137361,09/12/2005,4.5,NO,1.4,,,55,,,,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18137361,11/14/2005,6.5,NO,2,,,50,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,04/11/2006,6,NO,1.8,,,51,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
18137361,07/07/2006,3.5,NO,1.1,,,59,,,,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18137361,09/05/2006,7,NO,2.1,,,49,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,09/08/2006,7,NO,2.1,,,49,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
18137361,09/18/2006,5,NO,1.5,,,54,,,,,MURKY,BROWN,2-Very minor aesthetic problems
19017626,07/30/2007,6.2,YES,1.9,,,51,,,LOW,7.5,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
21947475,07/30/2007,6.25,YES,1.9,,,51,,,LOW,,CLEAR,BROWN,
19017626,08/29/2007,7.5,YES,2.3,5.7,34,48,55,48,NORMAL,7.5,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
19017626,09/13/2007,5,YES,1.5,56,178,54,68,65,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
19017626,10/18/2007,5.9,NO,1.8,,,52,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
21947475,06/02/2008,5.7,YES,1.7,,,52,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
23163210,06/02/2008,5.75,YES,1.7,2.45,25,52,53,42,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
25650222,06/02/2008,,,,,,,,,,,,,
23163210,06/30/2008,6,YES,1.8,1.6,33,51,55,38,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
25475462,08/07/2008,5.5,YES,1.7,15.3,57,53,59,55,NORMAL,4.8,CLEAR,BLUE,1-Beautiful, could not be nicer
25475462,08/27/2008,5.3,NO,1.6,,,53,,,NORMAL,5.5,CLEAR,BROWN,2-Very minor aesthetic problems
25650222,08/27/2008,5,NO,1.5,,,54,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
25475462,09/24/2008,5.5,YES,1.7,8.47,26,53,53,51,NORMAL,5.09,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
23163210,05/08/2009,5,NO,1.5,,32,54,55,,,,,,
23163210,06/04/2009,6.5,YES,2,3.99,38,50,56,45,,,,,
25650222,08/06/2009,,,,1.29,20,,51,37,,,,,
23163210,09/02/2009,6.4,YES,1.9,1.56,12,50,47,38,NORMAL,5.3,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
23163210,05/10/2010,6.3,YES,1.9,,22,51,52,,NORMAL,5.5,MURKY,BROWN,2-Very minor aesthetic problems
25475462,06/22/2010,6,YES,1.8,3.44,36,51,56,44,HIGH,5.25,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
23163210,07/30/2010,3.5,NO,1.1,,,59,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
25650222,07/30/2010,,,,3.66,56,,59,45,,,,,
25650222,08/31/2010,3.25,NO,1,3.86,32,60,55,45,,5,MURKY,BROWN,4-Would not swim but boating OK (algae)
