Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wolf Lake,Adams,117500,WC,1,,013143,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190877,03/31/1990,20.25,NO,6.2,,,34,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,05/06/1990,21.25,NO,6.5,,,33,,,,,,GREEN,2-Very minor aesthetic problems
8190877,05/13/1990,25.25,NO,7.7,,,31,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,06/17/1990,21.5,NO,6.5,,,33,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,06/26/1990,19.75,NO,6,,,34,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,07/04/1990,14,NO,4.3,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,07/15/1990,14,NO,4.3,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,07/22/1990,14,NO,4.3,,,39,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,08/05/1990,11.5,NO,3.5,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190877,08/13/1990,15,NO,4.6,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,08/26/1990,13,NO,4,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190877,09/04/1990,13.5,NO,4.1,,,40,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190877,09/17/1990,13,NO,4,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190877,09/30/1990,12.5,NO,3.8,,,41,,,,,,YELLOW/GREEN,2-Very minor aesthetic problems
8190877,10/12/1990,16,NO,4.9,,,37,,,,,,GREEN,1-Beautiful, could not be nicer
8190877,04/16/1991,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190877,04/23/1991,25.5,NO,7.8,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
