Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Petenwell Lake,Adams,1377100,WC,1,,013169,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,06/17/1998,2,,0.6,,,67,,,,,,,
8191401,05/08/2005,2.75,NO,0.8,,,63,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
8191401,05/21/2005,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8191401,06/11/2005,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8191401,06/19/2005,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191401,06/22/2005,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191401,07/08/2005,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191401,07/15/2005,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191401,07/22/2005,3,NO,0.9,,,61,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,07/28/2005,0.75,NO,0.2,,,81,,,LOW,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
8191401,08/06/2005,0.75,NO,0.2,,,81,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,08/10/2005,1,NO,0.3,,,77,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,08/13/2005,1,NO,0.3,,,77,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,08/24/2005,1,NO,0.3,,,77,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,08/27/2005,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,09/04/2005,2,NO,0.6,,,67,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191401,09/18/2005,0.75,NO,0.2,,,81,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,09/27/2005,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8191401,05/27/2006,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
16115993,06/03/2006,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
16115993,06/24/2006,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
16115993,07/03/2006,0.5,NO,0.2,,,87,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
16115993,07/09/2006,1,NO,0.3,,,77,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
16115993,07/29/2006,1.5,NO,0.5,,,71,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
16115993,07/31/2006,2,NO,0.6,,,67,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
16115993,08/06/2006,1.5,NO,0.5,,,71,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
16115993,08/12/2006,1.5,NO,0.5,,,71,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
