Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Caroline Lake,Ashland,2938000,NO,2,,023055,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000017,04/13/2000,4.1,,1.2,,21,57,52,,,,,,
7000017,06/13/2000,4.5,,1.4,3.8,21,55,52,45,,,,,
7000017,07/19/2000,3.4,,1,6,37,59,56,48,,,,,
7000017,08/09/2000,3.2,,1,8,39,60,57,51,,,,,
8188850,08/06/2003,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
14842749,05/03/2016,,,,,18.4,,51,,,,,,
81527021,05/17/2016,,,,,21,,52,,,,,,
1,06/08/2016,,,,,23.7,,53,,,,,,
1,06/20/2016,,,,,31,,55,,,,,,
1,07/04/2016,,,,,32,,55,,,,,,
118560725,07/19/2016,,,,,26,,53,,,,,,
118560725,08/01/2016,,,,,37,,56,,,,,,
81527021,08/16/2016,,,,,26.7,,54,,,,,,
1,08/30/2016,,,,,41.1,,57,,,,,,
14842749,09/13/2016,,,,,34.2,,56,,,,,,
100060085,09/28/2016,,,,,31.1,,55,,,,,,
14842749,10/18/2016,,,,,31.7,,55,,,,,,
14842749,04/24/2017,,,,,16.8,,50,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/13/2000,,,20.3,C,7.9,MG/L
07/19/2000,,,22.4,C,6.1,MG/L



Start Date,Fieldwork Comment
08/06/2003,80 F- hazy sunshine- light N breeze.    




Start Date,Group Name,Project Name
04/13/2000,Craig Roesler,Lake Baseline Monitoring- DNR (1970s-2006)
06/13/2000,Craig Roesler,Appraisal Monitoring 2000
07/19/2000,Craig Roesler,Appraisal Monitoring 2000
08/09/2000,Craig Roesler,Lake Baseline Monitoring- DNR (1970s-2006)
08/06/2003,Clyde Eilo,Citizen Lake Monitoring - Water Quality - Caroline Lake; At Center
05/03/2016,Matt Hudson,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
05/17/2016,Kim Oldenborg,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
06/08/2016,Data Collectors,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
06/20/2016,Data Collectors,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
07/04/2016,Data Collectors,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
07/19/2016,Marisa Ulman,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
08/01/2016,Marisa Ulman,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
08/16/2016,Kim Oldenborg,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
08/30/2016,Data Collectors,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
09/13/2016,Matt Hudson,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
09/28/2016,Joe Fitzgerald,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
10/18/2016,Matt Hudson,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
04/24/2017,Matt Hudson,SIGURD OLSON ENVIRONMENTAL INSTITUTE: Comprehensive Management Planning for Caroline Lake
