Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Library Lake,Barron,2081500,NO,3,,033134,NW,DRAINED



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/27/1992,10,,3.05,5,18,44,51,47,,,,,
1,06/24/1992,8.9,,2.7,,19,46,51,,,,,,
8190878,06/30/1992,12.5,NO,3.8,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190878,07/16/1992,11,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
1,08/11/1992,,,,6.83,15,,49,49,,,,,
8190878,08/19/1992,11,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190018,05/12/1994,9,NO,2.7,,,45,,,,,CLEAR,BLUE/GREEN,2-Very minor aesthetic problems
1,05/17/1994,,,,4.55,17,,50,46,,,,,
8190018,06/03/1994,8.5,NO,2.6,,,46,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
1,06/21/1994,,,,3.67,18,,51,45,,,,,
1,07/19/1994,,,,5.78,20,,51,48,,,,,
1,08/16/1994,,,,5.88,14,,49,48,,,,,
1,09/20/1994,,,,4.83,18,,51,47,,,,,
8190018,06/12/1995,10.5,NO,3.2,,,43,,,,,,,2-Very minor aesthetic problems
8190018,07/07/1995,10,NO,3,,,44,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190018,07/26/1995,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,BLUE/GREEN,1-Beautiful, could not be nicer
8190018,08/23/1995,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190018,09/05/1995,10.25,NO,3.1,,,44,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,06/13/1996,11,NO,3.3,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,07/22/1996,10.5,NO,3.2,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,08/02/1996,9.5,NO,2.9,,,45,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,09/18/1996,11,NO,3.3,,,43,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190018,05/30/1997,12,NO,3.6,,,41,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190018,06/26/1997,7.5,NO,2.3,,,48,,,,,CLEAR,BROWN,
8190018,07/30/1997,9,NO,2.7,,,45,,,,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190018,08/28/1997,10,NO,3,,,44,,,,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8190018,05/26/1998,9.5,NO,2.9,,,45,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8190018,07/09/1998,8.25,NO,2.5,,,47,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8190018,07/31/1998,10,NO,3,,,44,,,NO CHANGE,,CLEAR,BROWN,2-Very minor aesthetic problems
8190018,08/31/1998,9.25,NO,2.8,,,45,,,NO CHANGE,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
