Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Thirty,Barron,2099900,NO,3,,033205,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000039,08/14/2001,2.5,NO,0.75,28,30,64,54,60,,,,,
19207139,07/11/2017,4.25,NO,1.3,,,56,,,,,CLEAR,BROWN,
1,07/19/2017,,,,17.4,35.2,,56,56,,,,,
82607229,07/19/2017,5,NO,1.5,,,54,,,,,CLEAR,BROWN,
145584054,08/08/2017,,,,16.4,20.6,,52,56,,,,,
10585221,08/11/2017,5.5,NO,1.7,14.1,32.6,53,55,55,,,CLEAR,BROWN,
10585221,09/01/2017,5,NO,1.5,14.2,26,54,53,55,,,CLEAR,BROWN,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/14/2001,,,24.0,C,7.5,MG/L
07/19/2017,0,METERS,75.8,DEGREES F,7.95,MG/L
07/19/2017,1,METERS,75.2,DEGREES F,7.88,MG/L
07/19/2017,2,METERS,72.8,DEGREES F,7.09,MG/L
07/19/2017,3,METERS,64.2,DEGREES F,.17,MG/L
07/19/2017,4,METERS,56.7,DEGREES F,.15,MG/L
07/19/2017,5,METERS,53.9,DEGREES F,.15,MG/L
07/19/2017,6,METERS,52.5,DEGREES F,.16,MG/L
07/19/2017,7,METERS,52.4,DEGREES F,.18,MG/L
07/19/2017,8,METERS,52.2,DEGREES F,.17,MG/L
08/08/2017,0,METERS,23.05,DEGREES C,8.45,MG/L
08/08/2017,1,METERS,22.8,DEGREES C,8.3,MG/L
08/08/2017,2,METERS,21.5,DEGREES C,5.6,MG/L
08/08/2017,3,METERS,20.4,DEGREES C,2.2,MG/L
08/08/2017,4,METERS,17.6,DEGREES C,.9,MG/L
08/08/2017,5,METERS,13.5,DEGREES C,.1,MG/L
08/08/2017,6,METERS,11.8,DEGREES C,.02,MG/L
08/08/2017,7,METERS,10.6,DEGREES C,.03,MG/L
08/08/2017,7.8,METERS,10.1,DEGREES C,.03,MG/L
08/11/2017,0,METERS,70.9,DEGREES F,6.1,MG/L
08/11/2017,1,METERS,70.6,DEGREES F,6.18,MG/L
08/11/2017,2,METERS,69.9,DEGREES F,6.53,MG/L
08/11/2017,3,METERS,69,DEGREES F,5.78,MG/L
08/11/2017,4,METERS,64.2,DEGREES F,.15,MG/L
08/11/2017,5,METERS,55.2,DEGREES F,.14,MG/L
08/11/2017,6,METERS,52.1,DEGREES F,.14,MG/L
08/11/2017,7,METERS,50.9,DEGREES F,.15,MG/L
08/11/2017,8,METERS,50.9,DEGREES F,.2,MG/L
09/01/2017,0,METERS,67.4,DEGREES F,7.78,MG/L
09/01/2017,1,METERS,67.2,DEGREES F,7.78,MG/L
09/01/2017,2,METERS,67.1,DEGREES F,7.77,MG/L
09/01/2017,3,METERS,66.8,DEGREES F,7.78,MG/L
09/01/2017,4,METERS,66.2,DEGREES F,7.79,MG/L
09/01/2017,5,METERS,56,DEGREES F,.12,MG/L
09/01/2017,6,METERS,51.7,DEGREES F,.12,MG/L
09/01/2017,7,METERS,50.8,DEGREES F,.13,MG/L
09/01/2017,8,METERS,50,DEGREES F,.15,MG/L
09/01/2017,9,METERS,49.9,DEGREES F,.16,MG/L



Start Date,Fieldwork Comment
08/14/2001,DEEP SPOT- INTEGRATED SAMPLER    




Start Date,Group Name,Project Name
08/14/2001,GENE HATZENBELER,BASELINE MONITORING FOR SMALL
07/11/2017,ALEX SMITH,Directed Lakes 2017 Smith
07/19/2017,Data Collectors,Targeted Watershed Assessments (TWA)
07/19/2017,Mark Sundeen and Alex Smith,Directed Lakes 2017 Smith
08/08/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
08/11/2017,MARK SUNDEEN,Directed Lakes 2017 Smith
09/01/2017,MARK SUNDEEN,Directed Lakes 2017 Smith
