Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Scott Lake,Barron,2630700,NO,3,,034012,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/29/1979,,,,20.87,26,,53,58,,,,,
82607229,07/19/2016,4,NO,1.2,18,28.6,57,54,57,,,MURKY,BROWN,2-Very minor aesthetic problems
10585221,08/12/2016,3,NO,0.9,32.6,25,61,53,61,,,CLEAR,BROWN,
10585221,08/31/2016,6,NO,1.8,13.4,36.8,51,56,54,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/29/1979,,,,,0,MG/L
07/19/2016,0,METERS,78.5,DEGREES F,8.8,MG/L
07/19/2016,1,METERS,78.1,DEGREES F,8.82,MG/L
07/19/2016,2,METERS,76.8,DEGREES F,8.26,MG/L
07/19/2016,3,METERS,71.5,DEGREES F,5.25,MG/L
07/19/2016,4,METERS,57.3,DEGREES F,.2,MG/L
07/19/2016,5,METERS,52.1,DEGREES F,.18,MG/L
07/19/2016,6,METERS,50,DEGREES F,.18,MG/L
07/19/2016,7,METERS,49.7,DEGREES F,.18,MG/L
07/19/2016,8,METERS,49.6,DEGREES F,.19,MG/L
08/12/2016,0,FEET,78.6,DEGREES F,8.54,MG/L
08/12/2016,1,FEET,78.6,DEGREES F,8.53,MG/L
08/12/2016,2,FEET,78.5,DEGREES F,8.52,MG/L
08/12/2016,3,FEET,78.4,DEGREES F,8.48,MG/L
08/12/2016,4,FEET,78.3,DEGREES F,8.39,MG/L
08/12/2016,5,FEET,78,DEGREES F,7.9,MG/L
08/12/2016,6,FEET,77.6,DEGREES F,7.44,MG/L
08/12/2016,7,FEET,77,DEGREES F,5.74,MG/L
08/12/2016,8,FEET,76,DEGREES F,4.8,MG/L
08/12/2016,9,FEET,73.9,DEGREES F,1.45,MG/L
08/12/2016,10,FEET,70,DEGREES F,.09,MG/L
08/12/2016,11,FEET,67.4,DEGREES F,.08,MG/L
08/12/2016,12,FEET,64.2,DEGREES F,.08,MG/L
08/12/2016,13,FEET,61.4,DEGREES F,.08,MG/L
08/12/2016,14,FEET,58.4,DEGREES F,.07,MG/L
08/12/2016,15,FEET,56.7,DEGREES F,.08,MG/L
08/12/2016,16,FEET,54.7,DEGREES F,.07,MG/L
08/12/2016,17,FEET,53.6,DEGREES F,.07,MG/L
08/12/2016,18,FEET,52.2,DEGREES F,.08,MG/L
08/12/2016,19,FEET,51.3,DEGREES F,.08,MG/L
08/12/2016,20,FEET,50.5,DEGREES F,.08,MG/L
08/12/2016,21,FEET,50.3,DEGREES F,.09,MG/L
08/12/2016,22,FEET,50.3,DEGREES F,.1,MG/L
08/12/2016,23,FEET,50.4,DEGREES F,.12,MG/L
08/12/2016,24,FEET,50.5,DEGREES F,.15,MG/L
08/12/2016,25,FEET,50.5,DEGREES F,.25,MG/L
08/31/2016,0,FEET,73.6,DEGREES F,8.42,MG/L
08/31/2016,1,FEET,73.5,DEGREES F,8.43,MG/L
08/31/2016,2,FEET,73.4,DEGREES F,8.43,MG/L
08/31/2016,3,FEET,73.3,DEGREES F,8.41,MG/L
08/31/2016,4,FEET,73,DEGREES F,8.35,MG/L
08/31/2016,5,FEET,72.8,DEGREES F,8.14,MG/L
08/31/2016,6,FEET,72.7,DEGREES F,7.96,MG/L
08/31/2016,7,FEET,72.4,DEGREES F,7.42,MG/L
08/31/2016,8,FEET,72,DEGREES F,6.9,MG/L
08/31/2016,9,FEET,71,DEGREES F,5.62,MG/L
08/31/2016,10,FEET,70.6,DEGREES F,4.88,MG/L
08/31/2016,11,FEET,69.4,DEGREES F,3.04,MG/L
08/31/2016,12,FEET,67.3,DEGREES F,.38,MG/L
08/31/2016,13,FEET,63.3,DEGREES F,.12,MG/L
08/31/2016,14,FEET,60.3,DEGREES F,.11,MG/L
08/31/2016,15,FEET,57.6,DEGREES F,.1,MG/L
08/31/2016,16,FEET,56.1,DEGREES F,.1,MG/L
08/31/2016,17,FEET,54.1,DEGREES F,.11,MG/L
08/31/2016,18,FEET,52.8,DEGREES F,.12,MG/L
08/31/2016,19,FEET,51.9,DEGREES F,.12,MG/L
08/31/2016,20,FEET,50.8,DEGREES F,.12,MG/L
08/31/2016,21,FEET,50.6,DEGREES F,.13,MG/L
08/31/2016,22,FEET,50.5,DEGREES F,.14,MG/L
08/31/2016,23,FEET,50.7,DEGREES F,.16,MG/L
08/31/2016,24,FEET,50.9,DEGREES F,.19,MG/L
08/31/2016,25,FEET,51.5,DEGREES F,.25,MG/L



Start Date,Fieldwork Comment
08/29/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    




Start Date,Group Name,Project Name
08/29/1979,Data Collectors,Migrated from STORET Legacy
07/19/2016,Mark Sundeen and Alex Smith,Directed Lakes 2016 Smith
08/12/2016,MARK SUNDEEN,Directed Lakes 2016 Smith
08/31/2016,MARK SUNDEEN,Directed Lakes 2016 Smith
