Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Delta,Bayfield,2901700,NO,4,,043075,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188994,08/13/2003,15.25,NO,4.6,,,38,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/20/2003,14.75,NO,4.5,,,38,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/28/2003,12,NO,3.6,,,41,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8188994,09/03/2003,14,NO,4.3,,,39,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/09/2003,15.25,NO,4.6,,,38,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/23/2003,13,NO,4,,,40,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8188994,10/01/2003,9.25,NO,2.8,,,45,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8188994,05/08/2004,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/17/2004,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/18/2004,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8188994,07/07/2004,13.25,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,07/19/2004,13.25,NO,4,,,40,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/01/2004,13.5,NO,4.1,,,40,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/12/2004,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/03/2004,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/09/2004,14.75,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/03/2005,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188994,05/23/2005,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/30/2005,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/17/2005,14,NO,4.3,,,39,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/25/2005,15.75,NO,4.8,,,37,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/09/2005,13.25,NO,4,,,40,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/15/2005,12.5,NO,3.8,,,41,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/27/2005,11.25,NO,3.4,,,42,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/10/2005,13.75,NO,4.2,,,39,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/02/2005,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/08/2005,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/07/2006,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/04/2006,15.5,NO,4.7,,,38,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/24/2006,17,NO,5.2,,,36,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/25/2006,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/08/2006,10.75,NO,3.3,,,43,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/15/2006,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/01/2007,12,NO,3.6,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/10/2007,11.5,NO,3.5,,,42,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/22/2007,12,NO,3.6,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,06/30/2007,13.75,NO,4.2,,,39,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/16/2007,14,NO,4.3,,,39,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/20/2007,15.25,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/04/2007,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/31/2007,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/16/2007,9,NO,2.7,,,45,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188994,06/23/2008,13.5,NO,4.1,,,40,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8188994,07/04/2008,13,NO,4,,,40,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/07/2008,13.75,NO,4.2,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,07/25/2008,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/18/2008,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8188994,08/20/2008,13.75,NO,4.2,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/14/2008,12.5,NO,3.8,,,41,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/27/2008,11.25,NO,3.4,,,42,,,LOW,,,GREEN,2-Very minor aesthetic problems
8188994,05/17/2009,13.5,NO,4.1,,,40,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8188994,06/12/2009,12.25,NO,3.7,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/04/2009,16.25,NO,4.9,,,37,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8188994,07/07/2009,17.5,NO,5.3,,,36,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8188994,07/19/2009,13.25,NO,4,,,40,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8188994,07/23/2009,14.25,NO,4.3,,,39,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,07/29/2009,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/08/2009,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/13/2009,14.75,NO,4.5,,,38,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/23/2009,12.75,NO,3.9,,,40,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,08/31/2009,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,09/16/2009,15.75,NO,4.8,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,04/18/2010,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/06/2010,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/20/2010,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,05/28/2010,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/13/2010,11.75,NO,3.6,,,42,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8188994,06/22/2010,13.75,NO,4.2,,,39,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,06/29/2010,13,NO,4,,,40,,,HIGH,,,,2-Very minor aesthetic problems
8188994,07/09/2010,12.75,NO,3.9,,,40,,,LOW,,,GREEN,2-Very minor aesthetic problems
8188994,07/15/2010,12.25,NO,3.7,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,07/23/2010,11.5,NO,3.5,,,42,,,LOW,,,GREEN,2-Very minor aesthetic problems
8188994,07/31/2010,12.75,NO,3.9,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/12/2010,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8188994,08/24/2010,11.75,NO,3.6,,,42,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/01/2010,12,NO,3.6,,,41,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8188994,09/09/2010,10.25,NO,3.1,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
