Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Jackson Lake,Bayfield,2734200,NO,4,,043111,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/05/1998,,,,,46,,58,,,,,,
1,04/22/1998,,,,9.19,31,,55,52,,,,,
1,06/09/1998,,,,6.32,30,,54,49,,,,,
1,07/08/1998,,,,17.8,46,,58,57,,,,,
8189353,08/08/1998,2.25,NO,0.7,,,65,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
1,08/11/1998,,,,81.1,49,,58,68,,,,,
8189353,08/14/1998,2.5,NO,0.8,,,64,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189353,08/21/1998,2.5,NO,0.8,,,64,,,NO CHANGE,,MURKY,BROWN,2-Very minor aesthetic problems
8189353,08/31/1998,2.25,NO,0.7,,,65,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/09/1998,2.75,NO,0.8,,,63,,,NO CHANGE,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189353,09/16/1998,2.75,NO,0.8,,,63,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/28/1998,3,NO,0.9,,,61,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,10/10/1998,3.5,NO,1.1,,,59,,,NO CHANGE,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
1,03/03/1999,,,,,,,,,,,,,
18137486,03/03/1999,, ,,,,,,,,,,,
1,04/20/1999,,,,9.97,41,,57,52,,,,,
8189353,05/28/1999,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
1,06/02/1999,,,,5.62,44,,57,48,,,,,
8189353,06/20/1999,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
1,07/07/1999,,,,15.9,34,,55,56,,,,,
8189353,07/11/1999,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/25/1999,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,08/10/1999,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
1,08/17/1999,,,,18,62,,60,57,,,,,
8189353,08/29/1999,2.25,NO,0.7,,,65,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/23/1999,2.75,NO,0.8,,,63,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,05/29/2000,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,06/08/2000,3,NO,0.9,,,61,,,GAUGE,4.3,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,06/17/2000,4.5,NO,1.4,,,55,,,GAUGE,5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/03/2000,4,NO,1.2,,,57,,,GAUGE,5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/11/2000,4.25,NO,1.3,,,56,,,GAUGE,6,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/19/2000,4.75,NO,1.4,,,55,,,GAUGE,4,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/30/2000,3.75,NO,1.1,,,58,,,GAUGE,5.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,08/13/2000,3.5,NO,1.1,,,59,,,GAUGE,4.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,08/27/2000,3.75,NO,1.1,,,58,,,GAUGE,4,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/08/2000,4,NO,1.2,,,57,,,GAUGE,3.8,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/18/2000,4.25,NO,1.3,,,56,,,GAUGE,1,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/30/2000,4.5,NO,1.4,,,55,,,GAUGE,.125,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,05/29/2001,4,NO,1.2,,,57,,,GAUGE,6.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,06/20/2001,3.5,NO,1.1,,,59,,,GAUGE,6,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,07/12/2001,4,NO,1.2,,,57,,,GAUGE,3,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,08/02/2001,3.75,NO,1.1,,,58,,,GAUGE,9,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/03/2001,3.5,NO,1.1,,,59,,,GAUGE,3,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189353,09/15/2001,4,NO,1.2,,,57,,,GAUGE,3,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8188700,06/15/2003,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/09/2003,5.6,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/19/2003,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188700,08/07/2003,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188700,09/01/2003,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188700,05/03/2004,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,06/21/2004,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/02/2004,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/20/2004,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,08/04/2004,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,09/18/2004,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,10/06/2004,4.5,NO,1.4,,,55,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188700,05/21/2005,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,05/30/2005,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,06/11/2005,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/12/2005,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,08/16/2005,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188700,09/05/2005,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188700,05/23/2006,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,06/22/2006,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/07/2006,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188700,07/29/2006,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
