Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bony Lake,Bayfield,2742500,NO,4,,043154,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189150,08/13/2000,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,09/24/2000,20,NO,6.1,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,10/01/2000,21,NO,6.4,,,33,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,05/13/2001,20,NO,6.1,,,34,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,06/17/2001,26,NO,7.9,,,30,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,07/14/2001,20,NO,6.1,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,06/30/2002,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,07/07/2002,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,07/14/2002,26,NO,7.9,,,30,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,08/18/2002,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,08/24/2002,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,05/26/2003,29,NO,8.8,,9,29,45,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,06/29/2003,21,NO,6.4,3.28,11,33,47,44,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,07/20/2003,23.5,NO,7.1,0.87,12,32,47,34,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,08/17/2003,20.5,NO,6.2,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,09/01/2003,20.5,NO,6.2,1.31,13,34,48,37,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189150,10/12/2003,20.5,NO,6.2,3.66,12,34,47,45,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191414,11/10/2005,20,NO,6.1,1.84,24,34,53,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,05/02/2006,,,,,25,,53,,,,,,
15899709,06/24/2006,17,NO,5.2,1.51,11,36,47,38,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,06/26/2006,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,07/24/2006,19,NO,5.8,0.71,11,35,47,32,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,07/28/2006,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,08/20/2006,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,08/23/2006,17,NO,5.2,1.53,9,36,45,38,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,08/30/2006,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,09/13/2006,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,09/26/2006,12.5,NO,3.8,4.75,14,41,49,47,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,10/02/2006,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771421,05/09/2007,,,,,,,,,,,,,
18771421,05/21/2007,18,NO,5.5,,8,35,44,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,06/29/2007,20.5,NO,6.2,1.65,6,34,42,39,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771421,07/20/2007,24,NO,7.3,,,31,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771421,07/24/2007,22.5,NO,6.8,0.89,7,32,43,34,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,08/10/2007,19.5,NO,5.9,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18771421,08/22/2007,18.5,NO,5.6,2.66,8,35,44,42,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
15899709,09/26/2007,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
15899709,05/27/2008,25.5,NO,7.8,,,30,,,NORMAL,3,,BLUE,1-Beautiful, could not be nicer
18771421,05/27/2008,,,,,8,,44,,,,,,
18771421,06/25/2008,20.75,NO,6.3,,,33,,,NORMAL,,CLEAR,BLUE,
18771421,06/30/2008,,,,1.4,7,,43,37,,,,,
18771421,07/01/2008,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,BLUE,
18771421,07/19/2008,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,
18771421,07/22/2008,20.5,NO,6.2,1.24,6,34,42,36,NORMAL,,CLEAR,BLUE,
18771421,08/10/2008,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,08/25/2008,19.5,NO,5.9,1.64,8,34,44,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,08/26/2008,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,09/12/2008,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
15899709,05/24/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18771421,07/22/2009,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,07/27/2009,,NO,,,,,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
18771421,07/28/2009,,,,1.75,9,,45,39,,,,,
15899709,08/10/2009,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
