Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Breakfast Lake,Bayfield,2454800,NO,4,,043158,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
19301772,08/26/2007,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
19301772,09/01/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
19301772,09/09/2007,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
19301772,10/07/2007,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
19301772,05/10/2008,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,05/24/2008,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,06/08/2008,20,NO,6.1,,,34,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,06/14/2008,19,NO,5.8,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
19301772,06/23/2008,20,YES,6.1,,,34,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,06/30/2008,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,07/13/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,07/25/2008,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,08/04/2008,13.25,NO,4,,,40,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/10/2008,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/18/2008,11.5,NO,3.5,,,42,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,08/24/2008,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/31/2008,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,09/07/2008,7.75,NO,2.4,,,48,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
19301772,09/21/2008,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
19301772,09/28/2008,11.5,NO,3.5,,,42,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
19301772,10/05/2008,11.5,NO,3.5,,,42,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
19301772,06/07/2009,14.5,NO,4.4,,,39,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
19301772,06/14/2009,14.5,NO,4.4,,,39,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,06/29/2009,13,NO,4,,,40,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
19301772,07/04/2009,13,NO,4,,,40,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
19301772,07/22/2009,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
19301772,07/27/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
19301772,08/03/2009,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/15/2009,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/22/2009,11,NO,3.3,,,43,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,08/30/2009,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,09/07/2009,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19301772,09/20/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
