Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rooney Lake,Burnett,2493100,NO,7,,073041,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190904,06/04/1988,16.5,NO,5,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190904,06/17/1988,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190904,07/01/1988,11.75,NO,3.6,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189840,07/22/1988,10,NO,3,,,44,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189840,08/06/1988,8.25,NO,2.5,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8189840,08/15/1988,9.25,NO,2.8,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189840,08/21/1988,10.5,NO,3.2,,,43,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189840,08/25/1988,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190159,08/29/1988,11.5,NO,3.5,,,42,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190159,09/11/1988,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190159,09/25/1988,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190159,10/09/1988,20.75,NO,6.3,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191031,06/11/1989,12.5,NO,3.8,,,41,,,+5" FROM '88,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191031,07/30/1989,11.5,NO,3.5,,,42,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8191031,08/16/1989,11,NO,3.3,,,43,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189841,07/07/1990,9,NO,2.7,,,45,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189841,07/14/1990,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189841,07/21/1990,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189841,08/05/1990,8,NO,2.4,,,47,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8189841,08/26/1990,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189030,06/08/1991,10,NO,3,,,44,,,HIGH,,,LIGHT GREEN,2-Very minor aesthetic problems
8189030,07/03/1991,10,NO,3,,,44,,,HIGH,,,LIGHT GREEN,2-Very minor aesthetic problems
8189842,07/04/1991,8,NO,2.4,,,47,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189842,07/14/1991,8,NO,2.4,,,47,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189842,07/21/1991,8,NO,2.4,,,47,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190390,08/18/1991,8,NO,2.4,,,47,,,,,,LIGHT GREEN,2-Very minor aesthetic problems
8190390,08/25/1991,8,NO,2.4,,,47,,,,,,LIGHT GREEN.,2-Very minor aesthetic problems
8190390,09/02/1991,7,NO,2.1,,,49,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190390,09/09/1991,8,NO,2.4,,,47,,,,,,LIGHT GREEN,2-Very minor aesthetic problems
8190390,09/14/1991,7,NO,2.1,,,49,,,HIGH,,,LIGHT GREEN,2-Very minor aesthetic problems
8190390,09/21/1991,9.75,NO,3,,,44,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190390,10/25/1991,10,NO,3,,,44,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190605,06/13/1992,13,NO,4,,,40,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189840,07/08/1992,11,NO,3.3,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189840,07/21/1992,8.75,NO,2.7,,,46,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189840,07/29/1992,11,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190159,08/13/1992,10,NO,3,,,44,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190159,08/27/1992,10,NO,3,,,44,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190159,09/19/1992,11.25,NO,3.4,,,42,,,HIGH,,,GREEN,2-Very minor aesthetic problems
