Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wood Lake,Burnett,2649800,NO,7,,073044,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190261,03/26/1987,5.5,NO,1.7,,,53,,,,,CLEAR,BLUE,
8190261,03/27/1987,5.25,NO,1.6,,,53,,,,,CLEAR,BLUE,
8190261,04/02/1987,5.25,NO,1.6,,,53,,,,,CLEAR,BLUE,
8190261,04/09/1987,5.75,NO,1.7,,,52,,,,,CLEAR,BLUE,
8190261,04/16/1987,5.25,NO,1.6,,,53,,,,,CLEAR,BLUE,
8190261,04/23/1987,5,NO,1.5,,,54,,,,,CLEAR,BLUE,
8190261,05/02/1987,7,NO,2.1,,,49,,,LOW,,CLEAR,BLUE,
8190261,05/08/1987,7,NO,2.1,,,49,,,,,CLEAR,BLUE,
8190261,05/17/1987,6,NO,1.8,,,51,,,LOW,,CLEAR,BLUE,
8190261,05/27/1987,6.5,NO,2,,,50,,,,,CLEAR,BLUE,
8190261,06/05/1987,5.5,NO,1.7,,,53,,,,,CLEAR,BLUE,
8190261,06/13/1987,5.5,NO,1.7,,,53,,,,,CLEAR,BLUE,
8190261,06/22/1987,4.5,NO,1.4,,,55,,,LOWEST YET,,,GREEN,
8190261,06/30/1987,3.5,NO,1.1,,,59,,,,,,GREEN,
8190261,07/07/1987,4.25,NO,1.3,,,56,,,,,,GREEN,
8190261,07/15/1987,4.5,NO,1.4,,,55,,,,,,GREEN,
8190261,07/24/1987,4.5,NO,1.4,,,55,,,,,,GREEN,
8190261,07/30/1987,5.25,NO,1.6,,,53,,,,,,GREEN,
8190261,08/13/1987,4.5,NO,1.4,,,55,,,HIGH,,,GREEN,
8190261,08/23/1987,4,NO,1.2,,,57,,,,,,GREEN,
8190261,09/02/1987,4,NO,1.2,,,57,,,,,,GREEN,
8190261,09/11/1987,3.25,NO,1,,,60,,,,,,GREEN,
8190261,09/22/1987,3.75,NO,1.1,,,58,,,,,,GREEN,
8190261,10/07/1987,3.75,NO,1.1,,,58,,,,,,GREEN,
8190261,10/17/1987,4.25,NO,1.3,,,56,,,,,,GREEN,
8190261,10/28/1987,4.25,NO,1.3,,,56,,,,,,,
8190261,11/06/1987,4.5,NO,1.4,,,55,,,,,CLEAR,BLUE,
8190261,11/12/1987,4.5,NO,1.4,,,55,,,,,,,
8190261,04/10/1988,6.25,NO,1.9,,,51,,,2" ABOVE NORMAL,,CLEAR,BLUE,
8190261,05/21/1988,6.75,NO,2.1,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190261,06/03/1988,4.25,NO,1.3,,,56,,,,,,GREEN,2-Very minor aesthetic problems
8190261,06/12/1988,5.25,NO,1.6,,,53,,,EST. 6-8" BELOW NORMAL,,,GREEN,2-Very minor aesthetic problems
8190261,06/22/1988,5.75,NO,1.7,,,52,,,,,,GREEN,2-Very minor aesthetic problems
8190261,06/30/1988,5.25,NO,1.6,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190261,07/10/1988,5.75,NO,1.7,,,52,,,,,,GREEN,2-Very minor aesthetic problems
8190261,07/18/1988,6,NO,1.8,,,51,,,,,,GREEN,2-Very minor aesthetic problems
8190261,07/30/1988,4.75,NO,1.4,,,55,,,,,,GREEN,2-Very minor aesthetic problems
8190261,08/08/1988,5,NO,1.5,,,54,,,,,,GREEN,2-Very minor aesthetic problems
8190261,08/18/1988,4.75,NO,1.4,,,55,,,,,,GREEN,2-Very minor aesthetic problems
8190261,08/29/1988,3.5,NO,1.1,,,59,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190261,09/06/1988,4.25,NO,1.3,,,56,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,09/17/1988,4.75,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,09/25/1988,4,NO,1.2,,,57,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,10/05/1988,4.25,NO,1.3,,,56,,,,,,GREEN,
8190261,10/12/1988,4.25,NO,1.3,,,56,,,,,,GREEN,
8190261,10/26/1988,4.75,NO,1.4,,,55,,,,,,GREEN,
8190261,04/28/1989,4.75,NO,1.4,,,55,,,,,,BROWN,1-Beautiful, could not be nicer
8190261,05/02/1989,5.25,NO,1.6,,,53,,,,,,BROWN,1-Beautiful, could not be nicer
8190261,05/11/1989,7.25,NO,2.2,,,49,,,,,,BROWN,1-Beautiful, could not be nicer
8190261,05/21/1989,8.25,NO,2.5,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8190261,06/01/1989,6.75,NO,2.1,,,50,,,,,,GREEN,1-Beautiful, could not be nicer
8190261,06/16/1989,8.25,NO,2.5,,,47,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,06/27/1989,5.25,NO,1.6,,,53,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,07/10/1989,5.75,NO,1.7,,,52,,,,,,GREEN,2-Very minor aesthetic problems
8190261,07/21/1989,6.5,NO,2,,,50,,,,,,,
8190261,07/31/1989,4.25,NO,1.3,,,56,,,,,,GREEN,2-Very minor aesthetic problems
8190261,08/10/1989,5.25,NO,1.6,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190261,08/21/1989,4.75,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,09/01/1989,4.25,NO,1.3,,,56,,,NORMAL,,,GREEN,1-Beautiful, could not be nicer
8190261,09/15/1989,4.5,NO,1.4,,,55,,,,,,,
8190261,09/26/1989,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,10/04/1989,4.25,NO,1.3,,,56,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,10/14/1989,5.25,NO,1.6,,,53,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190261,10/23/1989,5.25,NO,1.6,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190261,11/06/1989,4.75,NO,1.4,,,55,,,,,,GREEN,
1,05/17/1993,,,,,,,,,,,,,
8190543,05/23/1993,6.5,NO,2,,,50,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190543,06/03/1993,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190543,06/10/1993,4.5,NO,1.4,,,55,,,HIGH,,,GREEN,4-Would not swim but boating OK (algae)
1,06/14/1993,,,,31.2,,,,61,,,,,
8190543,06/21/1993,5,NO,1.5,,,54,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,06/26/1993,4,NO,1.2,,,57,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,07/02/1993,3.75,NO,1.1,,,58,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,07/10/1993,2.75,NO,0.8,,,63,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,07/19/1993,,,,38.8,33,,55,62,,,,,
8190543,07/19/1993,3.25,NO,1,,,60,,,HIGH,,,GREEN,4-Would not swim but boating OK (algae)
8190543,07/29/1993,2.75,NO,0.8,,,63,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,08/07/1993,2.75,NO,0.8,,,63,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,08/12/1993,2.75,NO,0.8,,,63,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,08/23/1993,3,NO,0.9,,,61,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,09/02/1993,3,NO,0.9,,,61,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190543,09/12/1993,2.75,NO,0.8,,,63,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,09/13/1993,,,,44.6,,,,64,,,,,
8190543,09/18/1993,4.5,NO,1.4,,,55,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,05/12/1994,5.5,NO,1.7,,,53,,,NO CHANGE,,,,2-Very minor aesthetic problems
8190543,05/24/1994,7,NO,2.1,,,49,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190543,05/31/1994,5,NO,1.5,,,54,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190543,06/03/1994,4,NO,1.2,,,57,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190543,06/11/1994,3.5,NO,1.1,,,59,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,06/17/1994,3,NO,0.9,,,61,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,06/24/1994,3.5,NO,1.1,,,59,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,07/04/1994,3.75,NO,1.1,,,58,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8190543,07/14/1994,3,NO,0.9,,,61,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,07/24/1994,3.25,NO,1,,,60,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,07/30/1994,3.25,NO,1,,,60,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,08/10/1994,3,NO,0.9,,,61,,,NO CHANGE,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190543,08/20/1994,4,NO,1.2,,,57,,,NO CHANGE,,,GREEN,2-Very minor aesthetic problems
8190543,08/28/1994,3.75,NO,1.1,,,58,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,09/05/1994,3.25,NO,1,,,60,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,09/16/1994,3.25,NO,1,,,60,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,09/28/1994,3,NO,0.9,,,61,,,,,,GREEN,2-Very minor aesthetic problems
8190543,06/09/1995,5.5,NO,1.7,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190543,06/18/1995,5.5,NO,1.7,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,06/25/1995,6.75,NO,2.1,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190543,07/04/1995,5.75,NO,1.7,,,52,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190543,07/12/1995,8,NO,2.4,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8190543,07/16/1995,8.5,NO,2.6,,,46,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190543,07/24/1995,11,NO,3.3,,,43,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190543,08/01/1995,7,NO,2.1,,,49,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190543,08/09/1995,7,NO,2.1,,,49,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,08/17/1995,5.25,NO,1.6,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,08/25/1995,4,NO,1.2,,,57,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190543,09/10/1995,4.25,NO,1.3,,,56,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190543,09/16/1995,3.5,NO,1.1,,,59,,,,,,BROWN,2-Very minor aesthetic problems
8190543,09/26/1995,4.25,NO,1.3,,,56,,,,,,BROWN,2-Very minor aesthetic problems
8190543,05/18/1996,5,NO,1.5,,,54,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190543,05/29/1996,5.75,NO,1.7,,,52,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190543,06/07/1996,7.25,NO,2.2,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190543,06/20/1996,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190261,06/29/1996,5.25,NO,1.6,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,07/04/1996,5,NO,1.5,,,54,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,07/14/1996,5.25,NO,1.6,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190543,07/23/1996,5,NO,1.5,,,54,,,,,,GREEN,2-Very minor aesthetic problems
8190543,08/03/1996,5,NO,1.5,,,54,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190543,08/12/1996,5.5,NO,1.7,,,53,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190543,08/23/1996,4.75,NO,1.4,,,55,,,LOW,,,GREEN,2-Very minor aesthetic problems
