Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Clear Lake,Burnett,2457600,NO,7,,073051,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190471,07/09/1993,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,07/21/1993,13.75,NO,4.2,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,08/04/1993,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,08/24/1993,6.25,NO,1.9,,,51,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190471,09/17/1993,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,09/25/1993,10.75,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,06/12/1994,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,06/25/1994,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,07/10/1994,11.25,NO,3.4,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,07/27/1994,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,08/13/1994,8.75,NO,2.7,,,46,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,08/25/1994,7.5,NO,2.3,,,48,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190471,09/10/1994,6.25,NO,1.9,,,51,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190471,09/26/1994,5.25,NO,1.6,,,53,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190471,06/09/1995,13.75,NO,4.2,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190471,06/23/1995,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,07/10/1995,11.25,NO,3.4,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,07/26/1995,10.25,NO,3.1,,,44,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,08/10/1995,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,08/28/1995,5.25,NO,1.6,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190471,09/12/1995,5.5,NO,1.7,,,53,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190471,09/26/1995,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190471,06/08/1996,13.5,NO,4.1,,,40,,,HIGH,,,BROWN,1-Beautiful, could not be nicer
8190471,06/22/1996,14.25,NO,4.3,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,07/04/1996,9.25,NO,2.8,,,45,,,HIGH,,CLEAR,BLUE,
8190471,07/16/1996,11,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,07/26/1996,12,NO,3.6,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,08/09/1996,14,NO,4.3,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,08/26/1996,12.25,NO,3.7,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190471,09/11/1996,9.75,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
