Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Yellow Lake,Burnett,2675200,NO,7,,073079,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190010,07/27/1992,4.5,NO,1.4,,,55,,,,,,GREEN,2-Very minor aesthetic problems
8190010,08/11/1992,4.08,NO,1.2,,,57,,,GAUGE,6.3,,GREEN,2-Very minor aesthetic problems
8190010,08/26/1992,4,NO,1.2,,,57,,,GAUGE,6.75,,GREEN,2-Very minor aesthetic problems
8190010,09/29/1992,6.17,NO,1.9,,,51,,,FEET,6.5,,GREEN,2-Very minor aesthetic problems
8189530,06/30/1996,4.5,NO,1.4,,,55,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189530,07/10/1996,5,NO,1.5,,,54,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189530,07/17/1996,4.75,NO,1.4,,,55,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189530,08/23/1996,3.25,NO,1,,,60,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189530,10/04/1996,6.25,NO,1.9,,,51,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189530,05/03/1997,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189530,06/23/1997,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189530,07/10/1997,7,NO,2.1,,,49,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189530,07/30/1997,4.25,NO,1.3,,,56,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189530,05/18/1998,5.75,NO,1.7,,,52,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189530,06/21/1998,3.25,NO,1,,,60,,,HIGH,,MURKY,,4-Would not swim but boating OK (algae)
8189530,07/31/1998,3,NO,0.9,,,61,,,HIGH,,MURKY,,5-Enjoyment substantially impaired (algae)
8189530,08/09/1998,3,NO,0.9,,,61,,,,,MURKY,,4-Would not swim but boating OK (algae)
8189530,08/18/1998,3.25,NO,1,,,60,,,HIGH,,MURKY,YELLOW,5-Enjoyment substantially impaired (algae)
8189530,09/06/1998,2,NO,0.6,,,67,,,HIGH,,MURKY,YELLOW,5-Enjoyment substantially impaired (algae)
8189530,05/20/1999,10.5,NO,3.2,,,43,,,HIGH,,,BLUE,
8189530,06/04/1999,11,NO,3.3,,,43,,,,,CLEAR,,1-Beautiful, could not be nicer
8189530,06/20/1999,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189530,07/06/1999,4.5,NO,1.4,,,55,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
