Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Fish Lake,Burnett,2464500,NO,7,,073081,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190828,07/17/1986,8.5,NO,2.6,,,46,,,,,,GREEN,
8190828,07/27/1986,7.5,NO,2.3,,,48,,,,,,GREEN,
8190828,08/17/1986,9.25,NO,2.8,,,45,,,,,,BLUE/GREEN,
8190828,08/23/1986,9.75,NO,3,,,44,,,,,,GREEN,
8190828,08/30/1986,10,NO,3,,,44,,,,,,GREEN/BROWN,
8190828,09/06/1986,10.75,NO,3.3,,,43,,,,,CLEAR,GREEN,
8190828,09/13/1986,11.6,NO,3.5,,,42,,,,,CLEAR,,
8190828,09/23/1986,11.5,NO,3.5,,,42,,,,,,BLUE/GREEN,
8190423,10/01/1986,12,NO,3.6,,,41,,,,,,GREEN,
8191021,05/23/1987,19,NO,5.8,,,35,,,,,CLEAR,,
8191021,05/30/1987,16,NO,4.9,,,37,,,,,CLEAR,,
8191021,06/09/1987,12.8,NO,3.9,,,40,,,,,CLEAR,,
8191021,06/15/1987,14,NO,4.3,,,39,,,,,CLEAR,,
8191021,06/22/1987,11.8,NO,3.6,,,42,,,,,CLEAR,,
8191021,06/29/1987,12.6,NO,3.8,,,41,,,,,CLEAR,BLUE,
8191021,07/06/1987,11.5,NO,3.5,,,42,,,,,CLEAR,,
8191021,07/14/1987,11.5,NO,3.5,,,42,,,,,CLEAR,,
8191021,07/21/1987,10.8,NO,3.3,,,43,,,,,,,
8191021,07/27/1987,11.2,NO,3.4,,,42,,,,,CLEAR,,
8191021,08/06/1987,13.1,NO,4,,,40,,,,,,,
8191021,08/13/1987,13.7,NO,4.2,,,39,,,,,,,
8191021,08/20/1987,13.7,NO,4.2,,,39,,,,,CLEAR,,
8191021,08/28/1987,15.7,NO,4.8,,,37,,,,,CLEAR,,
8191021,09/04/1987,15.5,NO,4.7,,,38,,,,,CLEAR,,
8191021,09/11/1987,18.2,NO,5.5,,,35,,,,,CLEAR,,
8191021,09/22/1987,20.7,NO,6.3,,,33,,,,,CLEAR,,
8191021,05/13/1988,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191021,05/20/1988,16.4,NO,5,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,06/07/1988,10.3,NO,3.1,,,44,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,06/20/1988,14.8,NO,4.5,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,07/01/1988,15,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,07/07/1988,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,07/14/1988,14,NO,4.3,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,07/21/1988,13.25,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191021,07/30/1988,13.8,NO,4.2,,,39,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
