Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Birch Island Lake,Burnett,2453500,NO,7,,073124,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189054,06/12/2001,9,YES,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189061,06/30/2001,9,YES,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189061,07/14/2001,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/30/2001,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189061,08/20/2001,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189061,08/31/2001,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189054,10/02/2001,8,NO,2.4,,,47,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/22/2001,8,NO,2.4,,,47,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,04/29/2002,9,YES,2.7,,,45,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189046,06/10/2002,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/08/2002,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/12/2002,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189249,09/13/2002,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189249,10/01/2002,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,04/29/2003,,,,,9,,45,,,,,,
8189046,06/09/2003,9.75,YES,3,,,44,,,HIGH,1.89,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/16/2003,10.8,YES,3.3,1.45,14,43,49,38,HIGH,1.92,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/30/2003,11,YES,3.3,,,43,,,HIGH,2.05,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/14/2003,9,NO,2.7,4.48,18,45,51,46,HIGH,2.05,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/28/2003,9.25,NO,2.8,,,45,,,HIGH,1.94,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/11/2003,9,NO,2.7,3.16,17,45,50,43,HIGH,1.94,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/25/2003,9.75,NO,3,,,44,,,HIGH,1.78,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189046,09/08/2003,9,NO,2.7,,,45,,,HIGH,1.5,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189046,09/22/2003,9.5,NO,2.9,,,45,,,HIGH,1.54,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/05/2003,10.5,YES,3.2,,,43,,,HIGH,1.4,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/20/2003,9.75,YES,3,,,44,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/18/2004,9.2,YES,2.8,,15,45,49,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/01/2004,10,YES,3,2.82,19,44,51,43,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
