Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Birch Island Lake,Burnett,2453500,NO,7,,073130,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000082,07/14/2003,,,,15.9,,,,56,,,,,
7000082,08/11/2003,,,,3.21,13,,48,44,,,,,
8189046,03/26/2005,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/23/2005,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2005,7,YES,2.1,,,49,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/19/2005,7,YES,2.1,,,49,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/15/2005,6,YES,1.8,,,51,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/17/2005,7,YES,2.1,,,49,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8191262,03/15/2006,7,YES,2.1,,,49,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/01/2006,6,NO,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/19/2006,7,YES,2.1,,,49,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/17/2006,6.5,YES,2,,,50,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/14/2006,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/15/2006,6,NO,1.8,,,51,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/01/2007,6,NO,1.8,,,51,,,LOW,2.1,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/04/2007,5.5,NO,1.7,,,53,,,LOW,1.9,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/10/2007,4,NO,1.2,,,57,,,LOW,1.4,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189046,08/27/2007,4,NO,1.2,,,57,,,LOW,.98,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189046,10/07/2007,5,NO,1.5,,,54,,,LOW,1.375,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/02/2008,6,NO,1.8,,,51,,,LOW,1.8,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,06/16/2008,6,YES,1.8,,,51,,,LOW,1.892,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/21/2008,5,NO,1.5,,,54,,,LOW,1.725,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,08/18/2008,4.5,NO,1.4,,,55,,,LOW,1.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/18/2009,5,NO,1.5,,,54,,,LOW,1.425,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,06/15/2009,4.5,NO,1.4,,,55,,,LOW,1.5,CLEAR,BLUE,2-Very minor aesthetic problems
26006963,07/13/2009,4,NO,1.2,,,57,,,LOW,.8,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,08/17/2009,5,NO,1.5,,,54,,,LOW,.75,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/20/2009,4,NO,1.2,,,57,,,LOW,.625,CLEAR,BLUE,2-Very minor aesthetic problems
26006963,05/10/2010,4.5,YES,1.4,,,55,,,LOW,2.025,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/17/2010,4,NO,1.2,,,57,,,LOW,2.25,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,07/13/2010,4,YES,1.2,,,57,,,LOW,2.376,CLEAR,BLUE,2-Very minor aesthetic problems
25544570,08/09/2010,4.5,NO,1.4,,,55,,,LOW,2.3,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/19/2010,5,NO,1.5,,,54,,,LOW,2.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2011,6,NO,1.8,,,51,,,NORMAL,3.525,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/11/2011,6,NO,1.8,,,51,,,NORMAL,3.35,CLEAR,BLUE,2-Very minor aesthetic problems
36799237,08/08/2011,5,NO,1.5,,,54,,,NORMAL,3.6,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/12/2011,5.5,NO,1.7,,,53,,,NORMAL,3.375,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/10/2012,5.5,NO,1.7,,,53,,,NORMAL,3.2,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/16/2012,5,NO,1.5,,,54,,,,3.125,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/18/2012,5,NO,1.5,,,54,,,NORMAL,2.85,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/29/2013,5,NO,1.5,,,54,,,LOW,2.8,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/19/2013,5.5,NO,1.7,,,53,,,LOW,2.675,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/16/2013,5,NO,1.5,,,54,,,LOW,2.45,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/18/2014,6,YES,1.8,,,51,,,HIGH,3.9,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/23/2014,6,NO,1.8,,,51,,,HIGH,4.25,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/21/2014,7,NO,2.1,,,49,,,HIGH,4.325,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/25/2014,6,NO,1.8,,,51,,,HIGH,4.01,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/31/2015,9,NO,2.7,,,45,,,HIGH,2.05,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/22/2015,9,YES,2.7,,,45,,,HIGH,2.075,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/19/2015,7,NO,2.1,,,49,,,HIGH,1.975,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/31/2015,8,NO,2.4,,,47,,,HIGH,2.1,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/30/2015,7.5,NO,2.3,,,48,,,HIGH,2.125,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/21/2016,8,NO,2.4,,,47,,,HIGH,2.65,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/23/2016,7,NO,2.1,,,49,,,HIGH,3.61,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/19/2016,9,NO,2.7,,,45,,,HIGH,3.525,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/06/2016,8,NO,2.4,,,47,,,HIGH,3.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2017,9,YES,2.7,,,45,,,HIGH,2.825,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/28/2017,8,NO,2.4,,,47,,,HIGH,2.55,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
03/26/2005,0,FEET,.5,DEGREES C,7.2,MG/L
03/26/2005,3,FEET,3,DEGREES C,6.1,MG/L
03/26/2005,6,FEET,3.5,DEGREES C,6,MG/L
05/23/2005,0,FEET,14.5,DEGREES F,9.46,MG/L
05/23/2005,3,FEET,14.6,DEGREES F,9.21,MG/L
05/23/2005,6,FEET,14.6,DEGREES F,9.21,MG/L
06/20/2005,0,FEET,26.5,DEGREES C,7.67,MG/L
06/20/2005,3,FEET,26.7,DEGREES C,7.58,MG/L
06/20/2005,6,FEET,26.8,DEGREES C,7.78,MG/L
07/19/2005,0,FEET,25.7,DEGREES F,6.79,MG/L
07/19/2005,3,FEET,26.2,DEGREES F,6.79,MG/L
07/19/2005,6,FEET,26.4,DEGREES F,6.83,MG/L
08/15/2005,0,FEET,24.3,DEGREES F,7.55,MG/L
08/15/2005,3,FEET,24.7,DEGREES F,7.5,MG/L
08/15/2005,6,FEET,24.6,DEGREES F,8.26,MG/L
10/17/2005,0,FEET,12.9,DEGREES C,9.48,MG/L
10/17/2005,3,FEET,13.1,DEGREES F,9.42,MG/L
10/17/2005,6,FEET,13.2,DEGREES F,9.36,MG/L
03/15/2006,0,FEET,.7,DEGREES C,6.47,MG/L
03/15/2006,3,FEET,1.5,DEGREES C,3.75,MG/L
03/15/2006,6,FEET,2.5,DEGREES C,2.94,MG/L
06/01/2006,0,FEET,26.7,DEGREES C,8.06,MG/L
06/01/2006,3,FEET,26.7,DEGREES C,8.16,MG/L
06/01/2006,6,FEET,26.7,DEGREES C,8.9,MG/L
06/19/2006,0,FEET,24.6,DEGREES C,9.31,MG/L
06/19/2006,3,FEET,24.8,DEGREES C,9.26,MG/L
06/19/2006,6,FEET,25,DEGREES C,9.29,MG/L
07/17/2006,0,FEET,31.5,DEGREES C,,
07/17/2006,3,FEET,32,DEGREES C,8.15,MG/L
07/17/2006,6,FEET,32.8,DEGREES C,7.87,MG/L
08/14/2006,0,FEET,24,DEGREES C,9.49,MG/L
08/14/2006,3,FEET,24,DEGREES C,,
08/14/2006,6,FEET,23.8,DEGREES C,9.56,MG/L
10/15/2006,0,FEET,8.4,DEGREES C,11.45,MG/L
10/15/2006,3,FEET,9,DEGREES C,11.3,MG/L
10/15/2006,6,FEET,10.6,DEGREES C,10.6,MG/L
05/01/2007,0,FEET,17.2,DEGREES C,10.58,MG/L
05/01/2007,3,FEET,17.2,DEGREES C,10.51,MG/L
05/01/2007,6,FEET,17.1,DEGREES C,10.31,MG/L
06/04/2007,0,FEET,21.7,DEGREES C,9.04,MG/L
06/04/2007,3,FEET,21.7,DEGREES C,8.06,MG/L
06/04/2007,6,FEET,21.7,DEGREES C,6.03,MG/L
07/10/2007,0,FEET,26.1,DEGREES C,8.91,MG/L
07/10/2007,3,FEET,26,DEGREES C,8.97,MG/L
07/10/2007,5,FEET,25.9,DEGREES C,8.62,MG/L
08/27/2007,0,FEET,22.7,DEGREES C,8.66,MG/L
08/27/2007,3,FEET,22.8,DEGREES C,8.22,MG/L
08/27/2007,5,FEET,23,DEGREES C,8.99,MG/L
10/07/2007,0,FEET,20.3,DEGREES C,9.35,MG/L
10/07/2007,3,FEET,20.5,DEGREES C,8.85,MG/L
10/07/2007,5,FEET,20.3,DEGREES C,9.35,MG/L
05/02/2008,0,FEET,14,DEGREES C,9.2,MG/L
05/02/2008,3,FEET,14.2,DEGREES C,9.16,MG/L
05/02/2008,6,FEET,14.3,DEGREES C,9.13,MG/L
06/16/2008,0,FEET,19.2,DEGREES C,9.67,MG/L
06/16/2008,3,FEET,19.1,DEGREES C,9.68,MG/L
06/16/2008,6,FEET,18.2,DEGREES C,9.64,MG/L
07/21/2008,0,FEET,24.3,DEGREES C,8.65,MG/L
07/21/2008,3,FEET,24.3,DEGREES C,8.49,MG/L
07/21/2008,5,FEET,24.2,DEGREES C,8.02,MG/L
08/18/2008,0,FEET,27.9,DEGREES C,8.91,MG/L
08/18/2008,3,FEET,28.1,DEGREES C,8.74,MG/L
08/18/2008,5,FEET,28.8,DEGREES C,8.69,MG/L
05/18/2009,0,FEET,16.1,DEGREES C,10.61,MG/L
05/18/2009,3,FEET,16.2,DEGREES C,10.59,MG/L
05/18/2009,6,FEET,16.3,DEGREES C,,
06/15/2009,0,FEET,20.8,DEGREES C,10.07,MG/L
06/15/2009,3,FEET,21.4,DEGREES C,9.58,MG/L
06/15/2009,5,FEET,22.3,DEGREES C,8.91,MG/L
07/13/2009,0,FEET,23.7,DEGREES C,12.39,MG/L
07/13/2009,3,FEET,24.3,DEGREES C,11.7,MG/L
07/13/2009,4,FEET,24.6,DEGREES C,10.96,MG/L
08/17/2009,0,FEET,23.5,DEGREES C,5.83,MG/L
08/17/2009,3,FEET,23.3,DEGREES C,6.34,MG/L
08/17/2009,5,FEET,22.8,DEGREES C,6.73,MG/L
09/20/2009,0,FEET,22.7,DEGREES C,8.61,MG/L
09/20/2009,3,FEET,22.6,DEGREES C,6.18,MG/L
05/10/2010,0,FEET,12.2,DEGREES C,9.63,MG/L
05/10/2010,3,FEET,12.2,DEGREES C,7.71,MG/L
05/10/2010,4.5,FEET,12.2,DEGREES C,6.25,MG/L
06/17/2010,0,FEET,21.9,DEGREES C,8.39,MG/L
06/17/2010,3,FEET,22,DEGREES C,8.35,MG/L
06/17/2010,4,FEET,22,DEGREES C,8.37,MG/L
07/13/2010,0,FEET,26.5,DEGREES C,,
07/13/2010,3,FEET,26.3,DEGREES C,,
08/09/2010,0,FEET,27.4,DEGREES C,7.53,MG/L
08/09/2010,3,FEET,27.5,DEGREES C,7.47,MG/L
08/09/2010,4,FEET,27.6,DEGREES C,7.42,MG/L
09/19/2010,0,FEET,14,DEGREES C,9.24,MG/L
09/19/2010,3,FEET,13.9,DEGREES C,9.3,MG/L
09/19/2010,4,FEET,13.9,DEGREES C,9.39,MG/L
07/11/2011,0,FEET,28,DEGREES C,6.44,MG/L
07/11/2011,3,FEET,28,DEGREES C,6.28,MG/L
07/11/2011,6,FEET,28,DEGREES C,6.09,MG/L
08/08/2011,0,FEET,25.7,DEGREES C,7.38,MG/L
08/08/2011,3,FEET,25.7,DEGREES C,7.51,MG/L
08/08/2011,6,FEET,25.7,DEGREES C,6.7,MG/L
09/12/2011,0,FEET,25,DEGREES C,7.02,MG/L
09/12/2011,3,FEET,25.1,DEGREES C,6.95,MG/L
09/12/2011,6,FEET,25.5,DEGREES C,6.71,MG/L
06/10/2012,0,FEET,25.4,DEGREES C,5.96,MG/L
06/10/2012,3,FEET,25.6,DEGREES C,6.27,MG/L
06/10/2012,5.5,FEET,25.9,DEGREES C,6.19,MG/L
08/18/2012,0,FEET,20.8,DEGREES C,7.03,MG/L
08/18/2012,3,FEET,20.7,DEGREES C,7.34,MG/L
08/18/2012,5,FEET,20.7,DEGREES C,7.44,MG/L
07/29/2013,0,FEET,19.5,DEGREES C,8.34,MG/L
07/29/2013,3,FEET,19.5,DEGREES C,8.29,MG/L
07/29/2013,5,FEET,19.5,DEGREES C,8.21,MG/L
08/19/2013,0,FEET,24.2,DEGREES C,7.04,MG/L
08/19/2013,3,FEET,24.4,DEGREES C,7.1,MG/L
08/19/2013,5.5,FEET,24.5,DEGREES C,7.08,MG/L
09/16/2013,0,FEET,19.8,DEGREES C,6.62,MG/L
