Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Birch Island Lake,Burnett,2453500,NO,7,,073131,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000082,07/14/2003,,,,14.3,,,,55,,,,,
7000082,08/11/2003,,,,6.3,16,,50,49,,,,,
8189054,03/26/2005,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/23/2005,6.5,YES,2,,,50,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2005,6.5,YES,2,,,50,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/19/2005,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/15/2005,5.1,YES,1.6,,,54,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/17/2005,6,YES,1.8,,,51,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8191262,03/15/2006,4.5,YES,1.4,,,55,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/01/2006,6,YES,1.8,,,51,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/19/2006,5.5,YES,1.7,,,53,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/17/2006,4,YES,1.2,,,57,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/14/2006,5,YES,1.5,,,54,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/15/2006,4.5,YES,1.4,,,55,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/01/2007,5,YES,1.5,,,54,,,LOW,2.1,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/04/2007,3,NO,0.9,,,61,,,LOW,1.9,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/10/2007,3,NO,0.9,,,61,,,LOW,1.4,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189046,08/27/2007,3,NO,0.9,,,61,,,LOW,.98,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8189046,10/07/2007,3.5,NO,1.1,,,59,,,LOW,1.375,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/02/2008,4.5,YES,1.4,,,55,,,LOW,1.8,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,06/16/2008,4,NO,1.2,,,57,,,LOW,1.892,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,08/18/2008,3,YES,0.9,,,61,,,LOW,1.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/21/2008,3,YES,0.9,,,61,,,LOW,1.725,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/18/2009,3.5,YES,1.1,,,59,,,LOW,1.425,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,06/15/2009,3,NO,0.9,,,61,,,LOW,1.5,CLEAR,BLUE,2-Very minor aesthetic problems
26006963,07/13/2009,3,YES,0.9,,,61,,,LOW,.8,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,08/17/2009,3,YES,0.9,,,61,,,LOW,.75,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/20/2009,3,YES,0.9,,,61,,,LOW,.625,CLEAR,BLUE,2-Very minor aesthetic problems
26006963,05/10/2010,3,YES,0.9,,,61,,,LOW,2.05,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/15/2010,3.5,YES,1.1,,,59,,,LOW,2.24,CLEAR,BLUE,2-Very minor aesthetic problems
18603397,07/13/2010,3.5,YES,1.1,,,59,,,LOW,2l375,CLEAR,BLUE,2-Very minor aesthetic problems
25544570,08/09/2010,3.5,YES,1.1,,,59,,,LOW,2.3,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/19/2010,,NO,,,,,,,LOW,2.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2011,4.5,NO,1.4,,,55,,,NORMAL,3.525,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/11/2011,4,YES,1.2,,,57,,,NORMAL,3.35,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/08/2011,5,YES,1.5,,,54,,,NORMAL,3.6,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/12/2011,4,NO,1.2,,,57,,,NORMAL,3.750,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/10/2012,4,NO,1.2,,,57,,,,3.2,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/16/2012,4.5,NO,1.4,,,55,,,NORMAL,3.125,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/18/2012,4,YES,1.2,,,57,,,NORMAL,2.85,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/29/2013,3.9,NO,1.2,,,58,,,LOW,2.8,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/19/2013,3.5,NO,1.1,,,59,,,LOW,2.675,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/16/2013,4,YES,1.2,,,57,,,LOW,2.45,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/18/2014,5,YES,1.5,,,54,,,HIGH,3.9,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/23/2014,5,NO,1.5,,,54,,,HIGH,4.250,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/21/2014,5,NO,1.5,,,54,,,HIGH,4.325,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/25/2014,4.5,NO,1.4,,,55,,,HIGH,4.01,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,05/31/2015,6,NO,1.8,,,51,,,HIGH,2.05,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/22/2015,6,YES,1.8,,,51,,,HIGH,2.075,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,07/19/2015,5,NO,1.5,,,54,,,HIGH,1.975,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/17/2015,5,NO,1.5,,,54,,,HIGH,1.875,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/30/2015,5,NO,1.5,,,54,,,HIGH,2.125,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/21/2016,5,NO,1.5,,,54,,,HIGH,2.65,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,08/22/2016,6,NO,1.8,,,51,,,HIGH,3.61,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,09/19/2016,7,NO,2.1,,,49,,,HIGH,3.525,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,10/06/2016,7,NO,2.1,,,49,,,HIGH,3.5,CLEAR,BLUE,2-Very minor aesthetic problems
8189046,06/20/2017,8,YES,2.4,,,47,,,HIGH,2.825,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
03/26/2005,0,FEET,.7,DEGREES C,6.6,MG/L
03/26/2005,3,FEET,.9,DEGREES C,6.4,MG/L
03/26/2005,4.5,FEET,4.7,DEGREES C,5,MG/L
03/26/2005,5,FEET,4.7,DEGREES C,5,MG/L
05/23/2005,0,FEET,15.2,DEGREES C,8.76,MG/L
05/23/2005,3,FEET,15.3,DEGREES C,8.61,MG/L
05/23/2005,6,FEET,15.3,DEGREES C,8.57,MG/L
06/20/2005,0,FEET,24.4,DEGREES C,7.2,MG/L
06/20/2005,3,FEET,24.4,DEGREES C,6.99,MG/L
06/20/2005,6,FEET,24.5,DEGREES C,6.48,MG/L
07/19/2005,0,FEET,28,DEGREES F,5.56,MG/L
07/19/2005,3,FEET,27.8,DEGREES F,5.03,MG/L
07/19/2005,6,FEET,27.7,DEGREES F,4.38,MG/L
08/15/2005,0,FEET,24.3,DEGREES C,7.11,MG/L
08/15/2005,3,FEET,23.6,DEGREES C,7.39,MG/L
08/15/2005,5,FEET,23.3,DEGREES C,7.39,MG/L
10/17/2005,0,FEET,12,DEGREES C,9.42,MG/L
10/17/2005,3,FEET,12,DEGREES C,9.43,MG/L
10/17/2005,6,FEET,12,DEGREES C,9.25,MG/L
03/15/2006,0,FEET,1.9,DEGREES C,7.05,MG/L
03/15/2006,3,FEET,2,DEGREES C,1.73,MG/L
06/01/2006,0,FEET,26,DEGREES C,8.61,MG/L
06/01/2006,3,FEET,26,DEGREES C,8.65,MG/L
06/01/2006,6,FEET,25.9,DEGREES C,8.68,MG/L
06/19/2006,0,FEET,25.2,DEGREES C,8.07,MG/L
06/19/2006,3,FEET,25.2,DEGREES C,8.02,MG/L
06/19/2006,6,FEET,25,DEGREES C,8.48,MG/L
07/17/2006,0,FEET,29.1,DEGREES C,8.39,MG/L
07/17/2006,3,FEET,29.3,DEGREES C,7.89,MG/L
07/17/2006,4,FEET,29.8,DEGREES C,8.43,MG/L
08/14/2006,0,FEET,25.1,DEGREES C,8.71,MG/L
08/14/2006,3,FEET,25.2,DEGREES C,8.55,MG/L
08/14/2006,6,FEET,25.7,DEGREES C,8.66,MG/L
10/15/2006,0,FEET,7.3,DEGREES C,11.92,MG/L
10/15/2006,3,FEET,7.9,DEGREES C,12.06,MG/L
10/15/2006,4,FEET,8.6,DEGREES C,11.17,MG/L
05/01/2007,0,FEET,17.7,DEGREES C,9.52,MG/L
05/01/2007,3,FEET,17.8,DEGREES C,9.39,MG/L
05/01/2007,5,FEET,17.9,DEGREES C,9.15,MG/L
06/04/2007,0,FEET,21.2,DEGREES C,7.94,MG/L
06/04/2007,3,FEET,21.2,DEGREES C,7.44,MG/L
08/10/2007,0,FEET,25,DEGREES C,7.75,MG/L
08/10/2007,3,FEET,24.9,DEGREES C,7.54,MG/L
08/10/2007,4,FEET,24.8,DEGREES C,7.77,MG/L
08/27/2007,0,FEET,23.1,DEGREES C,8.84,MG/L
08/27/2007,3,FEET,23.2,DEGREES C,8.8,MG/L
10/07/2007,0,FEET,20.7,DEGREES C,9.29,MG/L
10/07/2007,3,FEET,21,DEGREES C,9.28,MG/L
05/02/2008,0,FEET,13.8,DEGREES C,9.36,MG/L
05/02/2008,3,FEET,13.9,DEGREES C,9.39,MG/L
05/02/2008,4.5,FEET,14.3,DEGREES C,9.35,MG/L
06/16/2008,0,FEET,18.5,DEGREES C,9.31,MG/L
06/16/2008,3,FEET,18.4,DEGREES C,9.4,MG/L
06/16/2008,6,FEET,18.2,DEGREES C,9.41,MG/L
08/18/2008,0,FEET,27.5,DEGREES C,8.65,MG/L
08/18/2008,3,FEET,28.1,DEGREES C,7.55,MG/L
08/21/2008,0,FEET,23.8,DEGREES C,7.86,MG/L
08/21/2008,3,FEET,23.9,DEGREES C,7.83,MG/L
05/18/2009,0,FEET,20.9,DEGREES C,9.3,MG/L
05/18/2009,3,FEET,20.8,DEGREES C,8.72,MG/L
06/15/2009,0,FEET,29.4,DEGREES C,8.47,MG/L
06/15/2009,3,FEET,30.9,DEGREES C,7.94,MG/L
07/13/2009,0,FEET,25.1,DEGREES C,12.77,MG/L
07/13/2009,3,FEET,25.7,DEGREES C,11.01,MG/L
08/17/2009,0,FEET,23.4,DEGREES C,8.5,MG/L
08/17/2009,3,FEET,23.6,DEGREES C,6.64,MG/L
09/20/2009,0,FEET,24.7,DEGREES C,7.2,MG/L
09/20/2009,3,FEET,25.4,DEGREES C,6.19,MG/L
05/10/2010,0,FEET,11.6,DEGREES C,9.7,MG/L
05/10/2010,3,FEET,11.6,DEGREES C,8.8,MG/L
06/15/2010,0,FEET,20.6,DEGREES C,5.67,MG/L
06/15/2010,3,FEET,19.8,DEGREES C,5.86,MG/L
07/13/2010,0,FEET,24.5,DEGREES C,5.2,MG/L
07/13/2010,3,FEET,24.2,DEGREES C,5.3,MG/L
08/09/2010,0,FEET,26.7,DEGREES C,7.51,MG/L
08/09/2010,3,FEET,26.6,DEGREES C,6.75,MG/L
09/19/2010,0,FEET,13.9,DEGREES C,9.8,MG/L
06/20/2011,0,FEET,19,DEGREES C,6.95,MG/L
06/20/2011,3,FEET,18.7,DEGREES C,6.75,MG/L
06/20/2011,4.5,FEET,18.2,DEGREES C,7.14,MG/L
07/11/2011,0,FEET,28.4,DEGREES C,5.47,MG/L
07/11/2011,3,FEET,28.6,DEGREES C,5.39,MG/L
07/11/2011,4,FEET,28.6,DEGREES C,5.24,MG/L
08/08/2011,0,FEET,27.4,DEGREES C,6.07,MG/L
08/08/2011,3,FEET,27.6,DEGREES C,5.89,MG/L
08/08/2011,5,FEET,28.1,DEGREES C,5.74,MG/L
09/12/2011,0,FEET,23.9,DEGREES C,6.48,MG/L
09/12/2011,3,FEET,24,DEGREES C,6.31,MG/L
09/12/2011,4,FEET,24.2,DEGREES C,6.11,MG/L
06/10/2012,0,FEET,25.5,DEGREES C,5.82,MG/L
06/10/2012,3,FEET,25.6,DEGREES C,5.77,MG/L
06/10/2012,4,FEET,25.9,DEGREES C,5.69,MG/L
07/16/2012,0,FEET,27.9,DEGREES C,5.29,MG/L
07/16/2012,3,FEET,27.9,DEGREES C,5.26,MG/L
07/16/2012,4.5,FEET,279,DEGREES C,4.84,MG/L
08/18/2012,0,FEET,20.3,DEGREES C,6.69,MG/L
08/18/2012,3,FEET,20.2,DEGREES C,6.82,MG/L
08/18/2012,4,FEET,20.2,DEGREES C,6.6,MG/L
07/29/2013,0,FEET,18.7,DEGREES C,8.14,MG/L
07/29/2013,3,FEET,18.7,DEGREES C,8.16,MG/L
08/19/2013,0,FEET,23.9,DEGREES C,7.34,MG/L
08/19/2013,3,FEET,24,DEGREES C,7.29,MG/L
09/16/2013,0,FEET,19.6,DEGREES C,7.57,MG/L
09/16/2013,3,FEET,19.7,DEGREES C,7.4,MG/L
05/18/2014,0,FEET,15,DEGREES C,11.51,MG/L
05/18/2014,3,FEET,15,DEGREES C,10.6,MG/L
05/18/2014,5,FEET,15.7,DEGREES C,8.41,MG/L
06/23/2014,0,FEET,24.1,DEGREES C,6.69,MG/L
06/23/2014,3,FEET,23.7,DEGREES C,6.63,MG/L
06/23/2014,5,FEET,23.5,DEGREES C,6.54,MG/L
