Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Island Lake,Chippewa,1887500,WC,9,,093140,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/02/1994,,,,1.53,8,,44,38,,,,,
8190420,05/22/1994,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/30/1994,15.75,NO,4.8,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190420,06/06/1994,13.5,NO,4.1,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/12/1994,12.75,NO,3.9,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/20/1994,14.25,NO,4.3,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/21/1994,13.8,,4.2,2.85,7,39,43,43,,,,,
8190420,07/11/1994,16.33,NO,5,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/18/1994,34,NO,10.3,,,26,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/24/1994,34,NO,10.3,,,26,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/26/1994,17.4,,5.3,2.2,7,36,43,41,,,,,
8190420,08/08/1994,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/14/1994,17.75,NO,5.4,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/22/1994,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/28/1994,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/29/1994,17.7,,5.4,2.1,10,36,46,40,,,,,
8190420,09/05/1994,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/10/1994,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/18/1994,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/10/1994,24,NO,7.3,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,11/07/1994,12.1,,3.7,1.96,24,41,53,40,,,,,
8190420,04/22/1995,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/06/1995,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/09/1995,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/04/1995,17,NO,5.2,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190420,06/12/1995,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/19/1995,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/09/1995,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/23/1995,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,
8190420,08/14/1995,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BLUE,
8190420,09/03/1995,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/08/1995,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/09/1996,26.5,NO,8.1,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/07/1996,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/15/1996,21.5,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/10/1996,21.5,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/18/1996,20.5,NO,6.2,,,34,,,HIGH-CONSISTENT WITH ALL YEAR,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/02/1996,19.75,NO,6,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/29/1996,29.5,NO,9,,,28,,,DOWN 2" FROM EARLIER HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/13/1996,27.5,NO,8.4,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/02/1997,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/23/1997,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/30/1997,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/13/1997,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/28/1997,23.25,NO,7.1,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/16/1997,20.5,NO,6.2,,,34,,,HIGH, BUT DOWN THREE INCHES.,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/06/1997,18,NO,5.5,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/31/1998,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,06/15/1998,17,NO,5.2,,,36,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/03/1998,19,NO,5.8,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,07/26/1998,20.5,NO,6.2,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/23/1998,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,08/30/1998,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,09/07/1998,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,10/24/1998,30.5,NO,9.3,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,04/25/1999,24.5,NO,7.4,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190420,05/01/1999,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
