Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Silver Lake,Columbia,107700,SC,11,,10012329,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000129,05/24/2006,,,,4.19,,,,46,,,,,
17932712,06/15/2006,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,
7000129,06/16/2006,,,,4.02,19,,51,45,,,,,
17932712,07/19/2006,7,NO,2.1,,,49,,,LOW,,CLEAR,BLUE,
7000129,08/21/2006,,,,6.52,20,,51,49,,,,,
17932712,08/22/2006,8,NO,2.4,,,47,,,LOW,,CLEAR,BLUE,
7000129,09/12/2006,,,,4.66,22,,52,46,,,,,
17932712,09/13/2006,8,NO,2.4,,,47,,,LOW,,CLEAR,BLUE,
17932712,10/09/2006,7,NO,2.1,,,49,,,LOW,,CLEAR,BLUE,
7000129,10/12/2006,,,,8.58,18,,51,51,,,,,
17932712,06/30/2009,6.5,NO,2,,,50,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
17932712,07/07/2009,5.25,NO,1.6,,,53,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
17932712,07/14/2009,6.5,NO,2,,,50,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17932712,07/24/2009,7,NO,2.1,,,49,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
17932712,08/03/2009,8.25,NO,2.5,,,47,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17932712,08/11/2009,10.25,NO,3.1,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17932712,08/17/2009,10.75,NO,3.3,,,43,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17932712,08/30/2009,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
17932712,09/07/2009,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
17932712,09/14/2009,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
17932712,09/23/2009,11,NO,3.3,,,43,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
17932712,10/05/2009,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
17932712,04/01/2012,9,NO,2.7,,,45,,,,,,,
17932712,04/02/2012,9.5,NO,2.9,,,45,,,,,,,
17932712,04/07/2012,9,NO,2.7,,,45,,,,,,,
17932712,04/14/2012,10,NO,3,,,44,,,,,,,
17932712,04/23/2012,7.5,NO,2.3,,,48,,,,,,,
17932712,04/30/2012,7,,2.1,,,49,,,,,,,
17932712,05/10/2012,5.5,,1.7,,,53,,,,,,,
17932712,05/16/2012,11.5,NO,3.5,,,42,,,,,,,
17932712,06/08/2012,7,,2.1,,,49,,,,,,,
17932712,06/15/2012,7,,2.1,,,49,,,,,,,
17932712,06/22/2012,8.5,,2.6,,,46,,,,,,,
17932712,06/29/2012,11,,3.3,,,43,,,,,,,
17932712,07/06/2012,11,,3.3,,,43,,,,,,,
17932712,07/14/2012,10,,3,,,44,,,,,,,
17932712,07/20/2012,10,,3,,,44,,,,,,,
17932712,07/27/2012,8,,2.4,,,47,,,,,,,
17932712,08/03/2012,8,,2.4,,,47,,,,,,,
17932712,08/10/2012,7,,2.1,,,49,,,,,,,
17932712,08/17/2012,10,,3,,,44,,,,,,,
17932712,09/01/2012,10,NO,3,,,44,,,,,,,
17932712,09/14/2012,12.5,,3.8,,,41,,,,,,,
79323097,05/22/2017,9.5,NO,2.9,,,45,,,,,,,
99302963,06/13/2017,,,,4.36,28.6,,54,46,,,,,
79323097,06/29/2017,10.5,NO,3.2,,31,43,55,,,,,,
111127802,07/11/2017,9,YES,2.7,3.6,23.1,45,52,44,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
79323097,07/28/2017,7.5,NO,2.3,,,48,,,,,,,
111127802,08/24/2017,,,,7.27,26.1,,53,50,,,,,
79323097,08/30/2017,10.5,NO,3.2,,25,43,53,,,,,,
1,09/27/2017,,,,,24,,53,,,,,,
79323097,09/27/2017,9.5,NO,2.9,,,45,,,,,CLEAR,,
1,10/10/2017,,,,,27,,54,,,,,,
79323097,10/10/2017,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,,
1,10/25/2017,,,,,28,,54,,,,,,
79323097,10/25/2017,9.5,NO,2.9,,,45,,,,,,,
79323097,11/07/2017,,,,,22,,52,,,,,,
79323097,11/30/2017,13,,4,,20,40,51,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/15/2006,0,FEET,79,DEGREES F,1,MG/L
06/15/2006,5,FEET,81,DEGREES F,,
06/15/2006,10,FEET,76,DEGREES F,1,MG/L
07/19/2006,0,FEET,74,DEGREES F,11,MG/L
07/19/2006,5,FEET,74,DEGREES F,,
07/19/2006,10,FEET,72,DEGREES F,9,MG/L
08/22/2006,0,FEET,77,DEGREES F,4,MG/L
08/22/2006,5,FEET,74,DEGREES F,,
08/22/2006,10,FEET,74,DEGREES F,2,MG/L
09/13/2006,0,FEET,62,DEGREES F,3,MG/L
09/13/2006,5,FEET,62,DEGREES F,,
09/13/2006,10,FEET,62,DEGREES F,3,MG/L
10/09/2006,0,FEET,49,DEGREES F,5,MG/L
10/09/2006,5,FEET,51,DEGREES F,,
10/09/2006,10,FEET,52,DEGREES F,5,MG/L
06/30/2009,5,FEET,73.5,DEGREES F,,
06/30/2009,10,FEET,73.7,DEGREES F,,
06/30/2009,15,FEET,62,DEGREES F,,
06/30/2009,20,FEET,51.5,DEGREES F,,
06/30/2009,25,FEET,46.2,DEGREES F,,
06/30/2009,30,FEET,44,DEGREES F,,
06/30/2009,35,FEET,43.3,DEGREES F,,
06/30/2009,40,FEET,41.5,DEGREES F,,
07/07/2009,5,FEET,75.2,DEGREES F,,
07/07/2009,10,FEET,71.7,DEGREES F,9,MG/L
07/07/2009,15,FEET,62,DEGREES F,,
07/07/2009,20,FEET,51.6,DEGREES F,5,MG/L
07/07/2009,25,FEET,45.8,DEGREES F,,
07/07/2009,30,FEET,44,DEGREES F,3,MG/L
07/07/2009,35,FEET,43.1,DEGREES F,,
07/07/2009,40,FEET,41.6,DEGREES F,,
07/14/2009,5,FEET,75.8,DEGREES F,,
07/14/2009,10,FEET,72.4,DEGREES F,,
07/14/2009,15,FEET,61.9,DEGREES F,,
07/14/2009,20,FEET,52,DEGREES F,,
07/14/2009,25,FEET,45,DEGREES F,,
07/14/2009,30,FEET,44.8,DEGREES F,,
07/14/2009,35,FEET,40.3,DEGREES F,,
08/03/2009,5,FEET,75.8,DEGREES F,,
08/03/2009,10,FEET,74,DEGREES F,,
08/03/2009,15,FEET,65.4,DEGREES F,,
08/03/2009,20,FEET,52.8,DEGREES F,,
08/03/2009,25,FEET,46.9,DEGREES F,,
08/03/2009,30,FEET,44.8,DEGREES F,,
08/03/2009,35,FEET,42.4,DEGREES F,,
08/11/2009,5,FEET,78.8,DEGREES F,,
08/11/2009,10,FEET,74.8,DEGREES F,6,MG/L
08/11/2009,15,FEET,69.4,DEGREES F,,
08/11/2009,20,FEET,57.5,DEGREES F,3,MG/L
08/11/2009,25,FEET,48.2,DEGREES F,,
08/11/2009,30,FEET,44.8,DEGREES F,2.5,MG/L
08/11/2009,35,FEET,42.6,DEGREES F,,
08/11/2009,40,FEET,41.8,DEGREES F,,
08/17/2009,5,FEET,80.1,DEGREES F,,
08/17/2009,10,FEET,75.9,DEGREES F,,
08/17/2009,15,FEET,72,DEGREES F,,
08/17/2009,20,FEET,58.3,DEGREES F,,
08/17/2009,25,FEET,49.8,DEGREES F,,
08/17/2009,30,FEET,45.1,DEGREES F,,
08/17/2009,35,FEET,43.8,DEGREES F,,
08/17/2009,40,FEET,42,DEGREES F,,
08/30/2009,5,FEET,69,DEGREES F,,
08/30/2009,10,FEET,69.2,DEGREES F,,
08/30/2009,15,FEET,68.8,DEGREES F,,
08/30/2009,20,FEET,62,DEGREES F,,
08/30/2009,25,FEET,50.2,DEGREES F,,
08/30/2009,30,FEET,46.4,DEGREES F,,
08/30/2009,35,FEET,44.8,DEGREES F,,
08/30/2009,40,FEET,42,DEGREES F,,
09/07/2009,5,FEET,70.8,DEGREES F,,
09/07/2009,10,FEET,70.5,DEGREES F,,
09/07/2009,15,FEET,66,DEGREES F,6,MG/L
09/07/2009,20,FEET,58,DEGREES F,,
09/07/2009,25,FEET,48.5,DEGREES F,4.5,MG/L
09/07/2009,30,FEET,46.4,DEGREES F,,
09/07/2009,35,FEET,44.6,DEGREES F,3,MG/L
09/07/2009,40,FEET,42.7,DEGREES F,,
09/14/2009,5,FEET,71.2,DEGREES F,,
09/14/2009,10,FEET,70.3,DEGREES F,,
09/14/2009,15,FEET,67.1,DEGREES F,,
09/14/2009,20,FEET,57.8,DEGREES F,,
09/14/2009,25,FEET,48,DEGREES F,,
09/14/2009,30,FEET,46.2,DEGREES F,,
09/14/2009,35,FEET,44.1,DEGREES F,,
09/14/2009,40,FEET,41.8,DEGREES F,,
09/23/2009,5,FEET,71.4,DEGREES F,,
09/23/2009,10,FEET,70,DEGREES F,,
09/23/2009,15,FEET,68.7,DEGREES F,,
09/23/2009,20,FEET,56,DEGREES F,,
09/23/2009,25,FEET,48.5,DEGREES F,,
09/23/2009,30,FEET,46,DEGREES F,,
09/23/2009,35,FEET,43.2,DEGREES F,,
09/23/2009,40,FEET,41.8,DEGREES F,,
10/05/2009,5,FEET,59.2,DEGREES F,,
10/05/2009,10,FEET,59.1,DEGREES F,5,MG/L
10/05/2009,15,FEET,59,DEGREES F,,
10/05/2009,20,FEET,59,DEGREES F,4,MG/L
10/05/2009,25,FEET,52.3,DEGREES F,,
10/05/2009,30,FEET,45.6,DEGREES F,2,MG/L
10/05/2009,35,FEET,42.9,DEGREES F,,
10/05/2009,40,FEET,42.2,DEGREES F,,
04/07/2012,5,FEET,54.8,DEGREES F,,
04/07/2012,10,FEET,54.3,DEGREES F,,
04/07/2012,15,FEET,50,DEGREES F,,
04/07/2012,20,FEET,43.1,DEGREES F,,
04/07/2012,25,FEET,40.4,DEGREES F,,
04/07/2012,30,FEET,39.9,DEGREES F,,
04/07/2012,35,FEET,37.8,DEGREES F,,
04/07/2012,40,FEET,35.6,DEGREES F,,
04/14/2012,5,FEET,53.4,DEGREES F,,
04/14/2012,10,FEET,52.8,DEGREES F,,
04/14/2012,15,FEET,50.7,DEGREES F,,
04/14/2012,20,FEET,45.1,DEGREES F,,
04/14/2012,25,FEET,40.8,DEGREES F,,
04/14/2012,30,FEET,40.1,DEGREES F,,
04/14/2012,35,FEET,39.9,DEGREES F,,
04/14/2012,40,FEET,38,DEGREES F,,
04/23/2012,5,FEET,57,DEGREES F,,
04/23/2012,10,FEET,54.8,DEGREES F,,
04/23/2012,15,FEET,53.2,DEGREES F,,
04/23/2012,20,FEET,45.6,DEGREES F,,
04/23/2012,25,FEET,41.7,DEGREES F,,
04/23/2012,30,FEET,41.2,DEGREES F,,
04/23/2012,35,FEET,40.1,DEGREES F,,
04/23/2012,40,FEET,38.2,DEGREES F,,
04/30/2012,5,FEET,57.2,DEGREES F,,
04/30/2012,10,FEET,55,DEGREES F,,
04/30/2012,15,FEET,53.2,DEGREES F,,
04/30/2012,20,FEET,46,DEGREES F,,
04/30/2012,25,FEET,42.2,DEGREES F,,
04/30/2012,30,FEET,41.6,DEGREES F,,
04/30/2012,35,FEET,41,DEGREES F,,
04/30/2012,40,FEET,37.6,DEGREES F,,
05/10/2012,5,FEET,61.8,DEGREES F,,
05/10/2012,10,FEET,60,DEGREES F,,
05/10/2012,15,FEET,56.2,DEGREES F,,
05/10/2012,20,FEET,47.6,DEGREES F,,
05/10/2012,25,FEET,43.5,DEGREES F,,
05/10/2012,30,FEET,41.2,DEGREES F,,
05/10/2012,35,FEET,40.8,DEGREES F,,
05/10/2012,40,FEET,39.8,DEGREES F,,
05/16/2012,5,FEET,67.8,DEGREES F,,
05/16/2012,10,FEET,62.6,DEGREES F,,
05/16/2012,15,FEET,59,DEGREES F,,
05/16/2012,20,FEET,51.2,DEGREES F,,
05/16/2012,25,FEET,42.2,DEGREES F,,
05/16/2012,30,FEET,41,DEGREES F,,
05/16/2012,35,FEET,40.2,DEGREES F,,
05/16/2012,40,FEET,38.4,DEGREES F,,
06/08/2012,5,FEET,76.8,DEGREES F,,
06/08/2012,10,FEET,70.1,DEGREES F,,
06/08/2012,15,FEET,57.5,DEGREES F,,
06/08/2012,20,FEET,48,DEGREES F,,
06/08/2012,25,FEET,42.6,DEGREES F,,
06/08/2012,30,FEET,40.8,DEGREES F,,
06/08/2012,35,FEET,40.4,DEGREES F,,
06/08/2012,40,FEET,40.4,DEGREES F,,
06/15/2012,5,FEET,74.8,DEGREES F,,
06/15/2012,10,FEET,71.6,DEGREES F,,
06/15/2012,15,FEET,59.7,DEGREES F,,
06/15/2012,20,FEET,49.2,DEGREES F,,
06/15/2012,25,FEET,44.4,DEGREES F,,
06/15/2012,30,FEET,42,DEGREES F,,
06/15/2012,35,FEET,41,DEGREES F,,
06/15/2012,40,FEET,40.6,DEGREES F,,
06/22/2012,5,FEET,79.5,DEGREES F,,
06/22/2012,10,FEET,75.7,DEGREES F,,
06/22/2012,15,FEET,61.5,DEGREES F,,
06/22/2012,20,FEET,51.3,DEGREES F,,
06/22/2012,25,FEET,44.4,DEGREES F,,
06/22/2012,30,FEET,42,DEGREES F,,
06/22/2012,35,FEET,40.8,DEGREES F,,
06/22/2012,40,FEET,40.8,DEGREES F,,
06/29/2012,5,FEET,80.9,DEGREES F,,
06/29/2012,10,FEET,77,DEGREES F,,
06/29/2012,15,FEET,62.9,DEGREES F,,
06/29/2012,20,FEET,48.9,DEGREES F,,
06/29/2012,25,FEET,43.8,DEGREES F,,
06/29/2012,30,FEET,41.7,DEGREES F,,
06/29/2012,35,FEET,41,DEGREES F,,
06/29/2012,40,FEET,40.8,DEGREES F,,
07/06/2012,5,FEET,88.5,DEGREES F,,
07/06/2012,10,FEET,79.1,DEGREES F,,
07/06/2012,15,FEET,64.2,DEGREES F,,
07/06/2012,20,FEET,50.7,DEGREES F,,
07/06/2012,25,FEET,43.5,DEGREES F,,
07/06/2012,30,FEET,41.7,DEGREES F,,
07/06/2012,35,FEET,41,DEGREES F,,
07/06/2012,40,FEET,40.8,DEGREES F,,
07/14/2012,5,FEET,82.5,DEGREES F,,
07/14/2012,10,FEET,82.4,DEGREES F,,
07/14/2012,15,FEET,66.2,DEGREES F,,
07/14/2012,20,FEET,52.5,DEGREES F,,
07/14/2012,25,FEET,44.6,DEGREES F,,
07/14/2012,30,FEET,42.6,DEGREES F,,
07/14/2012,35,FEET,41.3,DEGREES F,,
07/14/2012,40,FEET,41,DEGREES F,,
07/20/2012,5,FEET,81.3,DEGREES F,,
07/20/2012,10,FEET,80.4,DEGREES F,,
07/20/2012,15,FEET,68.3,DEGREES F,,
07/20/2012,20,FEET,50.1,DEGREES F,,
07/20/2012,25,FEET,45.5,DEGREES F,,
07/20/2012,30,FEET,45.3,DEGREES F,,
07/20/2012,35,FEET,41.3,DEGREES F,,
07/20/2012,40,FEET,40.8,DEGREES F,,
07/27/2012,5,FEET,81.3,DEGREES F,,
07/27/2012,10,FEET,81.1,DEGREES F,,
07/27/2012,15,FEET,70.1,DEGREES F,,
07/27/2012,20,FEET,56.1,DEGREES F,,
07/27/2012,25,FEET,45.6,DEGREES F,,
07/27/2012,30,FEET,42.2,DEGREES F,,
07/27/2012,35,FEET,41.3,DEGREES F,,
07/27/2012,40,FEET,41,DEGREES F,,
08/03/2012,5,FEET,82.5,DEGREES F,,
08/03/2012,10,FEET,81.3,DEGREES F,,
08/03/2012,15,FEET,68.3,DEGREES F,,
08/03/2012,20,FEET,53,DEGREES F,,
08/03/2012,25,FEET,46.1,DEGREES F,,
08/03/2012,30,FEET,42.9,DEGREES F,,
08/03/2012,35,FEET,41.5,DEGREES F,,
08/03/2012,40,FEET,41.1,DEGREES F,,
08/10/2012,5,FEET,75.9,DEGREES F,,
08/10/2012,10,FEET,75.7,DEGREES F,,
08/10/2012,15,FEET,72.3,DEGREES F,,
08/10/2012,20,FEET,55.4,DEGREES F,,
08/10/2012,25,FEET,45.5,DEGREES F,,
08/10/2012,30,FEET,42.9,DEGREES F,,
08/10/2012,35,FEET,41.9,DEGREES F,,
08/10/2012,40,FEET,41.3,DEGREES F,,
08/17/2012,5,FEET,74.6,DEGREES F,,
08/17/2012,10,FEET,74.1,DEGREES F,,
08/17/2012,15,FEET,71.2,DEGREES F,,
08/17/2012,20,FEET,55.7,DEGREES F,,
08/17/2012,25,FEET,46.4,DEGREES F,,
08/17/2012,30,FEET,42.9,DEGREES F,,
08/17/2012,35,FEET,41.7,DEGREES F,,
08/17/2012,40,FEET,41.1,DEGREES F,,
09/01/2012,5,FEET,75.2,DEGREES F,,
09/01/2012,10,FEET,72.3,DEGREES F,,
09/01/2012,15,FEET,60.2,DEGREES F,,
09/01/2012,20,FEET,47.3,DEGREES F,,
09/01/2012,25,FEET,42.3,DEGREES F,,
09/01/2012,30,FEET,41.2,DEGREES F,,
09/01/2012,35,FEET,40,DEGREES F,,
09/14/2012,5,FEET,71,DEGREES F,,
09/14/2012,10,FEET,70.1,DEGREES F,,
09/14/2012,15,FEET,69.6,DEGREES F,,
09/14/2012,20,FEET,58.2,DEGREES F,,
09/14/2012,25,FEET,49.2,DEGREES F,,
09/14/2012,30,FEET,44.6,DEGREES F,,
09/14/2012,35,FEET,42,DEGREES F,,
09/14/2012,40,FEET,41.6,DEGREES F,,
06/29/2017,2,FEET,21.82,DEGREES F,7.79,MG/L
06/29/2017,4,FEET,21.17,DEGREES F,7.94,MG/L
06/29/2017,6,FEET,20.6,DEGREES F,6.8,MG/L
06/29/2017,8,FEET,20.43,DEGREES F,5.74,MG/L
06/29/2017,10,FEET,19.78,DEGREES F,1.69,MG/L
06/29/2017,12,FEET,15.75,DEGREES F,.37,MG/L
06/29/2017,14,FEET,13.53,DEGREES F,.08,MG/L
07/28/2017,2,FEET,25.23,DEGREES F,6.85,MG/L
07/28/2017,3,FEET,25.18,DEGREES F,6.84,MG/L
07/28/2017,4,FEET,24.8,DEGREES F,6.63,MG/L
07/28/2017,5,FEET,24.72,DEGREES F,5.66,MG/L
07/28/2017,6,FEET,24.64,DEGREES F,3.43,MG/L
07/28/2017,7,FEET,24.42,DEGREES F,1.36,MG/L
07/28/2017,8,FEET,24.18,DEGREES F,.93,MG/L
07/28/2017,9,FEET,23.52,DEGREES F,.49,MG/L
07/28/2017,10,FEET,21.48,DEGREES F,1.17,MG/L
07/28/2017,11,FEET,20.6,DEGREES F,.05,MG/L
07/28/2017,12,FEET,18.34,DEGREES F,.02,MG/L
08/30/2017,2,FEET,22.19,DEGREES C,,
08/30/2017,3,FEET,21.78,DEGREES C,,
08/30/2017,4,FEET,21.63,DEGREES C,,
08/30/2017,5,FEET,21.48,DEGREES C,,
08/30/2017,6,FEET,21.42,DEGREES C,,
08/30/2017,7,FEET,21.34,DEGREES C,,
08/30/2017,8,FEET,21.29,DEGREES C,,
08/30/2017,9,FEET,21.2,DEGREES C,,
08/30/2017,10,FEET,21.05,DEGREES C,,
08/30/2017,11,FEET,20.71,DEGREES C,,
08/30/2017,12,FEET,20,DEGREES C,,
09/27/2017,2,FEET,22.97,DEGREES C,5.45,MG/L
09/27/2017,3,FEET,22.96,DEGREES C,5.44,MG/L
09/27/2017,4,FEET,22.98,DEGREES C,5.41,MG/L
09/27/2017,5,FEET,22.97,DEGREES C,5.37,MG/L
09/27/2017,6,FEET,22.96,DEGREES C,5.35,MG/L
09/27/2017,7,FEET,22.97,DEGREES C,5.31,MG/L
09/27/2017,8,FEET,22.8,DEGREES C,5.03,MG/L
09/27/2017,9,FEET,21.89,DEGREES C,5.43,MG/L
