Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wolf Lake,Portage,241100,WC,50,,10014867,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,11/26/1979,4.92,,1.5,,,54,,,,,,,
1,04/21/1980,7.22,,2.2,,,49,,,,,,,
1,10/27/1980,15.42,,4.7,,,38,,,,,,,
1,04/13/1981,4.92,,1.5,,,54,,,,,,,
1,05/18/2011,,,,,27,,54,,,,,,
46335680,06/08/2011,6.25,NO,1.9,,,51,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
46335680,06/25/2011,5.5,NO,1.7,,,53,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,07/12/2011,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,07/18/2011,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,
46335680,08/09/2011,7.5,NO,2.3,,,48,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,08/15/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,08/26/2011,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/02/2011,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/09/2011,7.5,NO,2.3,,,48,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/19/2011,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/25/2011,9,NO,2.7,,,45,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,10/07/2011,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,10/16/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,10/23/2011,9,NO,2.7,,,45,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,11/13/2011,,,,,13,,48,,,,,,
46335680,11/13/2011,9.5,NO,2.9,,,45,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,11/20/2011,,,,,,,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,04/25/2012,8,,2.4,,19,47,51,,,,,,
46335680,06/07/2012,,,,,22,,52,,,,,,
46335680,07/27/2012,,,,11.9,25,,53,54,,,,,
46335680,08/14/2012,,,,2.65,18,,51,42,,,,,
46335680,08/26/2012,,,,,24,,53,,,,,,
1,04/04/2013,,,,,,,,,,,,,
46335680,06/17/2013,5.5,NO,1.7,2.38,26,53,53,41,,,,,
46335680,07/13/2013,10,NO,3,1.34,17.8,44,50,37,NORMAL,,,,
46335680,08/18/2013,7,NO,2.1,4.05,21.1,49,52,45,NORMAL,,CLEAR,,
46335680,09/22/2013,10,NO,3,,,44,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
1,10/19/2013,,,,,26,,53,,,,,,
46335680,10/19/2013,9,NO,2.7,,,45,,,NORMAL,,CLEAR,,
46335680,05/13/2014,6,NO,1.8,,23.1,51,52,,NORMAL,,,,
46335680,06/23/2014,6,NO,1.8,6.31,21.2,51,52,49,NORMAL,,,,
46335680,07/21/2014,7.5,NO,2.3,2.87,24.8,48,53,43,,,,,
46335680,08/24/2014,5.5,NO,1.7,8.46,28.3,53,54,51,,,,,
46335680,09/27/2014,4.5,NO,1.4,,,55,,,,,,,
46335680,05/28/2015,7,NO,2.1,,,49,,,,,,,
46335680,06/23/2015,3,NO,0.9,,,61,,,,,,,
46335680,07/27/2015,4, ,1.2,,,57,,,,,,,
46335680,08/30/2015,5,NO,1.5,,,54,,,,,,,
46335680,09/23/2015,3,NO,0.9,,,61,,,,,,,
46335680,06/07/2016,3,NO,0.9,,,61,,,,,MURKY,GREEN,
46335680,07/13/2016,6,NO,1.8,,,51,,,,,,,
46335680,08/17/2016,6,NO,1.8,,,51,,,,,,,
46335680,09/14/2016,4.5,NO,1.4,,,55,,,,,,,
46335680,06/21/2017,5,NO,1.5,,,54,,,,,,,
46335680,07/24/2017,5.5,NO,1.7,,,53,,,,,,,
46335680,08/31/2017,5,NO,1.5,,,54,,,,,,,
46335680,09/15/2017,5.5,NO,1.7,,,53,,,,,,,
46335680,10/02/2017,6,NO,1.8,,,51,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/04/2013,,,1.06,C,0.06,MG/L
06/17/2013,1,FEET,73,DEGREES F,,
06/17/2013,2,FEET,73,DEGREES F,,
06/17/2013,5,FEET,73,DEGREES F,,
06/17/2013,7,FEET,73,DEGREES F,,
06/17/2013,10,FEET,70,DEGREES F,,
07/13/2013,1,FEET,79.1,DEGREES F,,
07/13/2013,2,FEET,79.5,DEGREES F,,
07/13/2013,4,FEET,79.5,DEGREES F,,
07/13/2013,6,FEET,79.5,DEGREES F,,
07/13/2013,8,FEET,79.5,DEGREES F,,
07/13/2013,10,FEET,78.8,DEGREES F,,
07/13/2013,12,FEET,78,DEGREES F,,
08/18/2013,1,FEET,80.4,DEGREES F,,
08/18/2013,2,FEET,78.8,DEGREES F,,
08/18/2013,4,FEET,77,DEGREES F,,
08/18/2013,6,FEET,75.3,DEGREES F,,
08/18/2013,8,FEET,74.1,DEGREES F,,
08/18/2013,10,FEET,73.5,DEGREES F,,
08/18/2013,12,FEET,72.8,DEGREES F,,
09/22/2013,1,FEET,66,DEGREES F,,
09/22/2013,2,FEET,65.4,DEGREES F,,
09/22/2013,4,FEET,64.7,DEGREES F,,
09/22/2013,6,FEET,64.2,DEGREES F,,
09/22/2013,8,FEET,63.8,DEGREES F,,
09/22/2013,10,FEET,63.8,DEGREES F,,
09/22/2013,12,FEET,63.8,DEGREES F,,
10/19/2013,1,FEET,53.2,DEGREES F,,
10/19/2013,2,FEET,52.8,DEGREES F,,
10/19/2013,4,FEET,52.8,DEGREES F,,
10/19/2013,6,FEET,52.5,DEGREES F,,
10/19/2013,8,FEET,52.5,DEGREES F,,
10/19/2013,10,FEET,51.8,DEGREES F,,
10/19/2013,12,FEET,51.2,DEGREES F,,
10/19/2013,14,FEET,51.2,DEGREES F,,
05/13/2014,1,FEET,61.5,DEGREES F,,
05/13/2014,2,FEET,62,DEGREES F,,
05/13/2014,4,FEET,62.4,DEGREES F,,
05/13/2014,6,FEET,62.4,DEGREES F,,
05/13/2014,8,FEET,62.4,DEGREES F,,
05/13/2014,10,FEET,61.8,DEGREES F,,
06/23/2014,1,FEET,79.1,DEGREES F,,
06/23/2014,2,FEET,78.6,DEGREES F,,
06/23/2014,4,FEET,75,DEGREES F,,
06/23/2014,6,FEET,74.4,DEGREES F,,
06/23/2014,8,FEET,73.7,DEGREES F,,
06/23/2014,10,FEET,73.2,DEGREES F,,
06/23/2014,12,FEET,72.8,DEGREES F,,
07/21/2014,1,FEET,80.4,DEGREES F,,
07/21/2014,2,FEET,80,DEGREES F,,
07/21/2014,4,FEET,77,DEGREES F,,
07/21/2014,6,FEET,75.9,DEGREES F,,
07/21/2014,8,FEET,75,DEGREES F,,
07/21/2014,10,FEET,73.3,DEGREES F,,
08/24/2014,1,FEET,75.5,DEGREES F,,
08/24/2014,2,FEET,75.2,DEGREES F,,
08/24/2014,4,FEET,75,DEGREES F,,
08/24/2014,6,FEET,74.4,DEGREES F,,
08/24/2014,8,FEET,73.9,DEGREES F,,
08/24/2014,10,FEET,73.7,DEGREES F,,
09/27/2014,1,FEET,66.9,DEGREES F,,
09/27/2014,2,FEET,66,DEGREES F,,
09/27/2014,4,FEET,65.3,DEGREES F,,
09/27/2014,6,FEET,64.7,DEGREES F,,
09/27/2014,8,FEET,64.2,DEGREES F,,
09/27/2014,10,FEET,63.8,DEGREES F,,
09/27/2014,12,FEET,63.6,DEGREES F,,
05/28/2015,1,FEET,68.3,DEGREES F,,
05/28/2015,2,FEET,68.1,DEGREES F,,
05/28/2015,4,FEET,68,DEGREES F,,
05/28/2015,6,FEET,68,DEGREES F,,
05/28/2015,8,FEET,68,DEGREES F,,
05/28/2015,10,FEET,67.6,DEGREES F,,
06/23/2015,1,FEET,76.8,DEGREES F,,
06/23/2015,2,FEET,76.4,DEGREES F,,
06/23/2015,4,FEET,76.4,DEGREES F,,
06/23/2015,6,FEET,76.2,DEGREES F,,
06/23/2015,8,FEET,74.1,DEGREES F,,
06/23/2015,10,FEET,72.5,DEGREES F,,
07/27/2015,1,FEET,82.7,DEGREES F,,
07/27/2015,2,FEET,82.2,DEGREES F,,
07/27/2015,4,FEET,80.6,DEGREES F,,
07/27/2015,6,FEET,79.5,DEGREES F,,
07/27/2015,8,FEET,78.2,DEGREES F,,
07/27/2015,10,FEET,74.8,DEGREES F,,
08/30/2015,1,FEET,71.4,DEGREES F,,
08/30/2015,2,FEET,70.5,DEGREES F,,
08/30/2015,4,FEET,68,DEGREES F,,
08/30/2015,6,FEET,66.9,DEGREES F,,
08/30/2015,8,FEET,66.5,DEGREES F,,
08/30/2015,10,FEET,66,DEGREES F,,
09/23/2015,1,FEET,69.2,DEGREES F,,
09/23/2015,2,FEET,69.2,DEGREES F,,
09/23/2015,4,FEET,69,DEGREES F,,
09/23/2015,6,FEET,68.7,DEGREES F,,
09/23/2015,8,FEET,68,DEGREES F,,
