Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Redstone,Sauk,1280400,SC,57,,10014912,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
29390645,09/17/2008,3,,0.9,,,62,,,,,,,
1,04/29/2016,,,,,,,,,,,,,
1,04/30/2016,,,,,,,,,,,,,
1,05/01/2016,,,,,,,,,,,,,
1,05/02/2016,,,,,,,,,,,,,
1,05/08/2017,,,,,,,,,,,,,
1,05/09/2017,,,,,,,,,,,,,
1,05/10/2017,,,,,,,,,,,,,
1,05/12/2017,,,,,,,,,,,,,
146145687,08/16/2017,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/17/2008,1,METERS,19.7,DEGREES C,4.95,MG/L
09/17/2008,2,METERS,19.4,DEGREES C,2.47,MG/L
09/17/2008,3,METERS,19.3,DEGREES C,1.92,MG/L
09/17/2008,4,METERS,19.2,DEGREES C,1.85,MG/L
09/17/2008,5,METERS,19,DEGREES C,1.39,MG/L
09/17/2008,6,METERS,18.7,DEGREES C,.09,MG/L
09/17/2008,7,METERS,18.2,DEGREES C,.08,MG/L
09/17/2008,8,METERS,14.7,DEGREES C,0,MG/L
09/17/2008,9,METERS,13,DEGREES C,0,MG/L
09/17/2008,10,METERS,12.1,DEGREES C,0,MG/L
09/17/2008,10.5,METERS,11.8,DEGREES C,0,MG/L
04/29/2016,,,12.2,C,,
04/30/2016,,,12.2,C,,
05/01/2016,,,11.7,C,,
05/02/2016,,,12.8,C,,
05/08/2017,,,15,C,,
05/09/2017,,,12.5,C,,
05/10/2017,,,14.3,C,,
05/12/2017,,,16.5,C,,
08/16/2017,0,METERS,23.3,DEGREES C,8.5,MG/L
08/16/2017,1,METERS,23,DEGREES C,7.85,MG/L
08/16/2017,2,METERS,22.9,DEGREES C,8.32,MG/L
08/16/2017,3,METERS,22.9,DEGREES C,6.57,MG/L
08/16/2017,4,METERS,22.8,DEGREES C,2.09,MG/L
08/16/2017,5,METERS,22.7,DEGREES C,,
08/16/2017,6,METERS,21,DEGREES C,,
08/16/2017,7,METERS,16,DEGREES C,,
08/16/2017,8,METERS,13.2,DEGREES C,,
08/16/2017,9,METERS,12.4,DEGREES C,,
08/16/2017,10,METERS,11.8,DEGREES C,,
08/16/2017,11,METERS,11.5,DEGREES C,,



Start Date,Fieldwork Comment
09/17/2008,Cloud Cover: 0%
Weather: Sunny
Winds:  less than 5mph




Start Date,Group Name,Project Name
09/17/2008,UNMUTH- JEAN,SCR Long-Term Trend Lakes
04/29/2016,Data Collectors,Herbicide Concentration Monitoring
04/30/2016,Data Collectors,Herbicide Concentration Monitoring
05/01/2016,Data Collectors,Herbicide Concentration Monitoring
05/02/2016,Data Collectors,Herbicide Concentration Monitoring
05/08/2017,Data Collectors,Herbicide Concentration Monitoring
05/09/2017,Data Collectors,Herbicide Concentration Monitoring
05/10/2017,Data Collectors,Herbicide Concentration Monitoring
05/12/2017,Data Collectors,Herbicide Concentration Monitoring
08/16/2017,TAYLOR J STEAGER- KEVIN T OLSON- AMANDA S SMITH,SCR Long-Term Trend Lakes
