Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Price Lake,Price,2234600,NO,51,,10020972,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/09/2007,3.8,NO,1.15,20,24,58,53,57,,,,,
62595126,08/28/2012,3.6,NO,1.1,7.43,24,59,53,50,,,,,
145584054,07/23/2017,,,,11.6,38.9,,56,53,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/09/2007,0.5,METERS,25,DEGREES C,9.1,MG/L
08/09/2007,1,METERS,25,DEGREES C,9,MG/L
08/09/2007,2,METERS,25,DEGREES C,8.2,MG/L
08/09/2007,3,METERS,21.8,DEGREES C,0.5,MG/L
08/09/2007,4,METERS,17,DEGREES C,0.3,MG/L
08/09/2007,5,METERS,13.4,DEGREES C,0.3,MG/L
08/09/2007,6,METERS,11.6,DEGREES C,0.3,MG/L
08/09/2007,7,METERS,11.1,DEGREES C,0.3,MG/L
08/28/2012,0,METERS,24.7,DEGREES C,7.7,MG/L
08/28/2012,1,METERS,23,DEGREES C,7.6,MG/L
08/28/2012,2,METERS,22.6,DEGREES C,7.3,MG/L
08/28/2012,3,METERS,19.9,DEGREES C,4,MG/L
08/28/2012,4,METERS,16.1,DEGREES C,.7,MG/L
08/28/2012,5,METERS,13.9,DEGREES C,.4,MG/L
08/28/2012,6,METERS,12.5,DEGREES C,.3,MG/L
08/28/2012,6.8,METERS,12,DEGREES C,.3,MG/L
07/23/2017,0,METERS,24.5,DEGREES C,6.7,MG/L
07/23/2017,1,METERS,24.5,DEGREES C,6.7,MG/L
07/23/2017,2,METERS,23.9,DEGREES C,6.1,MG/L
07/23/2017,3,METERS,17.3,DEGREES C,.7,MG/L
07/23/2017,4,METERS,14.5,DEGREES C,.1,MG/L
07/23/2017,5,METERS,12.4,DEGREES C,.04,MG/L
07/23/2017,6,METERS,11.2,DEGREES C,.03,MG/L
07/23/2017,7,METERS,11,DEGREES C,.03,MG/L
07/23/2017,7.7,METERS,10.7,DEGREES C,.03,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
08/09/2007,Data Collectors,National Lake Survey - Index Sampling
08/28/2012,CAITLIN CARLSON,EPA National Lakes Survey 2012
07/23/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
