Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake of the Woods,Barron,2632100,NO,3,,10021261,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
19228254,08/10/2007,1,,0.3,,,77,,,LOW,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
19229359,08/10/2007,,,,,,,,,,,,,
19228254,08/15/2007,2,NO,0.6,,,67,,,LOW,,,GREEN,5-Enjoyment substantially impaired (algae)
19228254,08/29/2007,4.25,NO,1.3,,,56,,,LOW,,,GREEN,4-Would not swim but boating OK (algae)
19228254,09/01/2007,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,10/03/2007,5.25,NO,1.6,,,53,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
19228254,05/25/2008,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,06/08/2008,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,06/19/2008,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
19228254,07/15/2008,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
19228254,08/07/2008,4.75,NO,1.4,,,55,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
19228254,08/18/2008,3.75,NO,1.1,,,58,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
19228254,09/16/2008,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19228254,10/02/2008,6.75,NO,2.1,,,50,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
19228254,06/10/2009,8.5,NO,2.6,,,46,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
19228254,06/26/2009,2,NO,0.6,,,67,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
19228254,09/02/2009,2.5,NO,0.8,,,64,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,09/09/2009,5.25,NO,1.6,,,53,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
19229359,06/06/2014,3.5,NO,1.1,,,59,,,,,MURKY,YELLOW,2-Very minor aesthetic problems
19229359,06/24/2014,2.3,NO,0.7,,,65,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
19229359,07/04/2014,2,NO,0.6,,,67,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,05/07/2017,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
19228254,06/06/2017,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
19228254,06/20/2017,3.25,NO,1,,,60,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
19228254,06/21/2017,,,,21.9,57.3,,59,58,,,,,
19228254,07/02/2017,3.25,NO,1,,,60,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
19228254,07/25/2017,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
19228254,08/06/2017,,,,33.5,54,,59,61,,,,,
19228254,08/07/2017,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
19228254,09/04/2017,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
36799391,09/05/2017,,,,42.8,42.1,,57,63,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/10/2007,0.98,METERS,25.09,DEGREES C,12.74,MG/L
08/10/2007,1.74,METERS,24.07,DEGREES C,10.15,MG/L
08/10/2007,2.38,METERS,23.04,DEGREES C,4.19,MG/L
08/10/2007,2.92,METERS,21.69,DEGREES C,1.18,MG/L
08/10/2007,3.45,METERS,18.96,DEGREES C,.7,MG/L
08/10/2007,3.92,METERS,16.49,DEGREES C,.54,MG/L
08/10/2007,4.44,METERS,13.67,DEGREES C,.45,MG/L
08/10/2007,4.98,METERS,10.95,DEGREES C,.45,MG/L
08/10/2007,5.45,METERS,9.05,DEGREES C,.43,MG/L
08/10/2007,5.95,METERS,7.22,DEGREES C,.38,MG/L
08/10/2007,6.43,METERS,6.25,DEGREES C,.46,MG/L
08/10/2007,6.9,METERS,5.25,DEGREES C,1.35,MG/L
08/10/2007,7.37,METERS,4.98,DEGREES C,2.3,MG/L
08/10/2007,7.85,METERS,4.78,DEGREES C,2.45,MG/L
08/10/2007,8.34,METERS,4.46,DEGREES C,1.91,MG/L
08/10/2007,8.8,METERS,4.24,DEGREES C,1.21,MG/L
08/10/2007,9.32,METERS,4.22,DEGREES C,.67,MG/L
08/10/2007,9.75,METERS,4.18,DEGREES C,.47,MG/L
08/10/2007,10.21,METERS,4.15,DEGREES C,.41,MG/L
08/10/2007,10.6,METERS,4.14,DEGREES C,.41,MG/L
08/10/2007,11.08,METERS,4.15,DEGREES C,.45,MG/L
08/10/2007,11.53,METERS,4.16,DEGREES C,.35,MG/L
08/10/2007,11.97,METERS,4.16,DEGREES C,.33,MG/L
08/10/2007,12.43,METERS,4.17,DEGREES C,.37,MG/L
08/10/2007,12.88,METERS,4.17,DEGREES C,.5,MG/L
08/10/2007,13.35,METERS,4.17,DEGREES C,.4,MG/L
08/10/2007,13.79,METERS,4.17,DEGREES C,.35,MG/L
08/10/2007,14.69,METERS,4.16,DEGREES C,.3,MG/L
08/10/2007,15.15,METERS,4.16,DEGREES C,.34,MG/L
08/10/2007,16.04,METERS,4.15,DEGREES C,.33,MG/L
06/20/2017,1,FEET,72.6,DEGREES F,,
06/20/2017,3,FEET,72.3,DEGREES F,,
06/20/2017,5,FEET,71.2,DEGREES F,,
06/20/2017,7,FEET,70.5,DEGREES F,,
06/20/2017,9,FEET,60.3,DEGREES F,,
06/20/2017,11,FEET,53.9,DEGREES F,,
06/20/2017,15,FEET,48.9,DEGREES F,,
06/20/2017,17,FEET,47.4,DEGREES F,,
06/20/2017,20,FEET,46,DEGREES F,,
06/20/2017,25,FEET,43.7,DEGREES F,,
06/20/2017,30,FEET,42,DEGREES F,,
06/20/2017,35,FEET,42,DEGREES F,,
07/02/2017,1,FEET,78,DEGREES F,,
07/02/2017,3,FEET,72,DEGREES F,,
07/02/2017,5,FEET,68.7,DEGREES F,,
07/02/2017,9,FEET,61.8,DEGREES F,,
07/02/2017,11,FEET,55.2,DEGREES F,,
07/02/2017,15,FEET,44.8,DEGREES F,,
07/02/2017,17,FEET,48.2,DEGREES F,,
07/02/2017,20,FEET,45.6,DEGREES F,,
07/02/2017,25,FEET,42.8,DEGREES F,,
07/02/2017,30,FEET,41,DEGREES F,,
07/02/2017,35,FEET,40.2,DEGREES F,,
07/02/2017,40,FEET,39.9,DEGREES F,,
07/25/2017,1,FEET,79.5,DEGREES F,,
07/25/2017,3,FEET,76.6,DEGREES F,,
07/25/2017,5,FEET,74.6,DEGREES F,,
07/25/2017,8,FEET,66.5,DEGREES F,,
07/25/2017,11,FEET,58.6,DEGREES F,,
07/25/2017,15,FEET,48.9,DEGREES F,,
07/25/2017,18,FEET,47.3,DEGREES F,,
07/25/2017,20,FEET,46,DEGREES F,,
07/25/2017,25,FEET,43.7,DEGREES F,,
07/25/2017,28,FEET,42.2,DEGREES F,,
07/25/2017,30,FEET,41.5,DEGREES F,,
07/25/2017,35,FEET,40.9,DEGREES F,,
07/25/2017,40,FEET,40.2,DEGREES F,,
07/25/2017,45,FEET,40.1,DEGREES F,,
07/25/2017,49,FEET,39.9,DEGREES F,,
