Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pokegama Lake,Washburn,2696300,NO,66,,10021821,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
19448598,10/03/2007,9.25,NO,2.8,,,45,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
82607229,07/17/2017,11.5,NO,3.5,2.97,20.4,42,52,43,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
10585221,08/09/2017,10,NO,3,4.24,25.7,44,53,46,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
10585221,09/05/2017,10,NO,3,11.7,24.9,44,53,53,,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/17/2017,0,FEET,74,DEGREES F,8.3,MG/L
07/17/2017,1,FEET,74,DEGREES F,8.31,MG/L
07/17/2017,2,FEET,74,DEGREES F,8.3,MG/L
07/17/2017,3,FEET,73.9,DEGREES F,8.3,MG/L
07/17/2017,4,FEET,73.9,DEGREES F,8.3,MG/L
07/17/2017,5,FEET,73.8,DEGREES F,8.28,MG/L
07/17/2017,6,FEET,73.7,DEGREES F,8.27,MG/L
07/17/2017,7,FEET,73.7,DEGREES F,8.26,MG/L
07/17/2017,8,FEET,73.6,DEGREES F,8.26,MG/L
07/17/2017,9,FEET,73.5,DEGREES F,8.23,MG/L
07/17/2017,10,FEET,73.4,DEGREES F,8.23,MG/L
07/17/2017,11,FEET,73.4,DEGREES F,8.21,MG/L
07/17/2017,12,FEET,73.3,DEGREES F,8.2,MG/L
07/17/2017,13,FEET,73.1,DEGREES F,8.17,MG/L
07/17/2017,14,FEET,73,DEGREES F,8.12,MG/L
07/17/2017,15,FEET,72.8,DEGREES F,8.07,MG/L
07/17/2017,16,FEET,71.2,DEGREES F,6.8,MG/L
07/17/2017,17,FEET,68.9,DEGREES F,3.91,MG/L
07/17/2017,18,FEET,68.1,DEGREES F,1.12,MG/L
07/17/2017,19,FEET,67.3,DEGREES F,1.24,MG/L
08/09/2017,0,FEET,73.7,DEGREES F,8.98,MG/L
08/09/2017,1,FEET,73.7,DEGREES F,8.99,MG/L
08/09/2017,2,FEET,73.7,DEGREES F,9,MG/L
08/09/2017,3,FEET,73.6,DEGREES F,9.01,MG/L
08/09/2017,4,FEET,73.5,DEGREES F,9,MG/L
08/09/2017,5,FEET,73.3,DEGREES F,9.02,MG/L
08/09/2017,6,FEET,73.2,DEGREES F,9.03,MG/L
08/09/2017,7,FEET,72.9,DEGREES F,9.06,MG/L
08/09/2017,8,FEET,72.8,DEGREES F,9.01,MG/L
08/09/2017,9,FEET,72.6,DEGREES F,8.89,MG/L
08/09/2017,10,FEET,71.7,DEGREES F,7.45,MG/L
08/09/2017,11,FEET,71.5,DEGREES F,7.43,MG/L
08/09/2017,12,FEET,71.4,DEGREES F,7.35,MG/L
08/09/2017,13,FEET,71.2,DEGREES F,6.63,MG/L
08/09/2017,14,FEET,71.1,DEGREES F,5.87,MG/L
08/09/2017,15,FEET,70.8,DEGREES F,4.49,MG/L
08/09/2017,16,FEET,70.6,DEGREES F,3.75,MG/L
08/09/2017,17,FEET,70.3,DEGREES F,2.21,MG/L
08/09/2017,18,FEET,70.1,DEGREES F,2.47,MG/L
08/09/2017,19,FEET,69.8,DEGREES F,1.44,MG/L
08/09/2017,20,FEET,69.4,DEGREES F,.41,MG/L
09/05/2017,0,METERS,66.9,DEGREES F,8.05,MG/L
09/05/2017,1,METERS,66.8,DEGREES F,8.04,MG/L
09/05/2017,2,METERS,66.8,DEGREES F,8.04,MG/L
09/05/2017,3,METERS,66.8,DEGREES F,8.03,MG/L
09/05/2017,4,METERS,66.7,DEGREES F,8.02,MG/L
09/05/2017,5,METERS,66.6,DEGREES F,8,MG/L
09/05/2017,6,METERS,66.1,DEGREES F,8.3,MG/L
09/05/2017,7,METERS,65.7,DEGREES F,8.19,MG/L



Start Date,Fieldwork Comment
10/03/2007,Sunny and fairly windy. Tiny whitecaps at times




Start Date,Group Name,Project Name
10/03/2007,Jack Loza,Citizen Lake Monitoring - Water Quality - Pokegama Lake- Washburn County
07/17/2017,Mark Sundeen and Alex Smith,Directed Lakes 2017 Smith
08/09/2017,MARK SUNDEEN,Directed Lakes 2017 Smith
09/05/2017,MARK SUNDEEN,Directed Lakes 2017 Smith
