Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Granite Lake,Barron,2100800,NO,3,,10022808,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
22758219,05/09/2008,,,,,76,,62,,,,,,
22758219,06/12/2008,,,,11.4,36,,56,53,,,,,
22758219,07/14/2008,,,,,37,,56,,,,,,
22758219,08/05/2008,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,
22758219,08/29/2008,4.25,NO,1.3,28.3,26,56,53,60,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,09/23/2008,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,10/20/2008,7.25,NO,2.2,,,49,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,05/19/2009,10.5,NO,3.2,,27,43,54,,LOW,,CLEAR,BROWN,
22758219,06/15/2009,3.5,NO,1.1,48.7,35,59,56,64,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
22758219,07/14/2009,4,NO,1.2,24.9,36,57,56,59,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
22758219,08/11/2009,6,NO,1.8,8.49,24,51,53,51,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
22758219,09/22/2009,5.75,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,10/24/2009,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,05/19/2010,15.5,YES,4.7,,17,38,50,,HIGH,1.7,CLEAR,GREEN,2-Very minor aesthetic problems
22758219,06/22/2010,8.5,NO,2.6,5.37,17,46,50,48,HIGH,1.9,CLEAR,GREEN,2-Very minor aesthetic problems
22758219,07/19/2010,6.25,NO,1.9,7.07,23,51,52,50,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
22758219,08/24/2010,4.25,NO,1.3,18.8,50,56,58,57,HIGH,2.6,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,10/02/2010,3.75,NO,1.1,,,58,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,05/24/2011,5.5,NO,1.7,,30,53,54,,HIGH,2.3,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,06/14/2011,6.25,NO,1.9,3.97,27,51,54,45,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,07/19/2011,4,NO,1.2,25.9,37,57,56,59,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
22758219,08/22/2011,5,NO,1.5,8.3,27,54,54,51,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,05/29/2012,3.5,NO,1.1,,41,59,57,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
22758219,06/27/2012,5.5,NO,1.7,8.4,29,53,54,51,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
22758219,07/23/2012,5.25,NO,1.6,9.99,26,53,53,52,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
22758219,08/20/2012,5.5,NO,1.7,9.79,25,53,53,52,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
22758219,05/28/2013,6.25,NO,1.9,,25.9,51,53,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
22758219,06/18/2013,6,NO,1.8,21.9,34,51,55,58,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
22758219,07/23/2013,4.75,NO,1.4,18,27.5,55,54,57,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189323,08/20/2013,,,,31,27,,54,61,,,,,
83708664,08/20/2013,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
25475311,05/22/2017,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
147297471,05/22/2017,,,,,,,,,,,,,
25475311,07/04/2017,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
147297471,07/04/2017,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
147297471,09/09/2017,6,NO,1.8,,,51,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
147297471,09/24/2017,6.5,NO,2,,,50,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/29/2008,0,FEET,73.2,DEGREES F,,
08/29/2008,3,FEET,71.6,DEGREES F,9.8,MG/L
08/29/2008,6,FEET,71,DEGREES F,,
08/29/2008,9,FEET,70.8,DEGREES F,8,MG/L
08/29/2008,12,FEET,70.5,DEGREES F,,
08/29/2008,15,FEET,69.4,DEGREES F,7.4,MG/L
09/23/2008,0,FEET,64.4,DEGREES F,,
09/23/2008,3,FEET,64.2,DEGREES F,,
09/23/2008,6,FEET,64.2,DEGREES F,,
09/23/2008,9,FEET,64,DEGREES F,,
09/23/2008,12,FEET,64,DEGREES F,,
09/23/2008,15,FEET,63.6,DEGREES F,,
10/20/2008,0,FEET,52.8,DEGREES F,,
10/20/2008,3,FEET,53,DEGREES F,,
10/20/2008,6,FEET,53,DEGREES F,,
10/20/2008,9,FEET,53,DEGREES F,13.4,MG/L
10/20/2008,12,FEET,53,DEGREES F,,
10/20/2008,15,FEET,53.2,DEGREES F,,
05/19/2009,0,FEET,60,DEGREES F,,
05/19/2009,3,FEET,59.3,DEGREES F,8.2,MG/L
05/19/2009,6,FEET,58.2,DEGREES F,,
05/19/2009,9,FEET,57.5,DEGREES F,8.6,MG/L
05/19/2009,12,FEET,57.2,DEGREES F,,
05/19/2009,15,FEET,56.4,DEGREES F,8.6,MG/L
06/15/2009,0,FEET,71.4,DEGREES F,,
06/15/2009,3,FEET,67.8,DEGREES F,11.2,MG/L
06/15/2009,6,FEET,63.3,DEGREES F,,
06/15/2009,9,FEET,63,DEGREES F,9.2,MG/L
06/15/2009,12,FEET,61.1,DEGREES F,,
06/15/2009,15,FEET,60.2,DEGREES F,4.7,MG/L
07/14/2009,0,FEET,71.2,DEGREES F,,
07/14/2009,3,FEET,71.4,DEGREES F,9.6,MG/L
07/14/2009,6,FEET,71.6,DEGREES F,,
07/14/2009,9,FEET,71,DEGREES F,8.9,MG/L
07/14/2009,12,FEET,69.2,DEGREES F,,
07/14/2009,15,FEET,63.8,DEGREES F,3.3,MG/L
08/11/2009,0,FEET,77,DEGREES F,,
08/11/2009,3,FEET,76.4,DEGREES F,9.8,MG/L
08/11/2009,6,FEET,75.2,DEGREES F,,
08/11/2009,9,FEET,73.5,DEGREES F,9.4,MG/L
08/11/2009,12,FEET,71.4,DEGREES F,,
08/11/2009,15,FEET,68,DEGREES F,6.7,MG/L
09/22/2009,0,FEET,70.8,DEGREES F,,
09/22/2009,3,FEET,70.5,DEGREES F,7.9,MG/L
09/22/2009,6,FEET,70.1,DEGREES F,,
09/22/2009,9,FEET,69.8,DEGREES F,9.4,MG/L
09/22/2009,12,FEET,69.8,DEGREES F,,
09/22/2009,15,FEET,68.7,DEGREES F,10.8,MG/L
10/24/2009,0,FEET,46,DEGREES F,,
10/24/2009,3,FEET,45.6,DEGREES F,,
10/24/2009,6,FEET,45.1,DEGREES F,,
10/24/2009,9,FEET,44.9,DEGREES F,,
10/24/2009,12,FEET,44.7,DEGREES F,,
10/24/2009,15,FEET,44.6,DEGREES F,,
05/19/2010,0,FEET,66,DEGREES F,,
05/19/2010,3,FEET,64.2,DEGREES F,9.8,MG/L
05/19/2010,6,FEET,63.3,DEGREES F,,
05/19/2010,9,FEET,62.4,DEGREES F,9.8,MG/L
05/19/2010,12,FEET,56.1,DEGREES F,,
05/19/2010,15,FEET,54.1,DEGREES F,8.6,MG/L
06/22/2010,0,FEET,73.2,DEGREES F,,
06/22/2010,3,FEET,71,DEGREES F,10,MG/L
06/22/2010,6,FEET,70.1,DEGREES F,,
06/22/2010,9,FEET,69.8,DEGREES F,9.8,MG/L
06/22/2010,12,FEET,67.4,DEGREES F,,
06/22/2010,15,FEET,64.2,DEGREES F,8,MG/L
07/19/2010,0,FEET,78,DEGREES F,,
07/19/2010,3,FEET,77.7,DEGREES F,8.2,MG/L
07/19/2010,6,FEET,77.3,DEGREES F,,
07/19/2010,9,FEET,77.1,DEGREES F,8,MG/L
07/19/2010,12,FEET,76.2,DEGREES F,,
07/19/2010,15,FEET,73.5,DEGREES F,7.2,MG/L
08/24/2010,0,FEET,75.3,DEGREES F,,
08/24/2010,3,FEET,75,DEGREES F,6.4,MG/L
08/24/2010,6,FEET,74.6,DEGREES F,,
08/24/2010,9,FEET,74.6,DEGREES F,6.4,MG/L
08/24/2010,12,FEET,74.6,DEGREES F,,
08/24/2010,15,FEET,74.1,DEGREES F,5.6,MG/L
05/24/2011,0,FEET,67.8,DEGREES F,,
05/24/2011,3,FEET,64.5,DEGREES F,15.8,MG/L
05/24/2011,6,FEET,63.6,DEGREES F,,
05/24/2011,9,FEET,60.8,DEGREES F,15,MG/L
05/24/2011,12,FEET,53,DEGREES F,,
05/24/2011,15,FEET,52.1,DEGREES F,8.4,MG/L
06/14/2011,0,FEET,68.9,DEGREES F,,
06/14/2011,3,FEET,68,DEGREES F,10.2,MG/L
06/14/2011,6,FEET,67.6,DEGREES F,,
