Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Arrowhead,Adams,1377700,WC,1,,10028946,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,10/29/1985,5,,1.5,,,54,,,,,,,
1,05/08/1986,6,,1.8,,,51,,,,,,,
1,06/13/1986,7,,2.1,,,49,,,,,,,
1,07/11/1986,5.66,,1.7,,,52,,,,,,,
1,08/12/1986,4.5,,1.4,,,55,,,,,,,
1,09/10/1986,2.5,,0.8,,,64,,,,,,,
1,05/28/1987,7,,2.1,,,49,,,,,,,
1,06/30/1987,6,,1.8,,,51,,,,,,,
1,07/28/1987,5,,1.5,,,54,,,,,,,
1,08/24/1987,4.5,,1.4,,,55,,,,,,,
1,09/22/1987,2.5,,0.8,,,64,,,,,,,
1,10/27/1987,6,,1.8,,,51,,,,,,,
1,06/07/1988,7,,2.1,,,49,,,,,,,
1,07/05/1988,4,,1.2,,,57,,,,,,,
1,10/04/1988,4,,1.2,,,57,,,,,,,
1,06/27/1989,6,,1.8,,,51,,,,,,,
1,07/31/1989,4,,1.2,,,57,,,,,,,
1,08/28/1989,4,,1.2,,,57,,,,,,,
1,10/10/1989,4.5,,1.4,,,55,,,,,,,
1,07/10/1990,5,,1.5,,,54,,,,,,,
1,08/06/1990,5,,1.5,,,54,,,,,,,
1,05/21/1991,6.5,,2,,,50,,,,,,,
1,06/25/1991,6,,1.8,,,51,,,,,,,
1,08/19/1991,3.5,,1.1,,,59,,,,,,,
1,06/22/1992,4,,1.2,,,57,,,,,,,
1,07/27/1992,3,,0.9,,,61,,,,,,,
1,08/31/1992,4,,1.2,,,57,,,,,,,
1,09/29/1992,6,,1.8,,,51,,,,,,,
61048700,06/12/1996,,,,,21,,52,,,,,,
61048700,04/29/1998,,,,,28,,54,,,,,,
61048700,07/13/1998,,,,,41,,57,,,,,,
18137361,07/24/2008,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,
18137361,09/03/2008,3.5,NO,1.1,,65,59,60,,NORMAL,,MURKY,BROWN,
18137361,05/28/2009,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
29401203,05/28/2009,,,,,40,,57,,,,,,
