Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Sherwood,Adams,1377900,WC,1,,10028947,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,10/29/1985,5.5,,1.7,,,53,,,,,,,
1,05/08/1986,8,,2.4,,,47,,,,,,,
1,06/13/1986,8,,2.4,,,47,,,,,,,
1,07/11/1986,9,,2.7,,,45,,,,,,,
1,08/12/1986,5,,1.5,,,54,,,,,,,
1,09/10/1986,4,,1.2,,,57,,,,,,,
1,05/28/1987,11,,3.3,,,43,,,,,,,
1,06/30/1987,8,,2.4,,,47,,,,,,,
1,07/28/1987,7.5,,2.3,,,48,,,,,,,
1,08/24/1987,5.5,,1.7,,,53,,,,,,,
1,09/22/1987,6.5,,2,,,50,,,,,,,
1,10/27/1987,8,,2.4,,,47,,,,,,,
1,06/07/1988,10,,3,,,44,,,,,,,
1,07/05/1988,7,,2.1,,,49,,,,,,,
1,10/04/1988,4.5,,1.4,,,55,,,,,,,
1,06/27/1989,8,,2.4,,,47,,,,,,,
1,07/31/1989,4,,1.2,,,57,,,,,,,
1,08/28/1989,4,,1.2,,,57,,,,,,,
1,10/10/1989,6,,1.8,,,51,,,,,,,
1,07/10/1990,7,,2.1,,,49,,,,,,,
1,08/06/1990,5.5,,1.7,,,53,,,,,,,
1,05/21/1991,9,,2.7,,,45,,,,,,,
1,06/25/1991,9,,2.7,,,45,,,,,,,
1,08/19/1991,4.5,,1.4,,,55,,,,,,,
1,06/22/1992,9,,2.7,,,45,,,,,,,
1,07/27/1992,5,,1.5,,,54,,,,,,,
1,08/31/1992,6,,1.8,,,51,,,,,,,
1,09/29/1992,5,,1.5,,,54,,,,,,,
61048700,06/12/1996,,,,,16,,50,,,,,,
61048700,08/05/1997,,,,,,,,,,,,,
61048700,04/29/1998,,,,,25,,53,,,,,,
61048700,07/13/1998,,,,,14,,49,,,,,,
18137361,07/24/2008,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,
18137361,09/10/2008,2.9,NO,0.9,,,62,,,NORMAL,,MURKY,BROWN,
18137361,05/28/2009,5.3,NO,1.6,,51,53,59,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
1,07/01/2009,,,,10.6,16,,50,53,,,,,
