Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Upper Turtle Lake,Barron,2079800,NO,3,,10030730,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
34939021,05/08/2010,7.75,NO,2.4,,31,48,55,,LOW,,MURKY,YELLOW,2-Very minor aesthetic problems
1,05/24/2010,6.5,NO,2,,,50,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
34939021,06/22/2010,5,NO,1.5,10.6,25,54,53,53,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,07/08/2010,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,07/20/2010,6,NO,1.8,14.1,38,51,56,55,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,08/03/2010,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,08/24/2010,3,NO,0.9,40.7,49,61,58,63,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,09/13/2010,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,10/14/2010,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,10/14/2010,,,,44,67,,61,63,,,,,
34939021,05/10/2011,6,NO,1.8,,42,51,57,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,06/14/2011,7.7,NO,2.3,4.16,37,48,56,46,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
34939021,07/12/2011,5.5,NO,1.7,16.3,38,53,56,56,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,08/16/2011,3,NO,0.9,38.3,72,61,61,62,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,10/12/2011,4,NO,1.2,25.2,64,57,60,59,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,04/30/2012,8,NO,2.4,,37,47,56,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,06/12/2012,6,NO,1.8,11.6,60,51,60,53,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,07/09/2012,3,NO,0.9,50.2,70,61,61,64,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,08/20/2012,3,NO,0.9,47.1,83,61,62,64,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,09/18/2012,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,10/03/2012,,,,26.9,56,,59,60,,,,,
34939021,05/14/2013,5,NO,1.5,,43.1,54,57,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
34939021,06/11/2013,,NO,,29.6,53.7,,59,60,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,07/16/2013,,NO,,17.3,42.9,,57,56,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,08/19/2013,4,NO,1.2,17.5,35.7,57,56,56,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,10/09/2013,4.5,NO,1.4,35.5,56.6,55,59,62,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
34939021,05/06/2014,,NO,,,49.9,,58,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
34939021,06/26/2014,6.5,NO,2,9.14,31.2,50,55,52,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
137687851,06/28/2016,,,,17.1,42.7,,57,56,,,,,
137687851,07/19/2016,,,,22.8,87.5,,63,58,,,,,
137687851,08/08/2016,,,,53.8,67.7,,61,65,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/08/2010,0,METERS,53.2,DEGREES F,10.91,MG/L
05/08/2010,1,METERS,53.6,DEGREES F,10.78,MG/L
05/08/2010,2,METERS,53.8,DEGREES F,10.69,MG/L
05/08/2010,3,METERS,53.8,DEGREES F,10.67,MG/L
05/08/2010,4,METERS,53.8,DEGREES F,10.53,MG/L
05/24/2010,0,FEET,72.2,DEGREES F,10.25,MG/L
05/24/2010,3,FEET,71.9,DEGREES F,10.36,MG/L
05/24/2010,6,FEET,71.7,DEGREES F,10.45,MG/L
05/24/2010,9,FEET,71,DEGREES F,10.66,MG/L
05/24/2010,12,FEET,68.2,DEGREES F,10.19,MG/L
06/22/2010,0,FEET,75,DEGREES F,11.93,MG/L
06/22/2010,3,FEET,72.2,DEGREES F,12.14,MG/L
06/22/2010,6,FEET,71.3,DEGREES F,11.59,MG/L
06/22/2010,9,FEET,69.2,DEGREES F,11.32,MG/L
06/22/2010,12,FEET,67.5,DEGREES F,5.51,MG/L
07/08/2010,0,FEET,78.9,DEGREES F,9.17,MG/L
07/08/2010,3,FEET,78.8,DEGREES F,9.22,MG/L
07/08/2010,6,FEET,78.7,DEGREES F,9.17,MG/L
07/08/2010,9,FEET,75.6,DEGREES F,4.94,MG/L
07/08/2010,12,FEET,74.4,DEGREES F,2.15,MG/L
07/20/2010,0,FEET,79.4,DEGREES F,10.23,MG/L
07/20/2010,3,FEET,78.9,DEGREES F,10.46,MG/L
07/20/2010,6,FEET,77.6,DEGREES F,10.49,MG/L
07/20/2010,9,FEET,76.9,DEGREES F,7.7,MG/L
07/20/2010,12,FEET,76.3,DEGREES F,4.83,MG/L
08/03/2010,0,FEET,79.9,DEGREES F,9.95,MG/L
08/03/2010,3,FEET,79.5,DEGREES F,10.08,MG/L
08/03/2010,6,FEET,78.5,DEGREES F,9.92,MG/L
08/03/2010,9,FEET,78,DEGREES F,9.16,MG/L
08/03/2010,12,FEET,77.2,DEGREES F,2.14,MG/L
08/24/2010,0,FEET,76.8,DEGREES F,9.49,MG/L
08/24/2010,3,FEET,77.1,DEGREES F,9.42,MG/L
08/24/2010,6,FEET,76.7,DEGREES F,8.43,MG/L
08/24/2010,9,FEET,74.3,DEGREES F,2.07,MG/L
08/24/2010,12,FEET,73.6,DEGREES F,.83,MG/L
09/13/2010,0,FEET,65.2,DEGREES F,9.22,MG/L
09/13/2010,3,FEET,65.3,DEGREES F,9.21,MG/L
09/13/2010,6,FEET,65.3,DEGREES F,9.17,MG/L
09/13/2010,9,FEET,65.3,DEGREES F,9.03,MG/L
09/13/2010,12,FEET,65.3,DEGREES F,8.8,MG/L
10/14/2010,0,FEET,58,DEGREES F,6.86,MG/L
10/14/2010,3,FEET,57.9,DEGREES F,6.81,MG/L
10/14/2010,6,FEET,57.9,DEGREES F,6.71,MG/L
10/14/2010,9,FEET,57.8,DEGREES F,6.55,MG/L
10/14/2010,12,FEET,57.7,DEGREES F,6.29,MG/L
05/10/2011,0,FEET,55.5,DEGREES F,10.68,MG/L
05/10/2011,3,FEET,55.1,DEGREES F,10.87,MG/L
05/10/2011,6,FEET,54.8,DEGREES F,10.92,MG/L
05/10/2011,9,FEET,54.6,DEGREES F,10.91,MG/L
05/10/2011,12,FEET,54.2,DEGREES F,10.81,MG/L
06/14/2011,0,FEET,69.7,DEGREES F,8.99,MG/L
06/14/2011,3,FEET,69.4,DEGREES F,9,MG/L
06/14/2011,6,FEET,69.2,DEGREES F,9.01,MG/L
06/14/2011,9,FEET,69.1,DEGREES F,8.98,MG/L
06/14/2011,12,FEET,69,DEGREES F,8.95,MG/L
07/12/2011,0,FEET,77.7,DEGREES F,9.88,MG/L
07/12/2011,3,FEET,78.3,DEGREES F,9.89,MG/L
07/12/2011,6,FEET,78.5,DEGREES F,9.89,MG/L
07/12/2011,9,FEET,78.5,DEGREES F,9.85,MG/L
07/12/2011,12,FEET,76.7,DEGREES F,5.07,MG/L
08/16/2011,0,FEET,77.1,DEGREES F,13.39,MG/L
08/16/2011,3,FEET,77.1,DEGREES F,13.42,MG/L
08/16/2011,6,FEET,77,DEGREES F,12.88,MG/L
08/16/2011,9,FEET,76.4,DEGREES F,9.33,MG/L
