Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wisconsin River,Columbia,1179900,SC,11,,10031185,SE,



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
33545679,04/22/2010,2.17,NO,0.7,33.9,62,66,60,61,,,,,
18657929,05/06/2010,3.3,NO,1,48.1,70,60,61,64,,,,,
33545679,05/06/2010,3.33,NO,1,,,60,,,,,,,
33545677,05/17/2010,2.66,NO,0.8,9.37,106,63,64,52,,,,,
33545679,05/17/2010,2.66,NO,0.8,,,63,,,,,,,
33545679,06/02/2010,3.75,NO,1.1,17.7,73,58,61,57,,,,,
33545679,06/15/2010,2.67,NO,0.8,30.5,103,63,64,61,,,,,
33545679,06/28/2010,2.58,NO,0.8,31.8,107,63,64,61,,,,,
18657929,07/14/2010,2.92,NO,0.9,26,83,62,62,59,,,,,
33545679,07/14/2010,2.92,NO,0.9,,,62,,,,,,,
33545679,07/26/2010,2.75,NO,0.8,30.3,130,59,66,61,,,,,
33545679,08/12/2010,2.67,NO,0.8,20.1,139,63,66,57,,,,,
33545679,08/26/2010,2.58,NO,0.8,23.7,114,63,65,59,,,,,
33545677,09/08/2010,,,,16.5,101,,64,56,,,,,
33545679,09/08/2010,2.75,NO,0.8,,,63,,,,,,,
33545677,09/27/2010,,,,12.4,118,,65,54,,,,,
33545677,04/25/2011,2.58,NO,0.8,7.63,71,63,61,50,,,,,1-Beautiful, could not be nicer
18657929,05/05/2011,3.5,NO,1.1,10.5,68,59,61,53,,,,,
33545677,05/05/2011,,,,,,,,,,,,,2-Very minor aesthetic problems
33545677,05/16/2011,2.75,NO,0.8,34.4,72,63,61,62,,,,,2-Very minor aesthetic problems
33545677,06/01/2011,2.25,NO,0.7,56.4,79,65,62,65,,,,,2-Very minor aesthetic problems
33545677,06/13/2011,2.42,NO,0.7,,,64,,,,,,,2-Very minor aesthetic problems
33545679,06/13/2011,2.42,NO,0.7,8.35,57,64,59,51,,,,,
33545677,06/29/2011,2.75,NO,0.8,20.1,95,63,63,57,,,,,2-Very minor aesthetic problems
33545677,07/14/2011,3.5,NO,1.1,34.9,70,59,61,62,,,,,3-Enjoyment somewhat impaired (algae)
33545677,07/28/2011,2.58,NO,0.8,60.2,98,63,64,66,,,,,3-Enjoyment somewhat impaired (algae)
33545677,08/11/2011,2.5,NO,0.8,48.4,85,64,63,64,,,,,2-Very minor aesthetic problems
33545677,08/24/2011,3.2,NO,1,44.8,75,60,62,64,,,,,3-Enjoyment somewhat impaired (algae)
33545677,09/08/2011,2.25,NO,0.7,33.4,72,65,61,61,,,,,3-Enjoyment somewhat impaired (algae)
18657929,09/22/2011,3.25,NO,1,26.8,56,60,59,60,,,,,
33545677,09/22/2011,3.25,NO,1,,,60,,,,,,,2-Very minor aesthetic problems
33545677,04/18/2012,1.3,NO,0.4,50.4,83,73,62,64,,,,,2-Very minor aesthetic problems
33545677,05/09/2012,2.25,NO,0.7,4.76,79,65,62,47,,,,,
33545677,05/15/2012,2.33,NO,0.7,18.9,75,63,62,57,,,,,
33545677,05/31/2012,2.2,NO,0.7,28.6,75,65,62,60,,,,,2-Very minor aesthetic problems
33545677,06/12/2012,2,,0.6,45.4,73,67,61,64,,,,,3-Enjoyment somewhat impaired (algae)
33545677,06/28/2012,2.17,NO,0.7,70.1,86,66,63,67,,,,,3-Enjoyment somewhat impaired (algae)
33545677,07/13/2012,,,,58.1,85,,63,66,,,,,3-Enjoyment somewhat impaired (algae)
33545677,07/25/2012,1.5,NO,0.5,63.8,103,71,64,66,,,,,3-Enjoyment somewhat impaired (algae)
33545677,08/09/2012,1.75,NO,0.5,64.1,85,69,63,66,,,,,2-Very minor aesthetic problems
33545677,08/23/2012,1.92,NO,0.6,90.1,89,68,63,69,,,,,3-Enjoyment somewhat impaired (algae)
33545677,09/05/2012,1.83,NO,0.6,37.1,75,68,62,62,,,,,3-Enjoyment somewhat impaired (algae)
33545677,09/20/2012,2,NO,0.6,33.8,75,67,62,61,,,,,3-Enjoyment somewhat impaired (algae)
33545677,04/30/2013,,,,20.8,74.6,,62,58,,,,,
33545677,05/15/2013,1.8,N,0.5,74.4,77.5,69,62,67,,,,,
33545677,05/28/2013,2,NO,0.6,33.2,89.2,67,63,61,,,,,2-Very minor aesthetic problems
33545677,06/12/2013,3,NO,0.9,4.6,93.9,61,63,46,,,,,2-Very minor aesthetic problems
33545677,06/26/2013,1.75,NO,0.5,9.3,128,69,66,52,,,,,2-Very minor aesthetic problems
33545677,07/09/2013,2.58,NO,0.8,26.2,122,63,65,59,,,,,2-Very minor aesthetic problems
33545677,07/23/2013,2.83,NO,0.9,28.3,91.9,62,63,60,,,,,3-Enjoyment somewhat impaired (algae)
33545677,08/08/2013,1.67,NO,0.5,79.9,111,70,65,68,,,,,3-Enjoyment somewhat impaired (algae)
33545677,08/21/2013,2,NO,0.6,28.3,85,67,63,60,,,,,3-Enjoyment somewhat impaired (algae)
33545677,09/04/2013,3.33,NO,1,24.6,63.8,60,60,59,,,,,2-Very minor aesthetic problems
33545677,09/19/2013,2.8,NO,0.9,54.4,66.3,62,61,65,,,,,3-Enjoyment somewhat impaired (algae)
99925434,04/18/2015,2.5,NO,0.8,,,64,,,HIGH,,CLEAR,RED,1-Beautiful, could not be nicer
99925434,06/27/2015,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,RED,2-Very minor aesthetic problems
99925434,08/31/2015,2.75,NO,0.8,,,63,,,LOW,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
99925434,09/09/2015,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99924705,11/03/2015,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
7505218,06/20/2017,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7505218,07/20/2017,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7505218,08/08/2017,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7505218,09/12/2017,2.3,NO,0.7,,,65,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/22/2010,0.5,METERS,14.16,DEGREES C,10.38,MG/L
04/22/2010,1,METERS,14.03,DEGREES C,10.3,MG/L
04/22/2010,2,METERS,13.8,DEGREES C,9.99,MG/L
04/22/2010,3,METERS,13.78,DEGREES C,9.85,MG/L
04/22/2010,4,METERS,13.78,DEGREES C,9.94,MG/L
05/06/2010,0.5,METERS,16.03,DEGREES C,8.7,MG/L
05/06/2010,1,METERS,16.03,DEGREES C,8.62,MG/L
05/06/2010,2,METERS,15.96,DEGREES C,8.78,MG/L
05/06/2010,3,METERS,16,DEGREES C,8.56,MG/L
05/06/2010,4,METERS,15.95,DEGREES C,8.89,MG/L
05/06/2010,,,15.95,C,8.70,MG/L
05/17/2010,0.5,METERS,14.24,DEGREES C,9.15,MG/L
05/17/2010,1,METERS,14.23,DEGREES C,9.15,MG/L
05/17/2010,2,METERS,14.12,DEGREES C,9.1,MG/L
05/17/2010,3,METERS,14.12,DEGREES C,9.13,MG/L
05/17/2010,4,METERS,14.13,DEGREES C,9.13,MG/L
05/17/2010,,,14.12,C,9.13,MG/L
06/02/2010,0.5,METERS,24.48,DEGREES C,6.69,MG/L
06/02/2010,1,METERS,24.39,DEGREES C,6.27,MG/L
06/02/2010,2,METERS,24.33,DEGREES C,5.95,MG/L
06/02/2010,3,METERS,24.28,DEGREES C,5.68,MG/L
06/02/2010,4,METERS,24.25,DEGREES C,5.73,MG/L
06/02/2010,,,24.28,C,5.68,MG/L
06/15/2010,2,FEET,20.04,DEGREES C,8.08,MG/L
06/15/2010,4,FEET,19.95,DEGREES C,7.94,MG/L
06/15/2010,6,FEET,19.94,DEGREES C,8.08,MG/L
06/15/2010,8,FEET,19.95,DEGREES C,7.96,MG/L
06/15/2010,10,FEET,19.95,DEGREES C,7.92,MG/L
06/15/2010,12,FEET,19.95,DEGREES C,7.86,MG/L
06/15/2010,14,FEET,19.94,DEGREES C,7.96,MG/L
06/15/2010,,,19.95,C,7.92,MG/L
06/28/2010,0.5,METERS,25.15,DEGREES C,7.83,MG/L
06/28/2010,1,METERS,24.73,DEGREES C,7.5,MG/L
06/28/2010,2,METERS,24.53,DEGREES C,7.34,MG/L
06/28/2010,3,METERS,24.46,DEGREES C,7.23,MG/L
06/28/2010,4,METERS,24.43,DEGREES C,7.17,MG/L
06/28/2010,,,24.43,C,7.17,MG/L
07/14/2010,0.5,METERS,26.21,DEGREES C,7.67,MG/L
07/14/2010,1,METERS,26.14,DEGREES C,7.57,MG/L
07/14/2010,2,METERS,26.06,DEGREES C,7.51,MG/L
07/14/2010,3,METERS,26.05,DEGREES C,7.46,MG/L
07/14/2010,4,METERS,26.07,DEGREES C,7.51,MG/L
07/14/2010,,,26.07,C,7.51,MG/L
07/26/2010,0.5,METERS,25.38,DEGREES C,6.2,MG/L
07/26/2010,1,METERS,25.49,DEGREES C,6.36,MG/L
07/26/2010,2,METERS,25.41,DEGREES C,6.2,MG/L
07/26/2010,3,METERS,25.38,DEGREES C,6.17,MG/L
07/26/2010,4,METERS,25.38,DEGREES C,6.16,MG/L
07/26/2010,,,25.98,C,5.03,MG/L
08/12/2010,0.5,METERS,26.9,DEGREES C,5.58,MG/L
08/12/2010,1,METERS,26.82,DEGREES C,5.45,MG/L
08/12/2010,2,METERS,26.7,DEGREES C,5.35,MG/L
08/12/2010,3,METERS,26.59,DEGREES C,5.32,MG/L
08/12/2010,4,METERS,26.58,DEGREES C,5.3,MG/L
08/12/2010,,,26.58,C,5.30,MG/L
08/26/2010,0.5,METERS,22.94,DEGREES C,7.92,MG/L
08/26/2010,1,METERS,22.42,DEGREES C,7.49,MG/L
08/26/2010,2,METERS,22.31,DEGREES C,7.27,MG/L
08/26/2010,3,METERS,22.27,DEGREES C,7.2,MG/L
08/26/2010,4,METERS,22.26,DEGREES C,7.25,MG/L
09/08/2010,0.5,METERS,18.45,DEGREES C,8.91,MG/L
09/08/2010,1,METERS,18.24,DEGREES C,8.9,MG/L
09/08/2010,2,METERS,18.1,DEGREES C,8.94,MG/L
09/08/2010,3,METERS,17.99,DEGREES C,8.8,MG/L
09/08/2010,4,METERS,17.96,DEGREES C,8.82,MG/L
09/08/2010,5,METERS,17.86,DEGREES C,8.67,MG/L
09/27/2010,0.5,METERS,16.13,DEGREES C,8.86,MG/L
04/25/2011,0.5,FEET,9.42,DEGREES C,12.13,MG/L
04/25/2011,2,FEET,9.11,DEGREES C,12.03,MG/L
04/25/2011,4,FEET,8.98,DEGREES C,11.64,MG/L
04/25/2011,6,FEET,8.88,DEGREES C,11.67,MG/L
04/25/2011,8,FEET,8.82,DEGREES C,11.66,MG/L
04/25/2011,10,FEET,8.77,DEGREES C,11.59,MG/L
04/25/2011,12,FEET,8.76,DEGREES C,11.68,MG/L
04/25/2011,14,FEET,8.76,DEGREES C,11.62,MG/L
04/25/2011,,,8.76,C,11.68,MG/L
05/05/2011,2,FEET,9.22,DEGREES C,11.73,MG/L
05/05/2011,4,FEET,9.1,DEGREES C,11.62,MG/L
05/05/2011,6,FEET,9.1,DEGREES C,11.73,MG/L
05/05/2011,8,FEET,9.07,DEGREES C,11.69,MG/L
05/05/2011,10,FEET,9.06,DEGREES C,11.75,MG/L
05/05/2011,12,FEET,9.03,DEGREES C,11.62,MG/L
05/05/2011,14,FEET,9.03,DEGREES C,11.66,MG/L
05/05/2011,16,FEET,9.04,DEGREES C,11.59,MG/L
05/05/2011,,,9.03,C,11.62,MG/L
05/16/2011,2,FEET,13.35,DEGREES C,10.57,MG/L
05/16/2011,4,FEET,13.32,DEGREES C,10.57,MG/L
05/16/2011,6,FEET,13.34,DEGREES C,10.53,MG/L
05/16/2011,8,FEET,13.32,DEGREES C,10.53,MG/L
05/16/2011,10,FEET,13.28,DEGREES C,10.48,MG/L
05/16/2011,12,FEET,13.29,DEGREES C,10.51,MG/L
05/16/2011,14,FEET,13.28,DEGREES C,10.47,MG/L
05/16/2011,,,13.29,C,10.51,MG/L
06/01/2011,2,FEET,19.42,DEGREES C,10.41,MG/L
06/01/2011,4,FEET,19.38,DEGREES C,10.32,MG/L
06/01/2011,6,FEET,19.33,DEGREES C,10.2,MG/L
06/01/2011,8,FEET,19.36,DEGREES C,10.25,MG/L
06/01/2011,10,FEET,19.35,DEGREES C,10.25,MG/L
06/01/2011,12,FEET,19.18,DEGREES C,10.05,MG/L
06/01/2011,14,FEET,19.18,DEGREES C,10.02,MG/L
06/01/2011,16,FEET,19.2,DEGREES C,10.01,MG/L
06/01/2011,,,19.18,C,10.05,MG/L
06/13/2011,2,FEET,20.15,DEGREES C,8.1,MG/L
