Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Delavan Lake,Walworth,793600,SE,65,,10031264,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
28460463,04/09/2010,10,YES,3,,,44,,,,,,,
28460463,04/14/2010,9,YES,2.7,,,45,,,,,,,
28460463,04/19/2010,13,YES,4,,,40,,,,,,,
28460463,04/28/2010,12,YES,3.6,,,41,,,,,,,
35019915,05/06/2010,13,YES,4,,,40,,,,,,,
35019895,05/21/2010,6,NO,1.8,,,51,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
35019895,05/24/2010,7.5,NO,2.3,,,48,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
35019895,06/03/2010,8,NO,2.4,,,47,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
35027411,06/15/2010,6,,1.8,,,51,,,HIGH,927.96,CLEAR,GREEN,
35019895,06/28/2010,8,,2.4,,,47,,,HIGH,927.96,CLEAR,GREEN,
35019895,07/14/2010,8,NO,2.4,,,47,,,LOW,927.88,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
35019895,07/26/2010,7,NO,2.1,,,49,,,HIGH,928.04,CLEAR,GREEN,4-Would not swim but boating OK (algae)
28460463,08/05/2010,8,NO,2.4,,,47,,,HIGH,927.95,MURKY,GREEN,2-Very minor aesthetic problems
28460463,08/19/2010,6,YES,1.8,,,51,,,LOW,927.88,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,08/23/2010,8,YES,2.4,,,47,,,NORMAL,927.91,CLEAR,GREEN,1-Beautiful, could not be nicer
28460463,08/30/2010,8,YES,2.4,,,47,,,LOW,927.87,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,09/10/2010,8,YES,2.4,,,47,,,LOW,927.80,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
28460463,09/20/2010,4,NO,1.2,,,57,,,LOW,927.88,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,09/29/2010,11,NO,3.3,,,43,,,LOW,927.90,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,10/07/2010,8,NO,2.4,,,47,,,LOW,927.84,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
28460463,10/14/2010,10,NO,3,,,44,,,LOW,927.84,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,10/25/2010,9,NO,2.7,,,45,,,HIGH,927.94,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
28460463,11/01/2010,8,NO,2.4,,,47,,,HIGH,927.95,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,11/08/2010,9,YES,2.7,,,45,,,HIGH,927.95,CLEAR,GREEN,2-Very minor aesthetic problems
28460463,11/16/2010,6,NO,1.8,,,51,,,HIGH,928.0,MURKY,GREEN,2-Very minor aesthetic problems
