Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Antigo Lake (Kellog Pond),Langlade,1441100,NO,34,,10031332,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
21928796,06/28/2010,6.2,NO,1.9,18.6,43,51,57,57,,,,,
16073539,07/27/2010,4.4,NO,1.3,22.5,90,56,63,58,,,,,
16073539,08/23/2010,3.2,NO,1,410,153,60,67,80,,,,,
145584054,07/27/2017,,,,4.01,33.2,,55,45,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/28/2010,,,22.0,C,8.5,MG/L
07/27/2010,,,22.0,C,3.1,MG/L
08/23/2010,,,21.5,C,17.8,MG/L
07/27/2017,0,METERS,20.55,DEGREES C,10.6,MG/L
07/27/2017,0.5,METERS,20.6,DEGREES C,11.2,MG/L
07/27/2017,1,METERS,19.4,DEGREES C,10,MG/L
07/27/2017,1.5,METERS,17.6,DEGREES C,8,MG/L
07/27/2017,2,METERS,17,DEGREES C,8.3,MG/L
07/27/2017,2.3,METERS,16.5,DEGREES C,8.1,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
06/28/2010,Brenton Butterfield - Onterra- LLC,ANTIGO LAKE DISTRICT: Antigo Lake Management Planning Project- Phase 1
07/27/2010,Tim Hoyman - Onterra- LLC,ANTIGO LAKE DISTRICT: Antigo Lake Management Planning Project- Phase 1
08/23/2010,Tim Hoyman - Onterra- LLC,ANTIGO LAKE DISTRICT: Antigo Lake Management Planning Project- Phase 1
07/27/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
