Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Peppermill Lake,Adams,178700,WC,1,,10031334,CE,DRAINED



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
18137361,06/06/2010,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
37177109,07/17/2010,,,,4.09,20,,51,45,,,,,
1,08/21/2010,,,,21.1,44,,57,58,,,,,
1,09/25/2010,,,,3.03,26,,53,43,,,,,
18137361,06/18/2011,8,NO,2.4,5.22,29,47,54,47,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
18137361,07/16/2011,7,NO,2.1,5.17,25,49,53,47,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
18137361,08/12/2011,8,NO,2.4,3.28,25,47,53,44,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
1,04/21/2012,,,,,32,,55,,,,,,
32140753,04/21/2012,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/02/2012,,,,12.2,71,,61,54,,,,,
25374942,06/05/2012,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/14/2012,,,,38.8,37,,56,62,,,,,
25374942,07/14/2012,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
1,08/11/2012,,,,7.08,21,,52,50,,,,,
25374942,08/11/2012,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,06/08/2013,7.5,NO,2.3,9.8,39.2,48,57,52,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,07/06/2013,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,07/20/2013,7.5,NO,2.3,4.44,39.8,48,57,46,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
25374942,08/17/2013,7,NO,2.1,,,49,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
32140753,08/17/2013,6.5,NO,2,261,39.1,50,57,77,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
25374942,06/24/2014,,,,8.97,48,,58,51,,,,,
25374942,06/28/2014,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
25374942,07/19/2014,,,,30.8,56.9,,59,61,,,,,
25374942,07/26/2014,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
25374942,08/23/2014,7.5,NO,2.3,17.1,72.5,48,61,56,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,06/20/2015,6.5,NO,2,139,191,50,69,72,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,07/18/2015,7.9,NO,2.4,3.14,31.1,47,55,43,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
18137361,08/15/2015,7.9,YES,2.4,,,47,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,08/15/2015,,,,13,111,,65,54,,,,,
18137361,05/11/2016,7.5,YES,2.3,,38.4,48,56,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
25374942,06/18/2016,7.1,NO,2.2,2.23,57.8,49,60,41,,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,07/16/2016,6.3,NO,1.9,9.04,54.8,51,59,51,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,08/18/2016,6.7,NO,2,170,67.8,50,61,74,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,06/15/2017,7.2,NO,2.2,13.4,57.5,49,60,54,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,07/15/2017,7.2,NO,2.2,,52.1,49,59,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25374942,08/21/2017,7.4,NO,2.2,4.3,35.8,48,56,46,NORMAL,,CLEAR,BLUE,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/06/2010,0,FEET,76.2,DEGREES F,,
06/06/2010,5,FEET,74.3,DEGREES F,,
06/06/2010,7,FEET,67.4,DEGREES F,,
04/21/2012,0,FEET,53.9,DEGREES F,,
04/21/2012,5,FEET,53.6,DEGREES F,,
08/15/2015,1.5,FEET,80,DEGREES F,,
05/11/2016,0,FEET,60.4,DEGREES F,,
05/11/2016,5,FEET,60,DEGREES F,,
05/11/2016,7,FEET,59.7,DEGREES F,,
06/15/2017,2,FEET,78,DEGREES F,,
07/15/2017,2,FEET,74,DEGREES F,,
08/21/2017,2,FEET,71,DEGREES F,,



Start Date,Fieldwork Comment
06/06/2010,boat full of new trainees + some old ones:  Bob Cropp + Dan Henning--beautiful day- lake looks good- lots of water lilies already in bloom and some algae mats present
08/12/2011,Bob Cropp did testing--sunny--some wind
04/21/2012,Bob Cropp + Reesa Evans also present--suny + calml
06/20/2015,air temp 76 F
05/11/2016,cold + overcast




Start Date,Group Name,Project Name
06/06/2010,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/17/2010,Robert Cropp- Sandy and Dan Henning,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/21/2010,Data Collectors,Peppermill Lake Monitoring
09/25/2010,Data Collectors,Peppermill Lake Monitoring
06/18/2011,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/16/2011,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/12/2011,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
04/21/2012,Dan and Sandy Henning,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
04/21/2012,Data Collectors,
06/02/2012,Data Collectors,
06/05/2012,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/14/2012,Data Collectors,
07/14/2012,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/11/2012,Data Collectors,
08/11/2012,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/08/2013,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/06/2013,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/20/2013,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/17/2013,Dan and Sandy Henning,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/17/2013,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/24/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/28/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - East/Central (Site #128)
06/28/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/28/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake; Deepest Point
07/19/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/26/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/23/2014,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/20/2015,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/18/2015,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/15/2015,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/15/2015,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
05/11/2016,Reesa Evans,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/18/2016,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/16/2016,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/18/2016,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
06/15/2017,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
07/15/2017,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
08/21/2017,Robert Cropp,Citizen Lake Monitoring - Water Quality - Peppermill Lake - South End of Lake (Site # 60)
