Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Eau Claire Lake,Eau Claire,2133200,WC,18,,10033495,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
28066563,05/02/2011,2.5,NO,0.8,,76,64,62,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
28066563,06/17/2011,3.5,NO,1.1,7.26,104,59,64,50,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
28066563,07/27/2011,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
28066563,07/29/2011,,,,13.4,152,,67,54,,,,,
28066563,08/29/2011,1.75,NO,0.5,68.7,87,69,63,67,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
28066563,07/26/2012,,,,79,42,,57,68,,,,,
120160926,04/28/2015,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
121396012,04/28/2015,,,,,52.2,,59,,,,,,
120160926,05/06/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,05/19/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,05/27/2015,2.75,NO,0.8,,,63,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
120160926,06/09/2015,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,06/18/2015,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
121885052,06/28/2015,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
121885054,07/07/2015,,,,12.7,108,,64,54,,,,,
121885065,07/07/2015,3.5,NO,1.1,,,59,,,NORMAL,3,CLEAR,BROWN,2-Very minor aesthetic problems
121885052,07/14/2015,3.25,NO,1,,,60,,,NORMAL,3,MURKY,BROWN,2-Very minor aesthetic problems
121885052,07/22/2015,, ,,,,,,,,,,,
121885065,07/27/2015,2.75,NO,0.8,84.2,103,63,64,68,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
121885054,07/30/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
121885052,08/15/2015,1.5,NO,0.5,,,71,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
120160926,08/23/2015,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,08/31/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
120160926,09/14/2015,1.5,NO,0.5,2.35,130,71,66,41,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,10/11/2015,3.25,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
130962270,05/02/2016,2.75,NO,0.8,,54.1,63,59,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
120160926,05/05/2016,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
120160926,05/18/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
120160926,05/21/2016,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
130962270,06/22/2016,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
130962280,06/22/2016,,,,4.25,93.8,,63,46,,,,,
120160926,07/08/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
120160926,07/25/2016,,,,51.1,86.9,,63,65,,,,,
121885052,08/01/2016,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
121885052,08/13/2016,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
121885052,08/16/2016,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
121885052,08/25/2016,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
130962280,09/02/2016,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
120160926,09/12/2016,,,,6.92,115,,65,49,,,,,
130962280,09/12/2016,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
1,10/25/2016,,,,12.3,85.1,,63,54,,,,,
145288960,06/08/2017,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
145288960,06/16/2017,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
145288960,07/18/2017,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
145288960,08/01/2017,2.75,NO,0.8,30.9,92,63,63,61,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
145288960,08/13/2017,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
145288960,08/30/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
145288960,09/13/2017,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
145288960,09/22/2017,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/02/2011,0,FEET,44.4,DEGREES F,,
05/02/2011,3,FEET,44.7,DEGREES F,,
05/02/2011,6,FEET,44.7,DEGREES F,,
05/02/2011,9,FEET,44.7,DEGREES F,,
05/02/2011,12,FEET,44.7,DEGREES F,,
06/17/2011,0,FEET,70.8,DEGREES F,,
06/17/2011,3,FEET,70.3,DEGREES F,,
06/17/2011,6,FEET,70.1,DEGREES F,,
06/17/2011,9,FEET,69.8,DEGREES F,,
06/17/2011,12,FEET,66.2,DEGREES F,,
07/27/2011,0,FEET,78.6,DEGREES F,,
07/27/2011,3,FEET,74.8,DEGREES F,,
07/27/2011,6,FEET,73.7,DEGREES F,,
07/27/2011,9,FEET,72.8,DEGREES F,,
07/27/2011,12,FEET,72.3,DEGREES F,,
08/29/2011,0,FEET,77,DEGREES F,,
08/29/2011,3,FEET,74.8,DEGREES F,,
08/29/2011,6,FEET,74.3,DEGREES F,,
08/29/2011,9,FEET,73.4,DEGREES F,,
08/29/2011,12,FEET,72.1,DEGREES F,,
04/28/2015,1,FEET,54.8,DEGREES F,,
04/28/2015,2,FEET,54.3,DEGREES F,,
04/28/2015,3,FEET,53.9,DEGREES F,,
04/28/2015,4,FEET,53.6,DEGREES F,,
04/28/2015,5,FEET,53.6,DEGREES F,,
04/28/2015,6,FEET,53.4,DEGREES F,,
04/28/2015,7,FEET,53.4,DEGREES F,,
04/28/2015,8,FEET,53.2,DEGREES F,,
04/28/2015,9,FEET,52.9,DEGREES F,,
04/28/2015,10,FEET,51,DEGREES F,,
04/28/2015,11,FEET,50,DEGREES F,,
04/28/2015,12,FEET,49.4,DEGREES F,,
04/28/2015,13,FEET,44.1,DEGREES F,,
04/28/2015,14,FEET,48.7,DEGREES F,,
04/28/2015,15,FEET,48.5,DEGREES F,,
04/28/2015,16,FEET,48.3,DEGREES F,,
04/28/2015,17,FEET,48.2,DEGREES F,,
05/06/2015,1,FEET,65.1,DEGREES F,,
05/06/2015,2,FEET,65.1,DEGREES F,,
05/06/2015,3,FEET,65.1,DEGREES F,,
05/06/2015,4,FEET,65.1,DEGREES F,,
05/06/2015,5,FEET,65.1,DEGREES F,,
05/06/2015,6,FEET,65.1,DEGREES F,,
05/06/2015,7,FEET,65.1,DEGREES F,,
05/06/2015,8,FEET,65.1,DEGREES F,,
05/06/2015,9,FEET,64.9,DEGREES F,,
05/06/2015,10,FEET,64.4,DEGREES F,,
05/06/2015,11,FEET,63.3,DEGREES F,,
05/06/2015,12,FEET,62.9,DEGREES F,,
05/06/2015,13,FEET,62.4,DEGREES F,,
05/06/2015,14,FEET,62,DEGREES F,,
05/06/2015,15,FEET,62.4,DEGREES F,,
05/06/2015,16,FEET,62.2,DEGREES F,,
05/19/2015,1,FEET,60.8,DEGREES F,,
05/19/2015,2,FEET,59.9,DEGREES F,,
05/19/2015,3,FEET,59.9,DEGREES F,,
05/19/2015,4,FEET,59.7,DEGREES F,,
05/19/2015,5,FEET,59.7,DEGREES F,,
05/19/2015,6,FEET,59.5,DEGREES F,,
05/19/2015,7,FEET,59.3,DEGREES F,,
05/19/2015,8,FEET,59.3,DEGREES F,,
05/19/2015,9,FEET,59.3,DEGREES F,,
05/19/2015,10,FEET,59.1,DEGREES F,,
05/19/2015,12,FEET,59.1,DEGREES F,,
05/19/2015,13,FEET,59,DEGREES F,,
05/19/2015,14,FEET,59,DEGREES F,,
05/19/2015,15,FEET,58.8,DEGREES F,,
05/19/2015,16,FEET,58.8,DEGREES F,,
05/27/2015,1,FEET,65.6,DEGREES F,,
05/27/2015,2,FEET,65.6,DEGREES F,,
05/27/2015,3,FEET,65.6,DEGREES F,,
05/27/2015,4,FEET,65.6,DEGREES F,,
05/27/2015,5,FEET,65.4,DEGREES F,,
05/27/2015,6,FEET,65.4,DEGREES F,,
05/27/2015,7,FEET,64.5,DEGREES F,,
05/27/2015,8,FEET,62.7,DEGREES F,,
05/27/2015,9,FEET,62.4,DEGREES F,,
05/27/2015,10,FEET,61.8,DEGREES F,,
05/27/2015,11,FEET,61.7,DEGREES F,,
05/27/2015,12,FEET,61.7,DEGREES F,,
05/27/2015,13,FEET,61.5,DEGREES F,,
06/09/2015,1,FEET,73.2,DEGREES F,,
06/09/2015,2,FEET,73.2,DEGREES F,,
06/09/2015,3,FEET,73.2,DEGREES F,,
06/09/2015,4,FEET,72.3,DEGREES F,,
06/09/2015,5,FEET,71.6,DEGREES F,,
06/09/2015,6,FEET,71,DEGREES F,,
06/09/2015,7,FEET,70.8,DEGREES F,,
06/09/2015,8,FEET,70.5,DEGREES F,,
06/09/2015,9,FEET,69.8,DEGREES F,,
06/09/2015,10,FEET,69.6,DEGREES F,,
06/09/2015,11,FEET,69.6,DEGREES F,,
06/09/2015,12,FEET,69.6,DEGREES F,,
06/09/2015,13,FEET,69.4,DEGREES F,,
06/09/2015,14,FEET,69,DEGREES F,,
06/09/2015,15,FEET,69,DEGREES F,,
06/18/2015,1,FEET,71.2,DEGREES F,,
06/18/2015,2,FEET,71.2,DEGREES F,,
06/18/2015,3,FEET,71,DEGREES F,,
06/18/2015,4,FEET,71,DEGREES F,,
06/18/2015,5,FEET,71,DEGREES F,,
06/18/2015,6,FEET,71,DEGREES F,,
06/18/2015,7,FEET,70.8,DEGREES F,,
06/18/2015,8,FEET,70.7,DEGREES F,,
06/18/2015,9,FEET,70.1,DEGREES F,,
06/18/2015,10,FEET,68.7,DEGREES F,,
06/18/2015,11,FEET,68.5,DEGREES F,,
06/18/2015,12,FEET,68.3,DEGREES F,,
06/18/2015,13,FEET,67.8,DEGREES F,,
06/18/2015,14,FEET,67.1,DEGREES F,,
06/18/2015,15,FEET,66.9,DEGREES F,,
06/18/2015,16,FEET,66.9,DEGREES F,,
06/28/2015,1,FEET,71.9,DEGREES F,,
06/28/2015,2,FEET,73.2,DEGREES F,,
06/28/2015,3,FEET,73.4,DEGREES F,,
06/28/2015,4,FEET,73.4,DEGREES F,,
