Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Horseshoe Lake,Barron,2630100,NO,3,,10033959,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
84656778,07/05/2013,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
102413951,06/23/2014,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
102414016,07/29/2014,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
102413179,08/30/2014,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
102413951,06/28/2015,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
17815278,07/31/2015,6,NO,1.8,,,51,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
17815278,08/31/2015,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
17815278,09/30/2015,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
17815278,04/23/2016,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
17815278,06/30/2016,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
17815278,07/31/2016,11,NO,3.3,,,43,,,HIGH,,,GREEN,2-Very minor aesthetic problems
17815278,08/25/2016,8,NO,2.4,,,47,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
17815278,04/17/2017,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17815278,05/07/2017,15,NO,4.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
17815278,06/30/2017,15,NO,4.6,,25.5,38,53,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
17815278,07/31/2017,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
17815278,08/15/2017,1.5,NO,0.5,,,71,,,HIGH,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/05/2013,0,FEET,77.7,DEGREES F,8.87,MG/L
07/05/2013,3,FEET,77.4,DEGREES F,8.92,MG/L
07/05/2013,6,FEET,77.3,DEGREES F,8.95,MG/L
07/05/2013,9,FEET,76.6,DEGREES F,8.95,MG/L
07/05/2013,12,FEET,76.3,DEGREES F,8.95,MG/L
07/05/2013,15,FEET,76.1,DEGREES F,8.95,MG/L
07/05/2013,18,FEET,57.1,DEGREES F,7.32,MG/L
07/05/2013,21,FEET,52.3,DEGREES F,3.8,MG/L
07/05/2013,24,FEET,49.8,DEGREES F,.14,MG/L
07/29/2014,0,FEET,75.9,DEGREES F,,
07/29/2014,3,FEET,75.6,DEGREES F,8.65,MG/L
07/29/2014,6,FEET,75,DEGREES F,8.65,MG/L
07/29/2014,9,FEET,74.9,DEGREES F,8.57,MG/L
07/29/2014,12,FEET,74.7,DEGREES F,8.52,MG/L
07/29/2014,15,FEET,71.8,DEGREES F,4.39,MG/L
07/29/2014,18,FEET,62.5,DEGREES F,.81,MG/L
07/29/2014,21,FEET,55.8,DEGREES F,.42,MG/L
07/29/2014,24,FEET,54.8,DEGREES F,.02,MG/L
07/29/2014,27,FEET,54.5,DEGREES F,0,MG/L
08/30/2014,0,FEET,65.8,DEGREES F,8.97,MG/L
08/30/2014,3,FEET,71.8,DEGREES F,8.46,MG/L
08/30/2014,6,FEET,72.2,DEGREES F,8.38,MG/L
08/30/2014,9,FEET,72.4,DEGREES F,8.33,MG/L
08/30/2014,12,FEET,72.6,DEGREES F,8.3,MG/L
08/30/2014,15,FEET,71.6,DEGREES F,3.16,MG/L
08/30/2014,18,FEET,66.5,DEGREES F,.14,MG/L
08/30/2014,21,FEET,63,DEGREES F,.04,MG/L
08/30/2014,24,FEET,62.2,DEGREES F,.02,MG/L
08/30/2014,27,FEET,61.7,DEGREES F,.01,MG/L
06/28/2015,0,FEET,71.1,DEGREES F,8.93,MG/L
06/28/2015,3,FEET,77,DEGREES F,9.1,MG/L
06/28/2015,6,FEET,75.9,DEGREES F,9.05,MG/L
06/28/2015,9,FEET,75.5,DEGREES F,9.04,MG/L
06/28/2015,12,FEET,75.1,DEGREES F,8.72,MG/L
06/28/2015,15,FEET,68.4,DEGREES F,6.89,MG/L
06/28/2015,18,FEET,65.1,DEGREES F,1.98,MG/L
06/28/2015,21,FEET,64.8,DEGREES F,.11,MG/L
06/28/2015,24,FEET,64.7,DEGREES F,.09,MG/L
07/31/2015,0,FEET,71.1,DEGREES F,8.34,MG/L
