Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Vollmers Lake,Washburn,2044100,NO,66,,10037637,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
62595126,07/31/2012,8.9,NO,2.7,8.11,19,46,51,51,,,,,
143167470,07/13/2017,,,,7.3,28.9,,54,50,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/31/2012,0,METERS,26.6,DEGREES C,7.2,MG/L
07/31/2012,1,METERS,26,DEGREES C,7,MG/L
07/31/2012,2,METERS,24.8,DEGREES C,3.4,MG/L
07/31/2012,3,METERS,20.2,DEGREES C,.9,MG/L
07/31/2012,4,METERS,13.6,DEGREES C,.4,MG/L
07/31/2012,5,METERS,10.4,DEGREES C,.3,MG/L
07/31/2012,6,METERS,7.8,DEGREES C,.3,MG/L
07/31/2012,7,METERS,6.5,DEGREES C,.3,MG/L
07/31/2012,8,METERS,5.9,DEGREES C,.3,MG/L
07/31/2012,8.8,METERS,5.7,DEGREES C,.3,MG/L
07/13/2017,0,METERS,23,DEGREES F,7.1,MG/L
07/13/2017,1,METERS,23.3,DEGREES F,7.1,MG/L
07/13/2017,2,METERS,21.9,DEGREES F,5.1,MG/L
07/13/2017,3,METERS,17,DEGREES F,.2,MG/L
07/13/2017,4,METERS,14.1,DEGREES F,.04,MG/L
07/13/2017,5,METERS,11,DEGREES F,.04,MG/L
07/13/2017,6,METERS,8.1,DEGREES F,.03,MG/L
07/13/2017,7,METERS,6.5,DEGREES F,.03,MG/L
07/13/2017,8,METERS,5.7,DEGREES F,.04,MG/L
07/13/2017,8.5,METERS,5.6,DEGREES F,.03,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
07/31/2012,CAITLIN CARLSON,EPA National Lakes Survey 2012
07/13/2017,ZANA SIJAN,EPA National Lakes Assessment 2017
