Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lac Courte Oreilles,Sawyer,2390800,NO,58,,10037854,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
68012556,01/07/2010,,,,,,,,,,,,,
68012556,01/20/2010,,,,,,,,,,,,,
68012556,02/05/2010,,,,,,,,,,,,,
68012556,02/22/2010,,,,,,,,,,,,,
68012556,03/01/2010,,,,,,,,,,,,,
68012556,03/08/2010,,,,,,,,,,,,,
68012556,03/16/2010,,,,,,,,,,,,,
68012556,01/11/2011,,,,,,,,,,,,,
68012556,01/20/2011,,,,,,,,,,,,,
68012556,02/01/2011,,,,,,,,,,,,,
68012556,02/09/2011,,,,,,,,,,,,,
68012556,02/17/2011,,,,,,,,,,,,,
68012556,03/01/2011,,,,,,,,,,,,,
68012556,03/09/2011,,,,,,,,,,,,,
68012556,03/17/2011,,,,,,,,,,,,,
68012556,03/31/2011,,,,,,,,,,,,,
68012556,02/02/2012,,,,,,,,,,,,,
68012556,02/17/2012,,,,,,,,,,,,,
68012556,02/23/2012,,,,,,,,,,,,,
68012556,02/28/2012,,,,,,,,,,,,,
68012556,03/08/2012,,,,,,,,,,,,,
44583787,08/06/2012,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,08/19/2012,8.3,NO,2.5,,,47,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,09/21/2012,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
44583787,09/27/2012,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
68012556,01/14/2013,,,,,,,,,,,,,
68012556,02/15/2013,,,,,,,,,,,,,
68012556,02/26/2013,,,,,,,,,,,,,
68012556,03/07/2013,,,,,,,,,,,,,
44583787,05/18/2013,6,NO,1.8,,,51,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
44583787,06/01/2013,6.5,NO,2,,,50,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
44583787,06/11/2013,9,NO,2.7,,,45,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,06/22/2013,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,06/30/2013,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,07/15/2013,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,08/04/2013,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
44583787,08/18/2013,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
