Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Jungle Lake,Forest,377900,NO,21,,10038725,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
67652816,06/30/2013,13,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/06/2013,13,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/22/2013,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
67652816,07/29/2013,9,NO,2.7,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/04/2013,9,NO,2.7,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/08/2013,9,NO,2.7,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,09/11/2013,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
67652816,09/26/2013,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,05/26/2014,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
67652816,05/31/2014,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/14/2014,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/09/2014,7,NO,2.1,,,49,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,08/25/2014,6.5,NO,2,,,50,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,09/08/2014,7.5,NO,2.3,,,48,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,09/22/2014,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,09/28/2014,10,NO,3,,,44,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,10/13/2014,11,NO,3.3,,,43,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,10/26/2014,12,NO,3.6,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
67652816,05/22/2015,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
67652816,06/05/2015,12,NO,3.6,,,41,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/03/2015,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
67652816,07/15/2015,9,NO,2.7,,,45,,,HIGH,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
67652816,08/05/2015,7,NO,2.1,,,49,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,08/14/2015,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,08/29/2015,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,09/17/2015,9.5,NO,2.9,,,45,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
67652816,09/26/2015,10,NO,3,,,44,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,10/25/2015,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
67652816,05/08/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67652816,05/21/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67652816,05/30/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67652816,06/08/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
67652816,06/22/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
67652816,07/10/2016,10,NO,3,,,44,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/19/2016,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/01/2016,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/28/2016,10,NO,3,,,44,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,09/14/2016,10,NO,3,,,44,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,10/15/2016,,NO,,,,,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
67652816,05/27/2017,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
67652816,06/02/2017,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
67652816,07/09/2017,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,07/22/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/06/2017,9,NO,2.7,,,45,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/21/2017,9,NO,2.7,,,45,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,08/29/2017,9,NO,2.7,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
67652816,09/16/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
67652816,10/05/2017,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
06/30/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/06/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/22/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/29/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/04/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/08/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/11/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/26/2013,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/26/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/31/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/14/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/09/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/25/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/08/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/22/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/28/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
10/13/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
10/26/2014,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/22/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
06/05/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/03/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/15/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/05/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/14/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/29/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/17/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/26/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
10/25/2015,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/08/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/21/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/30/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
06/08/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
06/22/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/10/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/19/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/01/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/28/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/14/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
10/15/2016,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
05/27/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
06/02/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/09/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
07/22/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/06/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/21/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
08/29/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
09/16/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
10/05/2017,Thomas Steffel,Citizen Lake Monitoring - Water Quality - Jungle Lake - Deep Hole
