Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Finnegan Lake,Oconto,420600,NE,43,,10039552,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
18137035,05/30/2013,9,NO,2.7,,19.8,45,51,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
18137035,07/23/2013,8,N,2.4,3.6,25.8,47,53,44,,,,,
18137035,08/20/2013,10,N,3,2.11,19.3,44,51,40,,,,,
18137035,09/05/2013,,,,2.53,20.4,,52,42,,,,,
74351568,04/30/2014,5,NO,1.5,,42.9,54,57,,,,,,
7000093,07/25/2014,9,,2.7,,,45,,,,,CLEAR,,
74351568,07/25/2014,9,,2.7,4.29,17.2,45,50,46,,,,,
18137035,08/21/2014,,,,,,,,,,,,,
74351568,08/22/2014,,,,3.46,18.7,,51,44,,,,,
74351568,09/10/2014,9.2,N,2.8,3.16,16.1,45,50,43,,,,,
125862804,07/19/2016,15,N,4.6,2.38,23.3,38,53,41,,,CLEAR,,2-Very minor aesthetic problems
125862804,08/24/2016,13,N,4,4.43,19.4,40,51,46,,,CLEAR,GREEN,1-Beautiful, could not be nicer
125862804,09/15/2016,15.5,N,4.7,2.47,18.1,38,51,42,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/30/2013,3,FEET,20.19,DEGREES C,7.57,MG/L
05/30/2013,6,FEET,18.04,DEGREES C,7.84,MG/L
05/30/2013,9,FEET,15.22,DEGREES C,8.56,MG/L
05/30/2013,12,FEET,10.53,DEGREES C,7.29,MG/L
05/30/2013,15,FEET,6394,DEGREES C,4392,MG/L
05/30/2013,18,FEET,6.79,DEGREES C,2.92,MG/L
07/23/2013,,,25.5,C,,
08/20/2013,,,24.8,C,,
04/30/2014,,,5.5,C,,
07/25/2014,1,METERS,24.1,DEGREES C,6.5,MG/L
07/25/2014,2,METERS,24.1,DEGREES C,6.5,MG/L
07/25/2014,3,METERS,22.5,DEGREES C,6.1,MG/L
07/25/2014,4,METERS,17.5,DEGREES C,8.2,MG/L
07/25/2014,5,METERS,11.6,DEGREES C,.9,MG/L
07/25/2014,,,24.1,C,6.5,MG/L
08/21/2014,0,FEET,22.3,DEGREES C,4.9,MG/L
08/21/2014,3,FEET,22.21,DEGREES C,4.7,MG/L
08/21/2014,6,FEET,21.93,DEGREES C,3.32,MG/L
08/21/2014,9,FEET,21.81,DEGREES C,3.21,MG/L
08/21/2014,12,FEET,2080,DEGREES C,3.25,MG/L
08/21/2014,15,FEET,15.87,DEGREES C,.29,MG/L
08/21/2014,18,FEET,10.69,DEGREES C,0,MG/L
08/21/2014,21,FEET,8.84,DEGREES C,0,MG/L
08/21/2014,24,FEET,7.25,DEGREES C,0,MG/L
08/21/2014,27,FEET,7.24,DEGREES C,0,MG/L
08/21/2014,30,FEET,7.2,DEGREES C,0,MG/L
