Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Little Butternut Lake,Polk,2640700,NO,49,,10040970,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145446225,07/18/2014,3,NO,0.9,,,61,,,NORMAL,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
145446225,05/21/2015,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
145446225,06/21/2015,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
82607229,07/17/2015,2.5,NO,0.8,66.4,67.5,64,61,67,,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
82607229,08/12/2015,2,NO,0.6,67.9,75.3,67,62,67,,,MURKY,GREEN,4-Would not swim but boating OK (algae)
145446225,08/15/2015,2,NO,0.6,,,67,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
82607229,09/02/2015,3,NO,0.9,49.8,74.4,61,62,64,,,MURKY,GREEN,4-Would not swim but boating OK (algae)
145446225,05/06/2016,9,NO,2.7,,,45,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
145446225,06/09/2016,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
145446225,09/03/2016,2.5,NO,0.8,,,64,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
145446225,05/26/2017,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/17/2015,0,FEET,75.8,DEGREES F,9.77,MG/L
07/17/2015,1,FEET,75.7,DEGREES F,9.76,MG/L
07/17/2015,2,FEET,75.3,DEGREES F,9.69,MG/L
07/17/2015,3,FEET,75,DEGREES F,9.23,MG/L
07/17/2015,4,FEET,74.9,DEGREES F,8.94,MG/L
07/17/2015,5,FEET,74.7,DEGREES F,9.6,MG/L
07/17/2015,6,FEET,74.6,DEGREES F,8.4,MG/L
07/17/2015,7,FEET,74.4,DEGREES F,8.21,MG/L
07/17/2015,8,FEET,74.2,DEGREES F,7.5,MG/L
07/17/2015,9,FEET,74.1,DEGREES F,7.5,MG/L
07/17/2015,10,FEET,73.9,DEGREES F,7.25,MG/L
07/17/2015,11,FEET,73.7,DEGREES F,6.75,MG/L
07/17/2015,12,FEET,72.5,DEGREES F,3.59,MG/L
07/17/2015,13,FEET,70.2,DEGREES F,.14,MG/L
07/17/2015,14,FEET,69.5,DEGREES F,.14,MG/L
07/17/2015,15,FEET,69,DEGREES F,.14,MG/L
07/17/2015,16,FEET,68.8,DEGREES F,.13,MG/L
07/17/2015,17,FEET,68.8,DEGREES F,.14,MG/L
07/17/2015,18,FEET,68.7,DEGREES F,.16,MG/L
07/17/2015,19,FEET,69.2,DEGREES F,.19,MG/L
08/12/2015,0,FEET,76.7,DEGREES F,11.43,MG/L
08/12/2015,1,FEET,76.7,DEGREES F,11.46,MG/L
08/12/2015,2,FEET,76.6,DEGREES F,11.47,MG/L
08/12/2015,3,FEET,76.5,DEGREES F,11.45,MG/L
08/12/2015,4,FEET,76.5,DEGREES F,11.44,MG/L
08/12/2015,5,FEET,76.4,DEGREES F,11.41,MG/L
08/12/2015,6,FEET,76.3,DEGREES F,11.4,MG/L
08/12/2015,7,FEET,76.2,DEGREES F,11.36,MG/L
08/12/2015,8,FEET,76.2,DEGREES F,11.29,MG/L
08/12/2015,9,FEET,75.8,DEGREES F,10.6,MG/L
