Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Trout Lake,Oconto,493100,NE,43,,10041763,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
96878974,06/26/2014,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/10/2014,19,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/24/2014,19,NO,5.8,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,08/07/2014,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,08/21/2014,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,09/11/2014,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,09/18/2014,18.25,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,10/02/2014,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,10/24/2014,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,01/24/2015,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,05/05/2015,20,YES,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,05/21/2015,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,06/10/2015,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,06/24/2015,17.75,NO,5.4,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,07/10/2015,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,08/06/2015,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,08/19/2015,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,09/03/2015,21.25,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,09/17/2015,20,NO,6.1,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,10/02/2015,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,10/04/2015,20.5,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
96878974,04/21/2016,16.75,NO,5.1,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,05/19/2016,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,06/02/2016,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,06/16/2016,16.5,NO,5,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/07/2016,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/20/2016,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,08/05/2016,18,NO,5.5,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,05/02/2017,19.75,NO,6,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,06/14/2017,18.25,NO,5.5,,,35,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,06/29/2017,21.5,NO,6.5,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/13/2017,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,07/27/2017,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,08/08/2017,23.25,NO,7.1,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,08/23/2017,24,YES,7.3,,,31,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,09/06/2017,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,09/21/2017,23,NO,7,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,10/05/2017,23,NO,7,,,32,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
96878974,10/19/2017,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/26/2014,3,FEET,71.2,DEGREES F,,
06/26/2014,6,FEET,68.1,DEGREES F,,
06/26/2014,9,FEET,64.2,DEGREES F,,
06/26/2014,12,FEET,60.2,DEGREES F,,
06/26/2014,15,FEET,55.7,DEGREES F,,
06/26/2014,18,FEET,51.8,DEGREES F,,
06/26/2014,21,FEET,49.2,DEGREES F,,
06/26/2014,24,FEET,48,DEGREES F,,
07/10/2014,3,FEET,68.1,DEGREES F,,
07/10/2014,6,FEET,67.4,DEGREES F,,
07/10/2014,9,FEET,66.2,DEGREES F,,
07/10/2014,12,FEET,62.2,DEGREES F,,
07/10/2014,15,FEET,57.2,DEGREES F,,
07/10/2014,18,FEET,51.8,DEGREES F,,
07/10/2014,21,FEET,44.4,DEGREES F,,
07/10/2014,24,FEET,46.7,DEGREES F,,
07/10/2014,27,FEET,46.5,DEGREES F,,
07/24/2014,3,FEET,72.6,DEGREES F,,
07/24/2014,6,FEET,70.5,DEGREES F,,
07/24/2014,9,FEET,67.2,DEGREES F,,
07/24/2014,12,FEET,63.8,DEGREES F,,
07/24/2014,15,FEET,57.5,DEGREES F,,
07/24/2014,18,FEET,52.5,DEGREES F,,
07/24/2014,21,FEET,50,DEGREES F,,
07/24/2014,24,FEET,48.7,DEGREES F,,
07/24/2014,27,FEET,48.2,DEGREES F,,
08/07/2014,3,FEET,72.5,DEGREES F,,
08/07/2014,6,FEET,71.7,DEGREES F,,
08/07/2014,9,FEET,69.2,DEGREES F,,
08/07/2014,12,FEET,65.6,DEGREES F,,
08/07/2014,15,FEET,59.3,DEGREES F,,
08/07/2014,18,FEET,53.9,DEGREES F,,
08/07/2014,21,FEET,50.1,DEGREES F,,
08/07/2014,24,FEET,47.8,DEGREES F,,
08/07/2014,27,FEET,47.6,DEGREES F,,
08/21/2014,3,FEET,68.7,DEGREES F,,
08/21/2014,6,FEET,67.8,DEGREES F,,
08/21/2014,9,FEET,66.9,DEGREES F,,
08/21/2014,12,FEET,65.1,DEGREES F,,
08/21/2014,15,FEET,60,DEGREES F,,
08/21/2014,18,FEET,54.3,DEGREES F,,
08/21/2014,21,FEET,50.3,DEGREES F,,
08/21/2014,24,FEET,49.8,DEGREES F,,
08/21/2014,27,FEET,49.6,DEGREES F,,
09/11/2014,3,FEET,60.2,DEGREES F,,
09/11/2014,6,FEET,60.2,DEGREES F,,
09/11/2014,9,FEET,59.9,DEGREES F,,
09/11/2014,12,FEET,58.8,DEGREES F,,
09/11/2014,15,FEET,54.6,DEGREES F,,
09/11/2014,18,FEET,50.3,DEGREES F,,
09/11/2014,21,FEET,47.4,DEGREES F,,
09/11/2014,24,FEET,46.7,DEGREES F,,
09/11/2014,27,FEET,46.5,DEGREES F,,
09/18/2014,3,FEET,57.9,DEGREES F,,
09/18/2014,6,FEET,56.6,DEGREES F,,
09/18/2014,9,FEET,55.7,DEGREES F,,
09/18/2014,12,FEET,54.6,DEGREES F,,
09/18/2014,15,FEET,52.5,DEGREES F,,
09/18/2014,18,FEET,49.6,DEGREES F,,
09/18/2014,21,FEET,48,DEGREES F,,
09/18/2014,24,FEET,47.6,DEGREES F,,
09/18/2014,27,FEET,47.6,DEGREES F,,
10/02/2014,3,FEET,57.2,DEGREES F,,
10/02/2014,6,FEET,57,DEGREES F,,
10/02/2014,9,FEET,56.4,DEGREES F,,
10/02/2014,12,FEET,54.5,DEGREES F,,
10/02/2014,15,FEET,51.2,DEGREES F,,
10/02/2014,18,FEET,49.2,DEGREES F,,
10/02/2014,21,FEET,47.4,DEGREES F,,
10/02/2014,24,FEET,46.7,DEGREES F,,
10/02/2014,27,FEET,46.5,DEGREES F,,
10/24/2014,3,FEET,47.8,DEGREES F,,
10/24/2014,6,FEET,47.3,DEGREES F,,
10/24/2014,9,FEET,47.1,DEGREES F,,
10/24/2014,12,FEET,47.1,DEGREES F,,
10/24/2014,15,FEET,46.7,DEGREES F,,
10/24/2014,18,FEET,46.4,DEGREES F,,
10/24/2014,21,FEET,46,DEGREES F,,
10/24/2014,24,FEET,46.2,DEGREES F,,
10/24/2014,27,FEET,46.2,DEGREES F,,
01/24/2015,1,FEET,74.6,DEGREES F,,
01/24/2015,3,FEET,74.2,DEGREES F,,
01/24/2015,6,FEET,72.3,DEGREES F,,
01/24/2015,9,FEET,69.6,DEGREES F,,
01/24/2015,12,FEET,64.4,DEGREES F,,
01/24/2015,15,FEET,58.6,DEGREES F,,
01/24/2015,18,FEET,54.1,DEGREES F,,
01/24/2015,21,FEET,50.7,DEGREES F,,
01/24/2015,24,FEET,49.8,DEGREES F,,
01/24/2015,27,FEET,49.4,DEGREES F,,
05/05/2015,1,FEET,64,DEGREES F,,
05/05/2015,3,FEET,63.8,DEGREES F,,
05/05/2015,6,FEET,59.7,DEGREES F,,
05/05/2015,9,FEET,56.3,DEGREES F,,
05/05/2015,12,FEET,54.6,DEGREES F,,
05/05/2015,15,FEET,54.1,DEGREES F,,
05/05/2015,18,FEET,53.9,DEGREES F,,
05/05/2015,21,FEET,53.9,DEGREES F,,
05/05/2015,24,FEET,53.9,DEGREES F,,
05/21/2015,1,FEET,57.9,DEGREES F,,
05/21/2015,3,FEET,57.4,DEGREES F,,
