Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Alice,Lincoln,1555900,NO,35,,10042174,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
99583116,05/22/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/04/2014,4, ,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583121,06/19/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/24/2014,3.75,NO,1.1,,,58,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
99583116,08/07/2014,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/20/2014,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/02/2014,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,10/16/2014,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,05/20/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/02/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,06/12/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/24/2015,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/10/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
99583116,07/23/2015,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/06/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/26/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/09/2015,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,09/21/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,06/01/2016,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/27/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/12/2016,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/25/2016,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/08/2016,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/29/2016,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,09/18/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,05/25/2017,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/06/2017,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,06/27/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,07/10/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,07/21/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,08/04/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,08/16/2017,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,08/28/2017,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
99583116,09/19/2017,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
99583116,10/04/2017,3.25,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment
05/22/2014,Overcast and breezy. 1 fishing boat.
06/04/2014,sunny and cool with slight breeze  sunny and cool with slight breeze sunny- few clouds- cool- water temp 72 deg F- slight breeze sunny- cool- slight breeze   Clear and breezy. No boats.
07/24/2014,sunny- few clouds- no wind- cool- water temp 78 deg F
08/07/2014,Mostly sunny- few clouds. Slight breeze. Water temperature 78 degrees.
08/20/2014,Mostly cloudy- some sun. Slight breeze. Water temperature 72 degrees.
09/02/2014,Mostly sunny- few clouds. Slight breeze. Water temperature 70 degrees.
05/20/2015,Partly cloudy. Slight breeze. Water temperature 60 degrees. No boats. 
06/02/2015,Clear- slight wind. Water temperature 66 degrees. No boats
06/12/2015,Clear. Slight breeze from the NE. Water temp. 69 degrees. No boats. heard a loon.
06/24/2015,Partly cloudy.  Slight wind from the southwest. Water temperature 73 degrees. Few boats.
07/10/2015,Partly cloudy. Slight breeze from the southwest. Water temperature 75 degrees. 2 boats.
07/23/2015,Very little wind from the west. Water temperature 78 degrees. 
08/06/2015,Slight wind from the south. Mostly sunny. Water temperature 74 degrees. wind changed to the east. Saw a loon. Mostly sunny. Water temperature 74 degrees.
08/26/2015,Very little wind from the west. Mostly sunny. water temperature 66 degrees F. 2 boats.
09/09/2015,Slight wind from southwest. Mostly cloudy. Little sun. Water temperature 72 degrees. 1 boat.
09/21/2015,Fairly windy from south. Perfect blue sky. No clouds. Water temperature 65 degrees.




Start Date,Group Name,Project Name
05/22/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/04/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/19/2014,George Nelson,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/24/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/07/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/20/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
09/02/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
10/16/2014,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
05/20/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/02/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/12/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/24/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/10/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/23/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/06/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/26/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
09/09/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
09/21/2015,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/01/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/27/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/12/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/25/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/08/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/29/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
09/18/2016,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
05/25/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/06/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
06/27/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/10/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
07/21/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/04/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/16/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
08/28/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
09/19/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
10/04/2017,Fred Brach,Citizen Lake Monitoring - Water Quality - Lake Alice - Pine Point Narrow
