Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rhinelander Flowage,Oneida,1580100,NO,44,,10042611,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000119,08/13/2014,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
7000119,09/22/2014,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,06/05/2015,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,07/27/2015,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,08/31/2015,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,06/07/2016,4.75,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
7000119,07/25/2016,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,08/26/2016,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
7000119,07/20/2017,3.25,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000119,09/22/2017,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment
08/13/2014,Water brown color with moderate planktonic green algae bloom. Water brown color with noticeable planktonic green algae bloom
09/22/2014,Partly cloudy- wind W 5-10. Water brown with slight planktonic green algae bloom.
06/05/2015,Very slight planktonic algae bloom. 
07/27/2015,Slight planktonic algae bloom. 
08/31/2015,Slight planktonic algae bloom
07/20/2017,no apparent planktonic algae bloom
09/22/2017,slight apparent planktonic algae bloom




Start Date,Group Name,Project Name
08/13/2014,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
09/22/2014,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
06/05/2015,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
07/27/2015,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
08/31/2015,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
06/07/2016,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
07/25/2016,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
08/26/2016,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
07/20/2017,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
09/22/2017,ROBERT YOUNG,Citizen Lake Monitoring - Water Quality - Rhinelander Flowage - Near Spur Ln
