Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Little Pickerel Lake,Oconto,475000,NE,43,,10043373,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
34972241,04/14/2015,9.8,N,3,2.26,26.9,44,54,41,,,,,
130435685,04/14/2015,,,,,,,,,,,,,
18136832,04/23/2015,,,,,24.8,,53,,,,,,
130435685,06/11/2015,,,,,,,,,,,,,
130839548,06/11/2015,12.6,N,3.8,4.02,21.5,41,52,45,,,,,
18136832,07/08/2015,9,N,2.7,2.27,24.6,45,53,41,,,,,
34972183,07/13/2015,7.5,N,2.3,6.33,31.4,48,55,49,,,,,
130435685,07/13/2015,,,,,,,,,,,,,
18136832,07/22/2015,10,N,3,1.34,26.9,44,54,37,,,,,
18136832,07/29/2015,10.5,NO,3.2,3.31,24.3,43,53,44,,,,,
18136832,08/05/2015,11.5,N,3.5,4.36,33.2,42,55,46,,,,,
18136832,08/11/2015,9,N,2.7,12,32.6,45,55,54,,,,,
18136832,08/19/2015,9,100,2.7,6.76,32,45,55,49,,,,,
16073539,08/27/2015,,,,,,,,,,,,,
34972183,08/27/2015,8.5,NO,2.6,6.57,31.8,46,55,49,,,,,
130435685,08/27/2015,,,,,,,,,,,,,
18136832,09/01/2015,9,NO,2.7,7.52,30.2,45,55,50,,,,,
18136832,09/09/2015,8,NO,2.4,11.5,33.6,47,55,53,,,,,
18136832,09/15/2015,10,NO,3,11,29.3,44,54,53,,,,,
34972236,10/27/2015,8.2,NO,2.5,7.2,30.3,47,55,50,,,,,
130435685,10/27/2015,,,,,,,,,,,,,
130435685,01/21/2016,,,,,,,,,,,,,
130435685,01/30/2016,,,,,,,,,,,,,
130435685,02/13/2016,,,,,,,,,,,,,
34972236,02/16/2016,6.2,NO,1.9,,33,51,55,,,,,,
130435685,02/16/2016,,,,,,,,,,,,,
130435685,02/26/2016,,,,,,,,,,,,,
130435685,03/16/2016,,,,,,,,,,,,,
130435685,04/11/2016,7.5,NO,2.3,,28.5,48,54,,NORMAL,26,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,05/03/2016,10.8,NO,3.3,,,43,,,NORMAL,23,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,06/21/2016,9,NO,2.7,6.55,26.1,45,53,49,NORMAL,23,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,07/18/2016,9.75,NO,3,4.14,28.2,44,54,46,NORMAL,23,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,08/22/2016,9.75,NO,3,4.43,32.1,44,55,46,NORMAL,19.2,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,09/02/2016,10.4,NO,3.2,,,43,,,NORMAL,24.0,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,09/17/2016,12,NO,3.6,,,41,,,NORMAL,22.0,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,10/09/2016,13.7,NO,4.2,,,39,,,NORMAL,23.7,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,12/21/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,12/29/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/09/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/23/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/06/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/17/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/27/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,04/13/2017,7,NO,2.1,,,49,,,NORMAL,22.0,CLEAR,BROWN,1-Beautiful, could not be nicer
157734507,04/13/2017,,,,,26.3,,53,,,,,,
130435685,06/22/2017,8.022,NO,2.4,9.4,26.1,47,53,52,NORMAL,22.0,CLEAR,,1-Beautiful, could not be nicer
130435685,07/21/2017,7.4,NO,2.2,3.41,19.9,48,51,44,NORMAL,22.2,CLEAR,,1-Beautiful, could not be nicer
130435685,08/21/2017,10.1,NO,3.1,2.06,17.5,44,50,40,NORMAL,22.2,CLEAR,BROWN,1-Beautiful, could not be nicer
130435685,10/13/2017,13.2,NO,4,,,40,,,NORMAL,25,CLEAR,,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/14/2015,1,FEET,9.9,DEGREES C,10.8,MG/L
04/14/2015,3,FEET,9.9,DEGREES C,10.9,MG/L
04/14/2015,6,FEET,9.8,DEGREES C,10.8,MG/L
04/14/2015,9,FEET,9.6,DEGREES C,10.7,MG/L
04/14/2015,12,FEET,8.9,DEGREES C,10.4,MG/L
04/14/2015,15,FEET,7.4,DEGREES C,8.9,MG/L
04/14/2015,18,FEET,6.2,DEGREES C,1.5,MG/L
04/14/2015,21,FEET,6.2,DEGREES C,.2,MG/L
04/14/2015,22,FEET,6.2,DEGREES C,.2,MG/L
04/14/2015,24,FEET,6.2,DEGREES C,.2,MG/L
04/14/2015,25,FEET,6.2,DEGREES C,.1,MG/L
04/14/2015,,,6.2,C,0.2,MG/L
06/11/2015,1,FEET,20.1,DEGREES C,9.8,MG/L
06/11/2015,3,FEET,20.8,DEGREES C,9.8,MG/L
06/11/2015,5,FEET,21,DEGREES C,9.7,MG/L
06/11/2015,7,FEET,20.7,DEGREES C,9.1,MG/L
06/11/2015,10,FEET,18.7,DEGREES C,10.6,MG/L
06/11/2015,13,FEET,15.7,DEGREES C,11.7,MG/L
06/11/2015,16,FEET,12.8,DEGREES C,12.2,MG/L
06/11/2015,17,FEET,11,DEGREES C,7.1,MG/L
06/11/2015,18,FEET,10.4,DEGREES C,4.5,MG/L
06/11/2015,19,FEET,10.1,DEGREES C,.7,MG/L
06/11/2015,21,FEET,9.3,DEGREES C,.2,MG/L
06/11/2015,24,FEET,8.9,DEGREES C,.1,MG/L
06/11/2015,26,FEET,8.8,DEGREES C,.1,MG/L
06/11/2015,,,20.8,C,0.1,MG/L
07/08/2015,,,21.5,C,9.1,MG/L
07/13/2015,1,FEET,27.6,DEGREES C,9.4,MG/L
07/13/2015,3,FEET,27.1,DEGREES C,9.4,MG/L
07/13/2015,6,FEET,25.6,DEGREES C,9.9,MG/L
07/13/2015,9,FEET,22.6,DEGREES C,8.8,MG/L
07/13/2015,12,FEET,18.6,DEGREES C,11.5,MG/L
07/13/2015,15,FEET,14.4,DEGREES C,8.3,MG/L
07/13/2015,18,FEET,11.1,DEGREES C,.5,MG/L
07/13/2015,21,FEET,9.6,DEGREES C,.1,MG/L
07/13/2015,24,FEET,8.8,DEGREES C,.1,MG/L
07/13/2015,25,FEET,8.5,DEGREES C,.1,MG/L
07/13/2015,,,27.1,C,0.1,MG/L
07/22/2015,,,23.8,C,8.8,MG/L
07/29/2015,,,25.0,C,9.0,MG/L
08/05/2015,,,22.8,C,8.5,MG/L
08/11/2015,,,23.2,C,9.1,MG/L
08/19/2015,,,22.0,C,6.3,MG/L
08/27/2015,1,FEET,19.5,DEGREES C,9.1,MG/L
08/27/2015,3,FEET,19.2,DEGREES C,8.8,MG/L
08/27/2015,6,FEET,18.9,DEGREES C,8.6,MG/L
08/27/2015,9,FEET,18.7,DEGREES C,7.4,MG/L
08/27/2015,10,FEET,18.4,DEGREES C,7.6,MG/L
08/27/2015,11,FEET,18.2,DEGREES C,7.7,MG/L
08/27/2015,12,FEET,18.2,DEGREES C,10,MG/L
08/27/2015,13,FEET,17.4,DEGREES C,12.3,MG/L
08/27/2015,14,FEET,15.5,DEGREES C,9.1,MG/L
08/27/2015,15,FEET,15,DEGREES C,1.5,MG/L
08/27/2015,18,FEET,12,DEGREES C,.4,MG/L
08/27/2015,21,FEET,10.3,DEGREES C,.2,MG/L
08/27/2015,23,FEET,9.5,DEGREES C,.2,MG/L
08/27/2015,24,FEET,9.1,DEGREES C,.1,MG/L
08/27/2015,,,19.2,C,0.2,MG/L
09/01/2015,,,22.5,C,9.8,MG/L
09/09/2015,,,22.5,C,7.3,MG/L
09/15/2015,,,20.2,C,8.8,MG/L
10/27/2015,1,FEET,9.6,DEGREES C,10.3,MG/L
10/27/2015,3,FEET,9.6,DEGREES C,10.2,MG/L
10/27/2015,6,FEET,9.7,DEGREES C,10.2,MG/L
10/27/2015,9,FEET,9.7,DEGREES C,10.2,MG/L
10/27/2015,12,FEET,9.7,DEGREES C,10.2,MG/L
10/27/2015,15,FEET,9.7,DEGREES C,8,MG/L
10/27/2015,18,FEET,9.6,DEGREES C,3.3,MG/L
10/27/2015,21,FEET,8.9,DEGREES C,.2,MG/L
10/27/2015,23,FEET,8.6,DEGREES C,.1,MG/L
10/27/2015,25,FEET,8.3,DEGREES C,.1,MG/L
10/27/2015,,,8.6,C,0.1,MG/L
01/21/2016,1,FEET,4.2,DEGREES C,6.7,MG/L
01/21/2016,3,FEET,4.7,DEGREES C,1.8,MG/L
01/21/2016,6,FEET,4.8,DEGREES C,.2,MG/L
01/21/2016,9,FEET,5.1,DEGREES C,.1,MG/L
01/21/2016,12,FEET,5.2,DEGREES C,.1,MG/L
01/21/2016,15,FEET,5.4,DEGREES C,.1,MG/L
01/21/2016,18,FEET,5.5,DEGREES C,.1,MG/L
01/21/2016,21,FEET,5.5,DEGREES C,0,MG/L
01/30/2016,1,FEET,3.7,DEGREES C,5.5,MG/L
01/30/2016,3,FEET,3.9,DEGREES C,1.3,MG/L
01/30/2016,6,FEET,4,DEGREES C,.2,MG/L
01/30/2016,9,FEET,4.4,DEGREES C,.1,MG/L
01/30/2016,12,FEET,4.9,DEGREES C,.1,MG/L
01/30/2016,15,FEET,5.1,DEGREES C,.1,MG/L
01/30/2016,18,FEET,5.4,DEGREES C,.1,MG/L
01/30/2016,21,FEET,5.5,DEGREES C,.1,MG/L
02/13/2016,1,FEET,4.2,DEGREES C,6.7,MG/L
02/13/2016,3,FEET,4.9,DEGREES C,.5,MG/L
02/13/2016,6,FEET,4.8,DEGREES C,.1,MG/L
02/13/2016,9,FEET,4.8,DEGREES C,0,MG/L
02/13/2016,12,FEET,5.2,DEGREES C,0,MG/L
02/13/2016,15,FEET,5.4,DEGREES C,0,MG/L
02/13/2016,18,FEET,5.2,DEGREES C,0,MG/L
02/13/2016,21,FEET,5.4,DEGREES C,0,MG/L
02/16/2016,1,FEET,2.2,DEGREES C,4.2,MG/L
02/16/2016,3,FEET,3.2,DEGREES C,2,MG/L
02/16/2016,6,FEET,4.2,DEGREES C,.4,MG/L
02/16/2016,9,FEET,4.5,DEGREES C,.3,MG/L
02/16/2016,12,FEET,4.9,DEGREES C,.2,MG/L
02/16/2016,15,FEET,5.1,DEGREES C,.1,MG/L
02/16/2016,18,FEET,5.2,DEGREES C,.1,MG/L
02/16/2016,21,FEET,5.5,DEGREES C,.1,MG/L
02/16/2016,24,FEET,5.6,DEGREES C,.1,MG/L
02/16/2016,25,FEET,5.6,DEGREES C,.1,MG/L
02/16/2016,,,3.2,C,0.1,MG/L
02/26/2016,1,FEET,2.3,DEGREES C,.3,MG/L
02/26/2016,3,FEET,4.2,DEGREES C,.1,MG/L
02/26/2016,6,FEET,4.6,DEGREES C,.1,MG/L
02/26/2016,9,FEET,4.9,DEGREES C,.1,MG/L
02/26/2016,12,FEET,5.1,DEGREES C,.1,MG/L
02/26/2016,15,FEET,5.2,DEGREES C,.1,MG/L
02/26/2016,18,FEET,5.1,DEGREES C,.2,MG/L
02/26/2016,21,FEET,5.1,DEGREES C,.2,MG/L
03/16/2016,1,FEET,2.1,DEGREES C,7.2,MG/L
03/16/2016,3,FEET,4,DEGREES C,1.9,MG/L
03/16/2016,6,FEET,4.6,DEGREES C,.8,MG/L
03/16/2016,9,FEET,5,DEGREES C,.4,MG/L
03/16/2016,12,FEET,5.2,DEGREES C,.2,MG/L
03/16/2016,15,FEET,5.1,DEGREES C,.1,MG/L
03/16/2016,18,FEET,5.2,DEGREES C,.1,MG/L
03/16/2016,21,FEET,5.3,DEGREES C,.1,MG/L
04/11/2016,1,FEET,4.1,DEGREES C,13.8,MG/L
04/11/2016,3,FEET,4.3,DEGREES C,12.3,MG/L
04/11/2016,6,FEET,4.3,DEGREES C,12,MG/L
04/11/2016,9,FEET,4.3,DEGREES C,11.9,MG/L
04/11/2016,12,FEET,4.2,DEGREES C,11.8,MG/L
04/11/2016,15,FEET,4.2,DEGREES C,11.7,MG/L
04/11/2016,18,FEET,4.2,DEGREES C,11.7,MG/L
04/11/2016,21,FEET,4.3,DEGREES C,11.4,MG/L
04/11/2016,22,FEET,4.5,DEGREES C,9.1,MG/L
04/11/2016,24,FEET,5.1,DEGREES C,5.4,MG/L
05/03/2016,1,FEET,12.8,DEGREES C,10.9,MG/L
05/03/2016,3,FEET,12.5,DEGREES C,11.4,MG/L
05/03/2016,6,FEET,12,DEGREES C,11.2,MG/L
05/03/2016,9,FEET,11.4,DEGREES C,11.6,MG/L
05/03/2016,12,FEET,10.9,DEGREES C,11.4,MG/L
05/03/2016,15,FEET,10,DEGREES C,11.2,MG/L
05/03/2016,18,FEET,8.1,DEGREES C,3.5,MG/L
05/03/2016,21,FEET,7.6,DEGREES C,1,MG/L
06/21/2016,1,FEET,24,DEGREES C,9.6,MG/L
06/21/2016,3,FEET,24.1,DEGREES C,9.8,MG/L
06/21/2016,6,FEET,23.5,DEGREES C,8.8,MG/L
06/21/2016,9,FEET,20.8,DEGREES C,10,MG/L
06/21/2016,12,FEET,15.8,DEGREES C,10.7,MG/L
06/21/2016,15,FEET,11.4,DEGREES C,3.7,MG/L
06/21/2016,18,FEET,9.7,DEGREES C,1.7,MG/L
06/21/2016,21,FEET,9.4,DEGREES C,.4,MG/L
06/21/2016,23,FEET,9.4,DEGREES C,.1,MG/L
07/18/2016,1,FEET,23.9,DEGREES C,9.3,MG/L
07/18/2016,3,FEET,23.5,DEGREES C,9.5,MG/L
07/18/2016,6,FEET,23.3,DEGREES C,8.8,MG/L
07/18/2016,9,FEET,22.5,DEGREES C,8.4,MG/L
07/18/2016,12,FEET,18.1,DEGREES C,11.6,MG/L
07/18/2016,15,FEET,13.6,DEGREES C,6,MG/L
07/18/2016,18,FEET,11,DEGREES C,1.2,MG/L
07/18/2016,21,FEET,9.2,DEGREES C,.3,MG/L
07/18/2016,24,FEET,8.8,DEGREES C,0,MG/L
08/22/2016,1,FEET,21.8,DEGREES C,7.5,MG/L
08/22/2016,3,FEET,22,DEGREES C,7.4,MG/L
08/22/2016,6,FEET,21.9,DEGREES C,7.3,MG/L
08/22/2016,9,FEET,21.5,DEGREES C,5.8,MG/L
08/22/2016,12,FEET,19.1,DEGREES C,6,MG/L
08/22/2016,15,FEET,14.1,DEGREES C,2.1,MG/L
08/22/2016,18,FEET,11.6,DEGREES C,.6,MG/L
09/02/2016,1,FEET,22.5,DEGREES C,8.5,MG/L
09/02/2016,3,FEET,22,DEGREES C,8.6,MG/L
09/02/2016,6,FEET,21.5,DEGREES C,8.5,MG/L
09/02/2016,9,FEET,21.2,DEGREES C,8,MG/L
09/02/2016,12,FEET,18.7,DEGREES C,5.1,MG/L
09/02/2016,15,FEET,14.8,DEGREES C,2.8,MG/L
09/02/2016,18,FEET,11.4,DEGREES C,.7,MG/L
09/02/2016,21,FEET,9.6,DEGREES C,.1,MG/L
09/02/2016,23,FEET,8.4,DEGREES C,0,MG/L
09/17/2016,1,FEET,20.1,DEGREES C,7.9,MG/L
09/17/2016,3,FEET,19.8,DEGREES C,7.9,MG/L
09/17/2016,6,FEET,19.7,DEGREES C,7.5,MG/L
09/17/2016,9,FEET,19.5,DEGREES C,6.4,MG/L
09/17/2016,12,FEET,18.3,DEGREES C,4.9,MG/L
09/17/2016,15,FEET,14.6,DEGREES C,1,MG/L
09/17/2016,18,FEET,11.9,DEGREES C,.1,MG/L
09/17/2016,21,FEET,9.8,DEGREES C,0,MG/L
10/09/2016,1,FEET,15.1,DEGREES C,8.7,MG/L
10/09/2016,3,FEET,14.9,DEGREES C,8.3,MG/L
10/09/2016,6,FEET,14.4,DEGREES C,8.4,MG/L
10/09/2016,9,FEET,14.1,DEGREES C,8.5,MG/L
10/09/2016,12,FEET,13.9,DEGREES C,8.2,MG/L
10/09/2016,15,FEET,13.6,DEGREES C,6.6,MG/L
10/09/2016,18,FEET,11.1,DEGREES C,1.8,MG/L
10/09/2016,21,FEET,9.5,DEGREES C,.4,MG/L
10/09/2016,23,FEET,8.7,DEGREES C,.1,MG/L
12/21/2016,1,FEET,1.9,DEGREES C,11.7,MG/L
12/21/2016,3,FEET,2,DEGREES C,12,MG/L
12/21/2016,4,FEET,2.3,DEGREES C,11.5,MG/L
12/21/2016,7,FEET,2.6,DEGREES C,10.3,MG/L
12/21/2016,10,FEET,2.9,DEGREES C,8,MG/L
12/21/2016,13,FEET,3.1,DEGREES C,7.2,MG/L
12/21/2016,16,FEET,3.4,DEGREES C,5,MG/L
12/21/2016,18,FEET,3.6,DEGREES C,3.7,MG/L
12/21/2016,20,FEET,4,DEGREES C,2.7,MG/L
12/21/2016,22,FEET,4.8,DEGREES C,1.8,MG/L
12/29/2016,1,FEET,1.4,DEGREES C,9.8,MG/L
12/29/2016,2,FEET,2.7,DEGREES C,7.9,MG/L
12/29/2016,4,FEET,2.9,DEGREES C,7.4,MG/L
12/29/2016,7,FEET,3.2,DEGREES C,5.1,MG/L
12/29/2016,10,FEET,3.4,DEGREES C,4.7,MG/L
12/29/2016,13,FEET,3.6,DEGREES C,3.8,MG/L
12/29/2016,16,FEET,3.8,DEGREES C,3,MG/L
12/29/2016,19,FEET,4.4,DEGREES C,.6,MG/L
12/29/2016,20,FEET,4.6,DEGREES C,.3,MG/L
12/29/2016,21,FEET,4.8,DEGREES C,.2,MG/L
01/09/2017,1,FEET,.7,DEGREES C,9.1,MG/L
01/09/2017,4,FEET,3.5,DEGREES C,4.7,MG/L
01/09/2017,7,FEET,3.5,DEGREES C,3.7,MG/L
01/09/2017,10,FEET,3.7,DEGREES C,2.4,MG/L
01/09/2017,13,FEET,4,DEGREES C,1.3,MG/L
01/09/2017,16,FEET,4.2,DEGREES C,.5,MG/L
01/09/2017,19,FEET,4.6,DEGREES C,-.1,MG/L
01/09/2017,21,FEET,5.2,DEGREES C,0,MG/L
01/23/2017,1,FEET,.7,DEGREES C,6.9,MG/L
01/23/2017,2,FEET,1.7,DEGREES C,5.7,MG/L
01/23/2017,3,FEET,3.7,DEGREES C,1.7,MG/L
01/23/2017,4,FEET,3.7,DEGREES C,1.8,MG/L
01/23/2017,7,FEET,3.9,DEGREES C,1.4,MG/L
01/23/2017,10,FEET,4.1,DEGREES C,.3,MG/L
01/23/2017,13,FEET,4.2,DEGREES C,-.2,MG/L
01/23/2017,16,FEET,4.5,DEGREES C,-.2,MG/L
01/23/2017,19,FEET,5,DEGREES C,-.2,MG/L
01/23/2017,21,FEET,5.4,DEGREES C,-.2,MG/L
02/06/2017,1,FEET,.8,DEGREES C,.9,MG/L
02/06/2017,4,FEET,3.5,DEGREES C,.1,MG/L
02/06/2017,7,FEET,4.1,DEGREES C,-.2,MG/L
02/06/2017,10,FEET,4.2,DEGREES C,-.3,MG/L
02/06/2017,13,FEET,4.4,DEGREES C,-.3,MG/L
02/06/2017,16,FEET,4.6,DEGREES C,-.3,MG/L
02/06/2017,19,FEET,5.1,DEGREES C,-.2,MG/L
02/06/2017,21,FEET,5.4,DEGREES C,-.2,MG/L
02/17/2017,1,FEET,1,DEGREES C,-.3,MG/L
