Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lulu Lake,Shawano,324000,NE,59,,10043650,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
118430898,06/02/2015,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
118430898,07/07/2015,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
118430898,08/08/2015,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
118430898,08/27/2015,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
118430898,06/08/2016,7,NO,2.1,,,49,,,HIGH,,,BLUE,2-Very minor aesthetic problems
125862804,06/16/2016,,,,7.88,24.2,,53,50,,,,,
118430898,07/18/2016,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
118430898,08/10/2016,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,08/29/2016,,,,4.79,22.7,,52,47,,,,,
1,05/19/2017,,,,,,,,,,,,,
1,05/21/2017,,,,,,,,,,,,,
1,05/23/2017,,,,,,,,,,,,,
1,05/25/2017,,,,,,,,,,,,,
1,06/01/2017,,,,,,,,,,,,,
1,06/08/2017,,,,,,,,,,,,,
1,06/15/2017,,,,,,,,,,,,,
18137035,06/19/2017,6,N,1.8,5.99,,51,,48,,,,,
118430898,06/19/2017,6,NO,1.8,,,51,,,HIGH,,,GREEN,2-Very minor aesthetic problems
118430898,07/28/2017,7,NO,2.1,7.9,,49,,50,HIGH,,,GREEN,2-Very minor aesthetic problems
148112004,08/17/2017,9,,2.7,,,45,,,,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
118430898,08/29/2017,7,NO,2.1,4.17,,49,,46,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/02/2015,1,FEET,69.2,DEGREES F,,
06/02/2015,3,FEET,68.7,DEGREES F,,
06/02/2015,6,FEET,66.2,DEGREES F,,
06/02/2015,9,FEET,65,DEGREES F,,
06/02/2015,12,FEET,64,DEGREES F,,
06/02/2015,15,FEET,62,DEGREES F,,
06/02/2015,18,FEET,62.2,DEGREES F,,
07/07/2015,1,FEET,75.3,DEGREES F,,
07/07/2015,3,FEET,75.2,DEGREES F,,
07/07/2015,6,FEET,73.5,DEGREES F,,
07/07/2015,9,FEET,72.8,DEGREES F,,
07/07/2015,12,FEET,71.5,DEGREES F,,
07/07/2015,15,FEET,67.4,DEGREES F,,
07/07/2015,18,FEET,67.2,DEGREES F,,
08/27/2015,1,FEET,66.9,DEGREES F,,
08/27/2015,3,FEET,66,DEGREES F,,
08/27/2015,6,FEET,65.6,DEGREES F,,
08/27/2015,9,FEET,64.9,DEGREES F,,
08/27/2015,12,FEET,64.4,DEGREES F,,
08/27/2015,15,FEET,64.7,DEGREES F,,
08/27/2015,18,FEET,64.7,DEGREES F,,
06/08/2016,1,FEET,70.8,DEGREES F,,
06/08/2016,3,FEET,70.7,DEGREES F,,
06/08/2016,6,FEET,67.2,DEGREES F,,
06/08/2016,9,FEET,66,DEGREES F,,
06/08/2016,12,FEET,61.5,DEGREES F,,
06/08/2016,15,FEET,58.4,DEGREES F,,
06/08/2016,18,FEET,58.2,DEGREES F,,
07/18/2016,3,FEET,76.2,DEGREES F,,
07/18/2016,6,FEET,74.6,DEGREES F,,
07/18/2016,9,FEET,73.4,DEGREES F,,
07/18/2016,12,FEET,69.6,DEGREES F,,
07/18/2016,15,FEET,66.5,DEGREES F,,
07/18/2016,18,FEET,65.6,DEGREES F,,
08/10/2016,3,FEET,80.6,DEGREES F,,
08/10/2016,6,FEET,79.5,DEGREES F,,
08/10/2016,9,FEET,76.2,DEGREES F,,
08/10/2016,12,FEET,71.6,DEGREES F,,
08/10/2016,15,FEET,66.2,DEGREES F,,
08/10/2016,18,FEET,66,DEGREES F,,
05/19/2017,,,19.9,C,,
05/21/2017,,,14.2,C,,
05/23/2017,,,14.1,C,,
05/25/2017,,,14.3,C,,
06/01/2017,,,18.1,C,,
06/08/2017,,,24.4,C,,
06/15/2017,,,24.1,C,,
