Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Partridge Lake,Langlade,1009500,NO,34,,10043787,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
117499505,07/02/2015,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
117499505,07/10/2015,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
117499505,07/18/2015,12.5, ,3.8,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
117499505,08/01/2015,12, ,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
117499505,08/16/2015,12, ,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
117499505,08/26/2015,12, ,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
117499505,09/08/2015,13.5,NO,4.1,,,40,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
117499505,09/16/2015,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,09/26/2015,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,06/07/2016,10,NO,3,,,44,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
117499505,06/28/2016,10,,3,,,44,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
117499505,07/08/2016,10,NO,3,,,44,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
117499505,07/18/2016,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
117499505,08/06/2016,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
117499505,08/15/2016,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
117499505,08/26/2016,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
117499505,06/27/2017,,NO,,,,,,,HIGH,10,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,07/12/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,07/27/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,08/05/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,08/15/2017,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,09/06/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
117499505,09/24/2017,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/27/2017,70,FEET,41.3,DEGREES F,,
07/12/2017,70,FEET,50,DEGREES F,,
07/27/2017,55,FEET,45.3,DEGREES F,,
08/05/2017,35,FEET,48,DEGREES F,,
08/15/2017,40,FEET,45.4,DEGREES F,,
09/06/2017,40,FEET,42.2,DEGREES F,,
09/24/2017,40,FEET,46,DEGREES F,,



Start Date,Fieldwork Comment
07/02/2015,With Paul Tusler- Sunny Partial Cloudy
07/10/2015,Sunny Partial Cloudy
08/01/2015,partial cloudy sunny
08/16/2015,partial sunny
08/26/2015,Partial Cloudy
09/08/2015,Partial Cloudy- Rain last PM
09/16/2015,Fecent Rains- Windy- Partial Cloudy
09/26/2015,Sunny no wind- no waves




Start Date,Group Name,Project Name
07/02/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/10/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/18/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/01/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/16/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/26/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
09/08/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
09/16/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
09/26/2015,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
06/07/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
06/28/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/08/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/18/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/06/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/15/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/26/2016,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
06/27/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/12/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
07/27/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/05/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
08/15/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
09/06/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
09/24/2017,Picone,Citizen Lake Monitoring - Water Quality - Partridge Lake - Deep Hole
