Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Finnegan Lake,Oconto,420600,NE,43,,10044617,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/04/2017,,,,,,,,,,,,,
149987017,05/04/2017,,,,,,,,,,,,,
149987017,05/06/2017,,,,,,,,,,,,,
149987017,05/08/2017,,,,,,,,,,,,,
149987017,05/10/2017,,,,,,,,,,,,,
149987017,05/17/2017,,,,,,,,,,,,,
149987017,05/24/2017,,,,,,,,,,,,,
1,05/31/2017,,,,,,,,,,,,,
149987017,05/31/2017,,,,,,,,,,,,,
149987017,06/08/2017,,,,,,,,,,,,,
1,06/18/2017,,,,,,,,,,,,,
149987017,06/28/2017,,,,,,,,,,,,,
149987017,07/18/2017,,,,,,,,,,,,,
149987017,08/14/2017,,,,,,,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/04/2017,1,FEET,12.3,DEGREES C,,
05/04/2017,3,FEET,11.9,DEGREES C,,
05/04/2017,6,FEET,11.7,DEGREES C,,
05/04/2017,9,FEET,10.7,DEGREES C,,
05/04/2017,12,FEET,10.3,DEGREES C,,
05/04/2017,15,FEET,9.6,DEGREES C,,
05/04/2017,18,FEET,7.3,DEGREES C,,
05/04/2017,21,FEET,5.6,DEGREES C,,
05/04/2017,24,FEET,5.6,DEGREES C,,
05/04/2017,27,FEET,5.4,DEGREES C,,
05/04/2017,30,FEET,5.3,DEGREES C,,
05/04/2017,33,FEET,5.2,DEGREES C,,
05/04/2017,,,11.9,C,,
05/06/2017,1,FEET,13.83,DEGREES C,,
05/06/2017,3,FEET,13.83,DEGREES C,,
05/06/2017,6,FEET,13.3,DEGREES C,,
05/06/2017,9,FEET,11.16,DEGREES C,,
05/06/2017,12,FEET,10.22,DEGREES C,,
05/06/2017,15,FEET,9.5,DEGREES C,,
05/06/2017,18,FEET,7.89,DEGREES C,,
05/06/2017,21,FEET,6.22,DEGREES C,,
05/06/2017,24,FEET,5.72,DEGREES C,,
05/06/2017,27,FEET,5.5,DEGREES C,,
05/06/2017,30,FEET,5.44,DEGREES C,,
05/06/2017,33,FEET,5.39,DEGREES C,,
05/06/2017,,,13.4,C,,
05/08/2017,1,FEET,13.9,DEGREES C,,
05/08/2017,3,FEET,13.9,DEGREES C,,
05/08/2017,6,FEET,13.4,DEGREES C,,
05/08/2017,9,FEET,11.7,DEGREES C,,
05/08/2017,12,FEET,10.8,DEGREES C,,
05/08/2017,15,FEET,10.1,DEGREES C,,
05/08/2017,18,FEET,8.5,DEGREES C,,
05/08/2017,21,FEET,9,DEGREES C,,
05/08/2017,24,FEET,6.8,DEGREES C,,
05/08/2017,27,FEET,5.5,DEGREES C,,
05/08/2017,30,FEET,5.4,DEGREES C,,
05/08/2017,33,FEET,5.4,DEGREES C,,
05/08/2017,,,13.8,C,,
05/10/2017,1,FEET,14.7,DEGREES C,,
05/10/2017,3,FEET,14.6,DEGREES C,,
05/10/2017,6,FEET,14.2,DEGREES C,,
05/10/2017,9,FEET,12.5,DEGREES C,,
05/10/2017,12,FEET,10.9,DEGREES C,,
05/10/2017,15,FEET,9.9,DEGREES C,,
05/10/2017,18,FEET,7.6,DEGREES C,,
05/10/2017,21,FEET,6.3,DEGREES C,,
05/10/2017,24,FEET,5.6,DEGREES C,,
05/10/2017,27,FEET,5.5,DEGREES C,,
05/10/2017,30,FEET,5.4,DEGREES C,,
05/10/2017,33,FEET,5.4,DEGREES C,,
05/10/2017,,,14.3,C,,
05/17/2017,1,FEET,20,DEGREES C,,
05/17/2017,3,FEET,18.9,DEGREES C,,
05/17/2017,6,FEET,17.8,DEGREES C,,
05/17/2017,9,FEET,14.1,DEGREES C,,
05/17/2017,12,FEET,12.5,DEGREES C,,
05/17/2017,15,FEET,10.1,DEGREES C,,
05/17/2017,18,FEET,8.1,DEGREES C,,
05/17/2017,21,FEET,6.8,DEGREES C,,
05/17/2017,24,FEET,6.1,DEGREES C,,
05/17/2017,27,FEET,5.7,DEGREES C,,
05/17/2017,30,FEET,5.6,DEGREES C,,
05/17/2017,33,FEET,5.6,DEGREES C,,
05/17/2017,,,17.9,C,,
05/24/2017,1,FEET,14.9,DEGREES C,,
05/24/2017,3,FEET,14.9,DEGREES C,,
05/24/2017,6,FEET,14.9,DEGREES C,,
05/24/2017,9,FEET,14.8,DEGREES C,,
05/24/2017,12,FEET,14.7,DEGREES C,,
05/24/2017,15,FEET,10.6,DEGREES C,,
05/24/2017,18,FEET,8.9,DEGREES C,,
05/24/2017,21,FEET,6.9,DEGREES C,,
05/24/2017,24,FEET,6.1,DEGREES C,,
05/24/2017,27,FEET,5.8,DEGREES C,,
05/24/2017,30,FEET,5.7,DEGREES C,,
05/24/2017,33,FEET,5.7,DEGREES C,,
05/24/2017,,,14.9,C,,
05/31/2017,1,FEET,18.7,DEGREES C,,
05/31/2017,3,FEET,18.6,DEGREES C,,
05/31/2017,6,FEET,17.7,DEGREES C,,
05/31/2017,9,FEET,16.4,DEGREES C,,
05/31/2017,12,FEET,14.6,DEGREES C,,
05/31/2017,15,FEET,10.6,DEGREES C,,
05/31/2017,18,FEET,9,DEGREES C,,
05/31/2017,21,FEET,7.2,DEGREES C,,
05/31/2017,24,FEET,6.3,DEGREES C,,
05/31/2017,27,FEET,6,DEGREES C,,
05/31/2017,30,FEET,5.8,DEGREES C,,
05/31/2017,33,FEET,5.7,DEGREES C,,
05/31/2017,,,17.9,C,,
06/08/2017,1,FEET,23.6,DEGREES C,,
06/08/2017,3,FEET,23.16,DEGREES C,,
06/08/2017,6,FEET,21.7,DEGREES C,,
06/08/2017,9,FEET,17.8,DEGREES C,,
06/08/2017,12,FEET,15.9,DEGREES C,,
