Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Spice Lake,Oconto,445900,NE,43,,10044629,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
18137035,07/08/2015,1,,0.3,,,77,,,,,,,
125862804,07/09/2015,1,NO,0.3,,,77,,,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
125862804,09/08/2015,,NO,,,,,,,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
1,04/12/2016,2,,0.6,,,67,,,,,,,
125862804,04/12/2016,2,NO,0.6,,376,67,74,,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
125862804,06/16/2016,3.5,N,1.1,18.1,92,59,63,57,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
125862804,07/13/2016,2.3,NO,0.7,42.3,65.6,64,61,63,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
125862804,09/08/2016,1.6,N,0.5,60.5,71.1,70,61,66,,,MURKY,BROWN,5-Enjoyment substantially impaired (algae)
125862804,09/14/2016,1.5,N,0.5,,,71,,,,,,,
18137035,06/13/2017,1,N,0.3,,224,77,70,,,,,,
148112004,06/13/2017,1,NO,0.3,,,77,,,,,MURKY,YELLOW,5-Enjoyment substantially impaired (algae)
148112004,06/21/2017,3,NO,0.9,,,61,,,,,MURKY,RED,5-Enjoyment substantially impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/09/2015,1,FEET,25.98,DEGREES C,8.8,MG/L
07/09/2015,3,FEET,22.4,DEGREES C,7.49,MG/L
07/09/2015,6,FEET,16.6,DEGREES C,.45,MG/L
07/09/2015,9,FEET,10.7,DEGREES C,.3,MG/L
07/09/2015,12,FEET,7.5,DEGREES C,.27,MG/L
07/09/2015,15,FEET,5.9,DEGREES C,.24,MG/L
07/09/2015,18,FEET,4.9,DEGREES C,.22,MG/L
07/09/2015,21,FEET,4.5,DEGREES C,.19,MG/L
07/09/2015,24,FEET,4.36,DEGREES C,.17,MG/L
07/09/2015,27,FEET,4.3,DEGREES C,.16,MG/L
09/08/2015,1,FEET,24.35,DEGREES C,10.17,MG/L
09/08/2015,3,FEET,22.66,DEGREES C,3.9,MG/L
09/08/2015,6,FEET,17.84,DEGREES C,.3,MG/L
09/08/2015,9,FEET,16.12,DEGREES C,.11,MG/L
09/08/2015,12,FEET,11.45,DEGREES C,0,MG/L
09/08/2015,15,FEET,8.24,DEGREES C,0,MG/L
09/08/2015,18,FEET,6.15,DEGREES C,0,MG/L
09/08/2015,21,FEET,5.36,DEGREES C,0,MG/L
09/08/2015,24,FEET,5,DEGREES C,0,MG/L
09/08/2015,27,FEET,4.94,DEGREES C,0,MG/L
04/12/2016,0,FEET,4.52,DEGREES F,20.2,MG/L
04/12/2016,3,FEET,4.27,DEGREES F,19.6,MG/L
04/12/2016,6,FEET,4.18,DEGREES F,19.31,MG/L
04/12/2016,9,FEET,4.11,DEGREES F,19,MG/L
04/12/2016,12,FEET,4.18,DEGREES F,18.41,MG/L
04/12/2016,15,FEET,4.79,DEGREES F,8.44,MG/L
04/12/2016,18,FEET,3.77,DEGREES F,.55,MG/L
