Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wescott Lake,Oconto,455300,NE,43,,10044715,NE,SPRING
Bagley Creek,Oconto,454800,NE,43,,10044715,NE,



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
99659856,07/18/2016,18.5,NO,5.6,,,35,,,,,CLEAR,,1-Beautiful, could not be nicer
125862804,07/18/2016,15,N,4.6,1.7,15.6,35,49,39,,,,,
125862804,08/24/2016,15,NO,4.6,,,38,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
125862804,09/15/2016,17.5,N,5.3,1.44,18.7,36,51,38,,,,,
18137035,06/30/2017,,,,1.75,16.5,,50,39,,,,,
81855176,06/30/2017,,,,,,,,,,,CLEAR,,2-Very minor aesthetic problems
18137035,08/01/2017,10.5,N,3.2,3.14,16.3,43,50,43,,,,,
81855176,08/01/2017,,,,,,,,,,,,BLUE,3-Enjoyment somewhat impaired (algae)
18137035,08/28/2017,,,,4.08,15.3,,49,45,,,,,
81855176,08/28/2017,10.5,NO,3.2,,,43,,,,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
99659856,07/18/2016,18.5,NO,5.6,,,35,,,,,CLEAR,,1-Beautiful, could not be nicer
125862804,07/18/2016,15,N,4.6,1.7,15.6,35,49,39,,,,,
125862804,08/24/2016,15,NO,4.6,,,38,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
125862804,09/15/2016,17.5,N,5.3,1.44,18.7,36,51,38,,,,,
18137035,06/30/2017,,,,1.75,16.5,,50,39,,,,,
81855176,06/30/2017,,,,,,,,,,,CLEAR,,2-Very minor aesthetic problems
18137035,08/01/2017,10.5,N,3.2,3.14,16.3,43,50,43,,,,,
81855176,08/01/2017,,,,,,,,,,,,BLUE,3-Enjoyment somewhat impaired (algae)
18137035,08/28/2017,,,,4.08,15.3,,49,45,,,,,
81855176,08/28/2017,10.5,NO,3.2,,,43,,,,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/18/2016,0,METERS,24.83,DEGREES C,8.17,MG/L
07/18/2016,1,METERS,24.32,DEGREES C,8.2,MG/L
07/18/2016,2,METERS,23.75,DEGREES C,7.66,MG/L
07/18/2016,3,METERS,20.9,DEGREES C,7.75,MG/L
07/18/2016,4,METERS,15.53,DEGREES C,6.4,MG/L
07/18/2016,5,METERS,11.33,DEGREES C,.8,MG/L
07/18/2016,6,METERS,9.25,DEGREES C,.39,MG/L
07/18/2016,7,METERS,8.33,DEGREES C,.15,MG/L
07/18/2016,,,24.1,C,7.56,MG/L
08/24/2016,0,METERS,24.04,DEGREES C,7.56,MG/L
08/24/2016,1,METERS,23.94,DEGREES C,7.39,MG/L
08/24/2016,2,METERS,23.84,DEGREES C,7.03,MG/L
08/24/2016,3,METERS,23.05,DEGREES C,2.8,MG/L
08/24/2016,4,METERS,17.41,DEGREES C,.97,MG/L
08/24/2016,5,METERS,13.22,DEGREES C,.54,MG/L
08/24/2016,6,METERS,10.62,DEGREES C,.38,MG/L
08/24/2016,7,METERS,8.96,DEGREES C,.22,MG/L
08/24/2016,8,METERS,8.69,DEGREES C,.15,MG/L
09/15/2016,,,21.45,C,7.46,MG/L
06/30/2017,0,FEET,23.1,DEGREES C,,
06/30/2017,3,FEET,22.65,DEGREES C,9.48,MG/L
06/30/2017,6,FEET,20.89,DEGREES C,9.66,MG/L
06/30/2017,9,FEET,20.04,DEGREES C,9.38,MG/L
06/30/2017,12,FEET,16.87,DEGREES C,9.86,MG/L
06/30/2017,15,FEET,13.2,DEGREES C,2.49,MG/L
06/30/2017,18,FEET,10.89,DEGREES C,.89,MG/L
06/30/2017,21,FEET,9.16,DEGREES C,.45,MG/L
06/30/2017,24,FEET,8.32,DEGREES C,,
08/01/2017,0,FEET,27.45,DEGREES C,,
08/01/2017,3,FEET,26.19,DEGREES C,9.59,MG/L
08/01/2017,6,FEET,25.31,DEGREES C,8.06,MG/L
08/01/2017,9,FEET,23.52,DEGREES C,8,MG/L
08/01/2017,12,FEET,18.77,DEGREES C,5.55,MG/L
08/01/2017,15,FEET,15.07,DEGREES C,.74,MG/L
08/01/2017,18,FEET,12.18,DEGREES C,.35,MG/L
08/01/2017,21,FEET,9.73,DEGREES C,.113,MG/L
08/01/2017,,,26.0,C,,
08/28/2017,3,FEET,20.89,DEGREES C,8.46,MG/L
08/28/2017,6,FEET,20.79,DEGREES C,8.54,MG/L
08/28/2017,9,FEET,20.65,DEGREES C,8.44,MG/L
08/28/2017,12,FEET,19.78,DEGREES C,.67,MG/L
08/28/2017,15,FEET,16.45,DEGREES C,.22,MG/L
08/28/2017,18,FEET,12.95,DEGREES C,.22,MG/L
08/28/2017,21,FEET,10.72,DEGREES C,.002,MG/L
08/28/2017,24,FEET,9.18,DEGREES C,0,MG/L
07/18/2016,0,METERS,24.83,DEGREES C,8.17,MG/L
07/18/2016,1,METERS,24.32,DEGREES C,8.2,MG/L
07/18/2016,2,METERS,23.75,DEGREES C,7.66,MG/L
07/18/2016,3,METERS,20.9,DEGREES C,7.75,MG/L
07/18/2016,4,METERS,15.53,DEGREES C,6.4,MG/L
07/18/2016,5,METERS,11.33,DEGREES C,.8,MG/L
07/18/2016,6,METERS,9.25,DEGREES C,.39,MG/L
07/18/2016,7,METERS,8.33,DEGREES C,.15,MG/L
07/18/2016,,,24.1,C,7.56,MG/L
08/24/2016,0,METERS,24.04,DEGREES C,7.56,MG/L
08/24/2016,1,METERS,23.94,DEGREES C,7.39,MG/L
08/24/2016,2,METERS,23.84,DEGREES C,7.03,MG/L
08/24/2016,3,METERS,23.05,DEGREES C,2.8,MG/L
08/24/2016,4,METERS,17.41,DEGREES C,.97,MG/L
08/24/2016,5,METERS,13.22,DEGREES C,.54,MG/L
08/24/2016,6,METERS,10.62,DEGREES C,.38,MG/L
08/24/2016,7,METERS,8.96,DEGREES C,.22,MG/L
08/24/2016,8,METERS,8.69,DEGREES C,.15,MG/L
09/15/2016,,,21.45,C,7.46,MG/L
06/30/2017,0,FEET,23.1,DEGREES C,,
06/30/2017,3,FEET,22.65,DEGREES C,9.48,MG/L
06/30/2017,6,FEET,20.89,DEGREES C,9.66,MG/L
06/30/2017,9,FEET,20.04,DEGREES C,9.38,MG/L
06/30/2017,12,FEET,16.87,DEGREES C,9.86,MG/L
06/30/2017,15,FEET,13.2,DEGREES C,2.49,MG/L
06/30/2017,18,FEET,10.89,DEGREES C,.89,MG/L
06/30/2017,21,FEET,9.16,DEGREES C,.45,MG/L
06/30/2017,24,FEET,8.32,DEGREES C,,
08/01/2017,0,FEET,27.45,DEGREES C,,
