Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Oconto River,Oconto,440200,NE,43,,10044716,NE,
Oconto Falls Pond,Oconto,449300,NE,43,,10044716,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
79323097,06/16/2016,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,,
125862804,07/08/2016,3.5,NO,1.1,11.9,44.4,59,58,54,,,CLEAR,RED,
158011858,08/08/2016,,,,3.4,,,,44,,,,,
158011858,09/12/2016,,,,5.24,,,,47,,,,,
79323097,11/10/2016,5,NO,1.5,,,54,,,NORMAL,,,,
79323097,02/24/2017,,,,,,,,,,,,,
79323097,04/29/2017,4.5,NO,1.4,,,55,,,,,,,
147270644,06/08/2017,3,NO,0.9,7.13,,61,,50,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
147270644,08/29/2017,4,NO,1.2,4.46,35.5,57,56,46,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
133951878,08/30/2017,5,NO,1.5,,,54,,,,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
18137035,10/09/2017,2.6,,0.8,1.89,54.5,63,59,40,,,,,
79323097,06/16/2016,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,,
125862804,07/08/2016,3.5,NO,1.1,11.9,44.4,59,58,54,,,CLEAR,RED,
158011858,08/08/2016,,,,3.4,,,,44,,,,,
158011858,09/12/2016,,,,5.24,,,,47,,,,,
79323097,11/10/2016,5,NO,1.5,,,54,,,NORMAL,,,,
79323097,02/24/2017,,,,,,,,,,,,,
79323097,04/29/2017,4.5,NO,1.4,,,55,,,,,,,
147270644,06/08/2017,3,NO,0.9,7.13,,61,,50,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
147270644,08/29/2017,4,NO,1.2,4.46,35.5,57,56,46,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
133951878,08/30/2017,5,NO,1.5,,,54,,,,,MURKY,RED,3-Enjoyment somewhat impaired (algae)
18137035,10/09/2017,2.6,,0.8,1.89,54.5,63,59,40,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/16/2016,1,FEET,19.01,DEGREES F,13.8,MG/L
06/16/2016,3,FEET,19,DEGREES F,11.37,MG/L
06/16/2016,5,FEET,18.83,DEGREES F,10.54,MG/L
06/16/2016,7,FEET,18.82,DEGREES F,9.89,MG/L
06/16/2016,9,FEET,18.72,DEGREES F,8.88,MG/L
06/16/2016,11,FEET,17.88,DEGREES F,5.23,MG/L
06/16/2016,13,FEET,17.68,DEGREES F,4.15,MG/L
07/08/2016,0,FEET,24.3,DEGREES C,10.29,MG/L
07/08/2016,3,FEET,24.2,DEGREES C,6.4,MG/L
07/08/2016,6,FEET,24.1,DEGREES C,6.3,MG/L
07/08/2016,9,FEET,23.3,DEGREES C,5.8,MG/L
07/08/2016,12,FEET,23.2,DEGREES C,5,MG/L
07/08/2016,15,FEET,23.1,DEGREES C,5,MG/L
07/08/2016,18,FEET,22.9,DEGREES C,4.3,MG/L
07/08/2016,20,FEET,22.9,DEGREES C,6.4,MG/L
07/08/2016,,,23.9,C,,
11/10/2016,1,FEET,10.1,DEGREES F,10.86,MG/L
11/10/2016,2,FEET,9.6,DEGREES F,10.82,MG/L
11/10/2016,3,FEET,8.9,DEGREES F,10.8,MG/L
11/10/2016,4,FEET,8.4,DEGREES F,10.8,MG/L
11/10/2016,5,FEET,8.5,DEGREES F,10.8,MG/L
11/10/2016,6,FEET,8.3,DEGREES F,10.81,MG/L
11/10/2016,7,FEET,8.3,DEGREES F,10.73,MG/L
11/10/2016,8,FEET,8.3,DEGREES F,10.69,MG/L
11/10/2016,9,FEET,8.3,DEGREES F,10.7,MG/L
11/10/2016,10,FEET,8.3,DEGREES F,10.69,MG/L
02/24/2017,2,FEET,.4,DEGREES C,11.3,MG/L
02/24/2017,4,FEET,.3,DEGREES C,11.24,MG/L
02/24/2017,6,FEET,.3,DEGREES C,11.18,MG/L
02/24/2017,8,FEET,.3,DEGREES C,11.14,MG/L
02/24/2017,10,FEET,.2,DEGREES C,11.14,MG/L
02/24/2017,12,FEET,.2,DEGREES C,11.12,MG/L
02/24/2017,14,FEET,.2,DEGREES C,5.75,MG/L
02/24/2017,16,FEET,.3,DEGREES C,5.76,MG/L
02/24/2017,18,FEET,.3,DEGREES C,5.71,MG/L
02/24/2017,20,FEET,.3,DEGREES C,5.72,MG/L
02/24/2017,22,FEET,.2,DEGREES C,5.75,MG/L
02/24/2017,24,FEET,.2,DEGREES C,5.73,MG/L
02/24/2017,26,FEET,.2,DEGREES C,5.68,MG/L
02/24/2017,28,FEET,.3,DEGREES C,5.61,MG/L
02/24/2017,30,FEET,.3,DEGREES C,5.56,MG/L
04/29/2017,2,FEET,9.17,DEGREES F,8.77,MG/L
04/29/2017,3,FEET,9.15,DEGREES F,8.95,MG/L
04/29/2017,4,FEET,9,DEGREES F,10.31,MG/L
04/29/2017,5,FEET,9.11,DEGREES F,9.24,MG/L
04/29/2017,6,FEET,9.11,DEGREES F,9.72,MG/L
