Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pickerel Lake,Oconto,474900,NE,43,,10047120,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
130435685,01/21/2016,,,,,,,,,NORMAL,,,,
130435685,01/30/2016,,,,,,,,,,,,,
130435685,02/16/2016,,,,,,,,,,,,,
130435685,03/06/2016,,,,,,,,,,,,,
130435685,12/20/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,12/29/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/09/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/22/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/04/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/18/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/27/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,12/28/2017,,,,,,,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
01/21/2016,1,FEET,1.2,DEGREES C,13.2,MG/L
01/21/2016,4,FEET,1.8,DEGREES C,13.1,MG/L
01/21/2016,7,FEET,2.1,DEGREES C,13.1,MG/L
01/21/2016,10,FEET,2.5,DEGREES C,11.5,MG/L
01/30/2016,1,FEET,1.3,DEGREES C,12.4,MG/L
01/30/2016,3,FEET,1.8,DEGREES C,11.6,MG/L
01/30/2016,5,FEET,2,DEGREES C,11.5,MG/L
01/30/2016,7,FEET,2.2,DEGREES C,11.2,MG/L
01/30/2016,9,FEET,2.5,DEGREES C,11,MG/L
02/16/2016,1,FEET,.2,DEGREES C,11.6,MG/L
02/16/2016,3,FEET,1.3,DEGREES C,10.3,MG/L
02/16/2016,5,FEET,1.8,DEGREES C,9.7,MG/L
02/16/2016,7,FEET,2.1,DEGREES C,9,MG/L
02/16/2016,9,FEET,2.2,DEGREES C,8.9,MG/L
03/06/2016,1,FEET,2,DEGREES C,8.8,MG/L
03/06/2016,3,FEET,2.2,DEGREES C,7.8,MG/L
03/06/2016,5,FEET,2.8,DEGREES C,6.9,MG/L
03/06/2016,7,FEET,3.1,DEGREES C,6.6,MG/L
03/06/2016,9,FEET,3.1,DEGREES C,6.2,MG/L
03/06/2016,11,FEET,3.4,DEGREES C,5.8,MG/L
12/20/2016,1,FEET,.6,DEGREES C,13.7,MG/L
12/20/2016,3,FEET,.7,DEGREES C,14,MG/L
