Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Maki Lake,Iron,2931300,NO,26,,10047974,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
118560725,04/11/2017,,,,,21.9,,52,,,,,,
1,05/10/2017,,,,,17.3,,50,,,,,,
1,06/05/2017,,,,,20.1,,51,,,,,,
1,06/19/2017,,,,,23.1,,52,,,,,,
1,07/03/2017,,,,,19,,51,,,,,,
1,08/01/2017,,,,,17.3,,50,,,,,,
1,08/15/2017,,,,,17.3,,50,,,,,,
1,09/11/2017,,,,,23.3,,53,,,,,,
99815705,10/03/2017,,,,,16.8,,50,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
04/11/2017,Marisa Ulman,Water Quality Monitoring - Northland College
05/10/2017,Data Collectors,Water Quality Monitoring - Northland College
06/05/2017,Data Collectors,Water Quality Monitoring - Northland College
06/19/2017,Data Collectors,Water Quality Monitoring - Northland College
07/03/2017,Data Collectors,Water Quality Monitoring - Northland College
08/01/2017,Data Collectors,Water Quality Monitoring - Northland College
08/15/2017,Data Collectors,Water Quality Monitoring - Northland College
09/11/2017,Data Collectors,Water Quality Monitoring - Northland College
10/03/2017,Marina Hein,Water Quality Monitoring - Northland College
