Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pike Lake,Iron,2299900,NO,26,,10048165,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
128511397,06/23/2017,,,,1.78,25.1,,53,39,,,,,
145829868,06/26/2017,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
145829868,07/27/2017,6,NO,1.8,3.74,14.7,51,49,45,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188687,08/29/2017,9,NO,2.7,9.84,18.7,45,51,52,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/26/2017,1,FEET,65.3,DEGREES F,7.02,MG/L
06/26/2017,3,FEET,61.1,DEGREES F,6.97,MG/L
06/26/2017,6,FEET,64.9,DEGREES F,6.87,MG/L
06/26/2017,9,FEET,64.5,DEGREES F,,
06/26/2017,12,FEET,64.4,DEGREES F,,
06/26/2017,15,FEET,63.8,DEGREES F,,
06/26/2017,18,FEET,58,DEGREES F,,
06/26/2017,21,FEET,56.4,DEGREES F,,
06/26/2017,24,FEET,53,DEGREES F,,
06/26/2017,27,FEET,51.8,DEGREES F,,
06/26/2017,30,FEET,48.5,DEGREES F,,
06/26/2017,35,FEET,47.1,DEGREES F,,
06/26/2017,40,FEET,46.4,DEGREES F,,
06/26/2017,45,FEET,46,DEGREES F,,
06/26/2017,50,FEET,45,DEGREES F,,
06/26/2017,55,FEET,45.6,DEGREES F,,
07/27/2017,1,FEET,75.3,DEGREES F,,
07/27/2017,3,FEET,74.1,DEGREES F,,
07/27/2017,6,FEET,72.8,DEGREES F,,
07/27/2017,9,FEET,61.7,DEGREES F,,
07/27/2017,12,FEET,59.5,DEGREES F,,
07/27/2017,18,FEET,56.6,DEGREES F,,
07/27/2017,21,FEET,54.6,DEGREES F,,
07/27/2017,24,FEET,53,DEGREES F,,
07/27/2017,27,FEET,51.4,DEGREES F,,
07/27/2017,30,FEET,49.4,DEGREES F,,
07/27/2017,35,FEET,48.2,DEGREES F,,
07/27/2017,40,FEET,47.1,DEGREES F,,
07/27/2017,45,FEET,46.3,DEGREES F,,
07/27/2017,50,FEET,46.2,DEGREES F,,
08/29/2017,1,FEET,21.3,DEGREES C,8.04,MG/L
08/29/2017,3,FEET,20.7,DEGREES C,8.11,MG/L
08/29/2017,6,FEET,19.3,DEGREES C,7.19,MG/L
08/29/2017,9,FEET,18.9,DEGREES C,6.67,MG/L
08/29/2017,12,FEET,18.6,DEGREES C,6.48,MG/L
08/29/2017,15,FEET,18.2,DEGREES C,5.5,MG/L
08/29/2017,18,FEET,58.5,DEGREES C,,
08/29/2017,21,FEET,53.6,DEGREES C,,
08/29/2017,24,FEET,50.7,DEGREES C,,
08/29/2017,27,FEET,48,DEGREES C,,
08/29/2017,30,FEET,47.1,DEGREES C,,
08/29/2017,40,FEET,46.8,DEGREES C,,
08/29/2017,50,FEET,46.8,DEGREES C,,
08/29/2017,60,FEET,46.7,DEGREES C,,



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
06/23/2017,Steve Anderson,Citizen Lake Monitoring - Water Quality - Pike Lake - Deep Hole
06/26/2017,Steven Anderson_0,Citizen Lake Monitoring - Water Quality - Pike Lake - Deep Hole
07/27/2017,Steven Anderson_0,Citizen Lake Monitoring - Water Quality - Pike Lake - Deep Hole
08/29/2017,Zach Wilson,Citizen Lake Monitoring - Water Quality - Pike Lake - Deep Hole
