Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lind Lake,Burnett,2475400,NO,7,,10048424,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,08/31/2017,,,,4.87,17.8,,50,47,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/31/2017,0,METERS,20.025,DEGREES C,8.2,MG/L
08/31/2017,1,METERS,20.4,DEGREES C,8.2,MG/L
08/31/2017,2,METERS,20.3,DEGREES C,8.2,MG/L
08/31/2017,3,METERS,20.3,DEGREES C,8.1,MG/L
08/31/2017,4,METERS,19.9,DEGREES C,3.2,MG/L
08/31/2017,5,METERS,18.2,DEGREES C,1.1,MG/L
08/31/2017,6,METERS,13.8,DEGREES C,.2,MG/L
08/31/2017,6.3,METERS,12.6,DEGREES C,.1,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
08/31/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
