Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Ludington Lake,Forest,191900,NO,21,,10048433,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,07/17/2017,,,,1.87,11.6,,47,40,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/17/2017,0,METERS,24.1,DEGREES C,8.15,MG/L
07/17/2017,1,METERS,24.3,DEGREES C,8.1,MG/L
07/17/2017,2,METERS,23.8,DEGREES C,8,MG/L
07/17/2017,3,METERS,23.2,DEGREES C,7.9,MG/L
07/17/2017,4,METERS,19,DEGREES C,10.8,MG/L
07/17/2017,5,METERS,15.6,DEGREES C,11,MG/L
07/17/2017,6,METERS,12,DEGREES C,6.5,MG/L
07/17/2017,7,METERS,9.6,DEGREES C,1.2,MG/L
07/17/2017,8,METERS,9.2,DEGREES C,.3,MG/L
07/17/2017,9,METERS,8.4,DEGREES C,.1,MG/L
07/17/2017,9.5,METERS,8.3,DEGREES C,.1,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
07/17/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
