Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lee Lake,Polk,2474500,NO,49,,10048436,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,08/29/2017,,,,20.8,37.6,,56,58,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/29/2017,0,METERS,19.2,DEGREES C,3.9,MG/L
08/29/2017,0.5,METERS,19.2,DEGREES C,3.8,MG/L
08/29/2017,1,METERS,19.2,DEGREES C,1.6,MG/L
08/29/2017,1.4,METERS,18.9,DEGREES C,.1,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
08/29/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
