Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Clara Lake,Lincoln,994600,NO,35,,10048445,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,08/24/2017,,,,3.26,8.39,,45,44,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/24/2017,0,METERS,20.65,DEGREES C,8.5,MG/L
08/24/2017,1,METERS,20.9,DEGREES C,8.4,MG/L
08/24/2017,2,METERS,20.8,DEGREES C,8.3,MG/L
08/24/2017,3,METERS,20.7,DEGREES C,8.3,MG/L
08/24/2017,4,METERS,20.7,DEGREES C,8.2,MG/L
08/24/2017,5,METERS,17.5,DEGREES C,8.1,MG/L
08/24/2017,6,METERS,13.4,DEGREES C,7.7,MG/L
08/24/2017,7,METERS,10.8,DEGREES C,6.4,MG/L
08/24/2017,8,METERS,8.8,DEGREES C,4.9,MG/L
08/24/2017,9,METERS,7.3,DEGREES C,.6,MG/L
08/24/2017,10,METERS,6.2,DEGREES C,.1,MG/L
08/24/2017,11,METERS,5.8,DEGREES C,.04,MG/L
08/24/2017,12,METERS,5.5,DEGREES C,.04,MG/L
08/24/2017,13,METERS,5.3,DEGREES C,.04,MG/L
08/24/2017,14,METERS,5.2,DEGREES C,.04,MG/L
08/24/2017,15,METERS,5.1,DEGREES C,.03,MG/L
08/24/2017,15.7,METERS,5.1,DEGREES C,.03,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
08/24/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
