Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Porcupine Lake,Oconto,443500,NE,43,,10048460,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
145584054,08/22/2017,,,,14.9,30.5,,55,55,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/22/2017,0,METERS,22.65,DEGREES C,9.7,MG/L
08/22/2017,1,METERS,22.7,DEGREES C,9.7,MG/L
08/22/2017,2,METERS,21.3,DEGREES C,7.8,MG/L
08/22/2017,3,METERS,18.5,DEGREES C,.7,MG/L
08/22/2017,4,METERS,14.2,DEGREES C,.1,MG/L
08/22/2017,5,METERS,12.2,DEGREES C,.1,MG/L
08/22/2017,5.2,METERS,11.4,DEGREES C,.04,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
08/22/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
