Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Unnamed,Milwaukee,5588789,SE,41,,10048464,SE,



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
99475473,09/14/2017,,,,20.5,115,,65,58,,,,,
152315065,09/14/2017,,,,,,,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/14/2017,0,METERS,20.65,DEGREES C,14.7,MG/L
09/14/2017,0.5,METERS,22.7,DEGREES C,14.4,MG/L
09/14/2017,1,METERS,20.4,DEGREES C,11.6,MG/L
09/14/2017,1.1,METERS,20.2,DEGREES C,8.3,MG/L
09/14/2017,2,METERS,19.4,DEGREES C,6.1,MG/L
09/14/2017,3,METERS,18.2,DEGREES C,1.3,MG/L
09/14/2017,4,METERS,16,DEGREES C,.5,MG/L
09/14/2017,5,METERS,12.3,DEGREES C,.1,MG/L
09/14/2017,6,METERS,9.7,DEGREES C,.04,MG/L
09/14/2017,7,METERS,7.8,DEGREES C,.04,MG/L
09/14/2017,8,METERS,7,DEGREES C,.04,MG/L
09/14/2017,9,METERS,6.5,DEGREES C,.04,MG/L
09/14/2017,10,METERS,6.2,DEGREES C,.04,MG/L
09/14/2017,10.3,METERS,6.1,DEGREES C,.04,MG/L



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
09/14/2017,SHELBY KAIL,EPA National Lakes Assessment 2017
09/14/2017,SHELBY T KAIL- CATHERINE L HEIN- JUSTIN P POINSATTE,EPA National Lakes Assessment 2017
