Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Monona,Dane,804600,SC,13,,133123,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/15/1967,,,,,96,,63,,,,,,
1,11/30/1967,,,,,170,,68,,,,,,
1,04/25/1968,,,,,264,,71,,,,,,
1,07/24/1968,,,,,,,,,,,,,
1,11/06/1968,,,,,86,,63,,,,,,
1,01/28/1969,,,,,33,,55,,,,,,
1,04/29/1969,,,,,66,,61,,,,,,
1,07/23/1969,,,,,99,,64,,,,,,
1,11/17/1969,,,,,132,,66,,,,,,
1,02/10/1970,,,,,604,,78,,,,,,
1,04/30/1970,,,,,132,,66,,,,,,
1,07/13/1970,,,,,130,,66,,,,,,
1,11/09/1970,,,,,260,,71,,,,,,
1,02/17/1971,,,,,180,,68,,,,,,
1,05/06/1971,,,,,70,,61,,,,,,
1,08/18/1971,,,,,50,,58,,,,,,
1,11/16/1971,,,,,120,,65,,,,,,
1,02/24/1972,,,,,120,,65,,,,,,
1,05/10/1972,,,,,80,,62,,,,,,
1,07/13/1972,,,,,40,,57,,,,,,
1,11/09/1972,,,,,,,,,,,,,
1,03/19/1973,,,,,,,,,,,,,
1,05/11/1973,,,,,70,,61,,,,,,
1,09/05/1973,,,,,,,,,,,,,
1,11/08/1973,,,,,120,,65,,,,,,
1,02/12/1974,,,,,,,,,,,,,
1,04/02/1974,,,,,90,,63,,,,,,
1,07/11/1974,,,,,,,,,,,,,
1,05/05/1980,,,,,80,,62,,,,,,
1,06/03/1980,,,,,60,,60,,,,,,
1,06/17/1980,,,,,60,,60,,,,,,
1,07/01/1980,3.9,,1.2,16,,57,,56,,,,,
1,07/14/1980,,,,,30,,54,,,,,,
1,07/29/1980,,,,,40,,57,,,,,,
1,08/12/1980,13.1,,4,4,,40,,45,,,,,
1,09/08/1980,,,,,40,,57,,,,,,
1,09/13/1981,3.6,,1.1,78,,59,,68,,,,,
8190263,08/31/1989,5,NO,1.5,,,54,,,,,,GREEN,
8190263,09/05/1989,6.25,NO,1.9,,,51,,,,,,GRAY/GREEN,2-Very minor aesthetic problems
8190263,09/11/1989,5,NO,1.5,,,54,,,,,,GRAY/GREEN,2-Very minor aesthetic problems
8190263,09/17/1989,5.75,NO,1.7,,,52,,,,,,GREEN/BROWN,2-Very minor aesthetic problems
8190263,09/21/1989,6,NO,1.8,,,51,,,,,,BLUE/GRAY,2-Very minor aesthetic problems
8190263,09/26/1989,5.5,NO,1.7,,,53,,,,,,BLUE/BROWN,2-Very minor aesthetic problems
8190263,10/07/1989,5,NO,1.5,,,54,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190263,10/18/1989,5.25,NO,1.6,,,53,,,,,,SLATE BLUE,2-Very minor aesthetic problems
8190263,10/23/1989,6.5,NO,2,,,50,,,,,CLEAR,GRAY,2-Very minor aesthetic problems
8190263,11/07/1989,9,NO,2.7,,,45,,,,,CLEAR,BL-GRAY,2-Very minor aesthetic problems
8190263,05/25/1990,9,NO,2.7,,,45,,,,,CLEAR,,2-Very minor aesthetic problems
8190263,05/31/1990,4.5,NO,1.4,,,55,,,,,,GREEN,5-Enjoyment substantially impaired (algae)
8190263,06/07/1990,4.25,NO,1.3,,,56,,,,,,GREEN,5-Enjoyment substantially impaired (algae)
8190263,06/21/1990,5,NO,1.5,,,54,,,,,,BLUE/GREEN,3-Enjoyment somewhat impaired (algae)
8190263,06/28/1990,4.5,NO,1.4,,,55,,,,,,BLUE/GREY,3-Enjoyment somewhat impaired (algae)
8190263,07/05/1990,3.5,NO,1.1,,,59,,,,,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190263,07/19/1990,3.5,NO,1.1,,,59,,,,,,GREEN/GREY,3-Enjoyment somewhat impaired (algae)
8190263,07/26/1990,3.75,NO,1.1,,,58,,,,,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190263,08/03/1990,3.75,NO,1.1,,,58,,,,,,GREY/BLUE,3-Enjoyment somewhat impaired (algae)
8190263,08/10/1990,4,NO,1.2,,,57,,,,,,GREY/BROWN,3-Enjoyment somewhat impaired (algae)
8190263,08/17/1990,3.5,NO,1.1,,,59,,,,,,GREY/GREEN,4-Would not swim but boating OK (algae)
8190263,08/22/1990,3.75,NO,1.1,,,58,,,,,,GREEN/GREY,3-Enjoyment somewhat impaired (algae)
8190263,08/30/1990,3.5,NO,1.1,,,59,,,,,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190263,09/06/1990,3.25,NO,1,,,60,,,,,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190263,09/14/1990,3.25,NO,1,,,60,,,,,,GREEN/BROWN,4-Would not swim but boating OK (algae)
8190263,09/21/1990,3,NO,0.9,,,61,,,,,,GREY/BROWN,4-Would not swim but boating OK (algae)
8190263,09/27/1990,3,NO,0.9,,,61,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190263,10/04/1990,3,NO,0.9,,,61,,,,,,GREY/BROWN,4-Would not swim but boating OK (algae)
8190263,10/12/1990,4,NO,1.2,,,57,,,,,,BROWN/GREY,4-Would not swim but boating OK (algae)
8190263,10/19/1990,3.5,NO,1.1,,,59,,,,,,BROWN/GREY,4-Would not swim but boating OK (algae)
8190263,10/26/1990,3.5,NO,1.1,,,59,,,,,,GREY,4-Would not swim but boating OK (algae)
8190263,11/02/1990,3.75,NO,1.1,,,58,,,,,,GREY,4-Would not swim but boating OK (algae)
