Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Waubesa,Dane,803700,SC,13,,133125,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/23/1973,,,,,,,,,,,,,
1,07/11/1973,,,,,120,,65,,,,,,
1,07/11/1974,,,,,,,,,,,,,
1,11/14/1974,,,,,110,,65,,,,,,
1,06/17/1980,,,,,90,,63,,,,,,
1,07/14/1980,,,,,60,,60,,,,,,
1,07/17/1980,3.3,,1,19,,60,,57,,,,,
1,07/29/1980,,,,,100,,64,,,,,,
1,09/08/1980,,,,,120,,65,,,,,,
1,09/13/1981,2.6,,0.8,96,,63,,69,,,,,
1,09/11/1989,,,,,38,,56,,,,,,
8190370,09/25/1995,3.2,,0.97,,51,60,59,,,,,,
1,10/12/1995,,,,,49,,58,,,,,,
1,10/26/1995,,,,,74,,61,,,,,,
1,11/09/1995,,,,,90,,63,,,,,,
1,11/21/1995,,,,,94,,63,,,,,,
1,02/12/1996,,,,,87,,63,,,,,,
1,04/03/1996,,,,,76,,62,,,,,,
1,05/01/1996,,,,,73,,61,,,,,,
1,05/17/1996,,,,,53,,59,,,,,,
1,05/29/1996,,,,,76,,62,,,,,,
1,06/25/1996,,,,,108,,64,,,,,,
1,07/09/1996,,,,,94,,63,,,,,,
1,07/23/1996,,,,,118,,65,,,,,,
1,08/06/1996,,,,,70,,61,,,,,,
1,08/20/1996,,,,,51,,59,,,,,,
1,09/05/1996,,,,,23,,52,,,,,,
1,09/19/1996,,,,,75,,62,,,,,,
1,10/17/1996,,,,,37,,56,,,,,,
1,11/01/1996,,,,,49,,58,,,,,,
1,02/20/1997,,,,,38,,56,,,,,,
1,04/11/1997,,,,,64,,60,,,,,,
1,05/05/1997,,,,,54,,59,,,,,,
1,05/14/1997,,,,,79,,62,,,,,,
1,05/29/1997,,,,,98,,64,,,,,,
1,06/12/1997,,,,,38,,56,,,,,,
1,06/26/1997,,,,,54,,59,,,,,,
1,07/07/1997,,,,,114,,65,,,,,,
1,07/21/1997,,,,,71,,61,,,,,,
1,08/04/1997,,,,,46,,58,,,,,,
1,09/10/1997,,,,,61,,60,,,,,,
1,11/03/1997,,,,,53,,59,,,,,,
1,11/25/1997,,,,,65,,60,,,,,,
1,02/10/1998,,,,,85,,63,,,,,,
1,03/24/1998,,,,,41,,57,,,,,,
1,04/08/1998,,,,,63,,60,,,,,,
